,edon,seccion,munn,escenario1,mc_clv,morena_clv,panal_clv,pes_clv,prd_clv,pri_clv,pt_clv,escenario2,mc_clv,morena_clv,pan_clv,pes_clv,prd_clv,prd_cnv,pri_clv,pt_clv,pvem_clv,escenario3
1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,7,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,7,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,7,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,7,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,7,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,7,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,7,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,7,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,7,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,7,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,7,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19,7,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20,7,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21,7,21,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,7,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,7,23,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,7,24,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,7,25,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,7,26,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,7,27,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,7,28,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,7,29,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,7,30,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,7,31,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
