,edon,seccion,munn,escenario1,mc_clv,morena_clv,panal_clv,pan_clv,prd_clv,pri_clv,pt_clv,pvem_clv,escenario2,mc_clv,morena_clv,panal_clv,pan_clv,pes_clv,prd_clv,pri_clv,pt_clv,pvem_clv,escenario3
1,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,31,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,31,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,31,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,31,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,31,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,31,7,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,31,8,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,31,9,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,31,10,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,31,11,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,31,12,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,31,13,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,31,14,3,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
15,31,15,3,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
16,31,16,3,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
17,31,17,3,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
18,31,18,3,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
