,edon,seccion,munn,escenario1,escenario2,escenario3_c8,escenario3,pri_clv,morena_clv,pan_clv,prd_clv,pri_iee,pri_clv,pvem_clv
1,9,0,4,31,31,31,31,31,31,31,31,31,31,31
2,9,0,8,1,1,1,1,1,1,1,1,1,1,1
3,9,0,9,28,28,25,25,25,28,28,25,25,25,25
4,9,1000,5,10,10,10,10,10,9,10,10,10,10,10
5,9,1001,5,10,10,10,10,10,9,10,10,10,10,10
6,9,100,2,15,15,15,15,15,15,15,15,15,15,15
7,9,1002,5,10,10,10,10,10,9,10,10,10,10,10
8,9,1003,5,10,10,10,10,10,9,10,10,10,10,10
9,9,1004,5,10,10,10,10,10,9,10,10,10,10,10
10,9,1005,5,10,10,10,10,10,9,10,10,10,10,10
11,9,1006,5,10,10,10,10,10,9,10,10,10,10,10
12,9,1007,5,10,10,10,10,10,9,10,10,10,10,10
13,9,1008,5,10,10,10,10,10,9,10,10,10,10,10
14,9,1009,5,10,10,10,10,10,9,10,10,10,10,10
15,9,1010,5,10,10,10,10,10,9,10,10,10,10,10
16,9,1011,5,10,10,10,10,10,9,10,10,10,10,10
17,9,101,2,15,15,15,15,15,15,15,15,15,15,15
18,9,1012,5,10,10,10,10,10,9,10,10,10,10,10
19,9,1013,5,10,10,10,10,10,9,10,10,10,10,10
20,9,1014,5,10,10,10,10,10,9,10,10,10,10,10
21,9,1015,5,10,10,10,10,10,9,10,10,10,10,10
22,9,1016,5,10,10,10,10,10,9,10,10,10,10,10
23,9,1017,5,10,10,10,10,10,9,10,10,10,10,10
24,9,1018,5,10,10,10,10,10,9,10,10,10,10,10
25,9,1019,5,10,10,10,10,10,9,10,10,10,10,10
26,9,10,2,15,15,15,15,15,15,15,15,15,15,15
27,9,1020,5,10,10,10,10,10,9,10,10,10,10,10
28,9,1021,5,10,10,10,10,10,9,10,10,10,10,10
29,9,102,2,15,15,15,15,15,15,15,15,15,15,15
30,9,1022,5,10,10,10,10,10,9,10,10,10,10,10
31,9,1023,5,10,10,10,10,10,9,10,10,10,10,10
32,9,1024,5,10,10,10,10,10,9,10,10,10,10,10
33,9,1025,5,10,10,10,10,10,9,10,10,10,10,10
34,9,1026,5,10,10,10,10,10,9,10,10,10,10,10
35,9,1027,5,10,10,10,10,10,9,10,10,10,10,10
36,9,1028,5,10,10,10,10,10,9,10,10,10,10,10
37,9,1029,5,10,10,10,10,10,9,10,10,10,10,10
38,9,1030,5,10,10,10,10,10,9,10,10,10,10,10
39,9,1031,5,10,10,10,10,10,9,10,10,10,10,10
40,9,103,2,15,15,15,15,15,15,15,15,15,15,15
41,9,1032,5,10,10,10,10,10,9,10,10,10,10,10
42,9,1033,5,10,10,10,10,10,9,10,10,10,10,10
43,9,1034,5,10,10,10,10,10,9,10,10,10,10,10
44,9,1035,5,10,10,10,10,10,9,10,10,10,10,10
45,9,1036,5,10,10,10,10,10,9,10,10,10,10,10
46,9,1037,5,10,10,10,10,10,9,10,10,10,10,10
47,9,1038,5,10,10,10,10,10,9,10,10,10,10,10
48,9,1039,5,10,10,10,10,10,9,10,10,10,10,10
49,9,1040,5,10,10,10,10,10,9,10,10,10,10,10
50,9,1041,5,10,10,10,10,10,9,10,10,10,10,10
51,9,104,2,15,15,15,15,15,15,15,15,15,15,15
52,9,1042,5,10,10,10,10,10,9,10,10,10,10,10
53,9,1043,5,10,10,10,10,10,9,10,10,10,10,10
54,9,1044,5,10,10,10,10,10,9,10,10,10,10,10
55,9,1045,5,10,10,9,10,10,9,9,10,10,10,10
56,9,1046,5,10,10,10,10,10,9,10,10,10,10,10
57,9,1047,5,10,10,10,10,10,9,10,10,10,10,10
58,9,1048,5,10,10,10,10,10,9,10,10,10,10,10
59,9,1049,5,10,10,10,10,10,9,10,10,10,10,10
60,9,1050,5,10,10,10,10,10,9,10,10,10,10,10
61,9,1051,5,10,10,10,10,10,9,10,10,10,10,10
62,9,105,2,16,16,16,16,16,16,16,16,16,16,16
63,9,1052,5,10,10,10,10,10,9,10,10,10,10,10
64,9,1053,5,10,10,10,10,10,9,10,10,10,10,10
65,9,1054,5,10,10,10,10,10,9,10,10,10,10,10
66,9,1055,5,10,10,10,10,10,9,10,10,10,10,10
67,9,1056,5,10,10,10,10,10,9,10,10,10,10,10
68,9,1057,5,10,10,10,10,10,9,10,10,10,10,10
69,9,1058,5,10,10,10,10,10,9,10,10,10,10,10
70,9,1059,5,10,10,10,10,10,9,10,10,10,10,10
71,9,1060,5,10,10,10,10,10,9,10,10,10,10,10
72,9,1061,5,10,10,10,10,10,9,10,10,10,10,10
73,9,106,2,16,16,15,16,16,16,16,15,15,16,16
74,9,1062,5,10,10,10,10,10,9,10,10,10,10,10
75,9,1063,5,10,10,10,10,10,9,10,10,10,10,10
76,9,1064,5,10,10,10,10,10,9,10,10,10,10,10
77,9,1065,5,10,10,10,10,10,9,10,10,10,10,10
78,9,1066,5,10,10,10,10,10,9,10,10,10,10,10
79,9,1067,5,10,10,10,10,10,9,10,10,10,10,10
80,9,1068,5,10,10,10,10,10,9,10,10,10,10,10
81,9,1069,5,10,10,10,10,10,9,10,10,10,10,10
82,9,1070,5,10,10,10,10,10,9,10,10,10,10,10
83,9,1071,5,10,10,10,10,10,9,10,10,10,10,10
84,9,107,2,16,16,15,16,16,16,16,15,15,16,16
85,9,1072,5,10,10,10,10,10,9,10,10,10,10,10
86,9,1073,5,10,10,10,10,10,9,10,10,10,10,10
87,9,1074,5,10,10,10,10,10,9,10,10,10,10,10
88,9,1075,5,10,10,10,10,10,9,10,10,10,10,10
89,9,1076,5,10,10,10,10,10,9,10,10,10,10,10
90,9,1077,5,12,12,12,12,12,12,12,12,12,12,12
91,9,1078,5,10,10,10,10,10,9,10,10,10,10,10
92,9,1079,5,10,10,10,10,10,9,10,10,10,10,10
93,9,1080,5,10,10,10,10,10,9,10,10,10,10,10
94,9,1081,5,10,10,10,10,10,9,10,10,10,10,10
95,9,108,2,15,15,15,15,15,15,15,15,15,15,15
96,9,1082,5,10,10,10,10,10,9,10,10,10,10,10
97,9,1083,5,10,10,10,10,10,9,10,10,10,10,10
98,9,1084,5,10,10,10,10,10,9,10,10,10,10,10
99,9,1085,5,10,10,10,10,10,9,10,10,10,10,10
100,9,1086,5,10,10,10,10,10,9,10,10,10,10,10
101,9,1087,5,10,10,10,10,10,9,10,10,10,10,10
102,9,1088,5,10,10,10,10,10,9,10,10,10,10,10
103,9,1089,5,10,10,10,10,10,9,10,10,10,10,10
104,9,1090,5,10,10,10,10,10,9,10,10,10,10,10
105,9,1091,5,10,10,10,10,10,9,10,10,10,10,10
106,9,109,2,15,15,15,15,15,15,15,15,15,15,15
107,9,1092,5,10,10,10,10,10,9,10,10,10,10,10
108,9,1093,5,10,10,10,10,10,9,10,10,10,10,10
109,9,1094,5,10,10,10,10,10,9,10,10,10,10,10
110,9,1095,5,10,10,10,10,10,9,10,10,10,10,10
111,9,1096,5,10,10,10,10,10,9,10,10,10,10,10
112,9,1097,5,10,10,10,10,10,9,10,10,10,10,10
113,9,1098,5,10,10,10,10,10,9,10,10,10,10,10
114,9,1099,5,10,10,10,10,10,9,10,10,10,10,10
115,9,1100,5,10,10,10,10,10,9,10,10,10,10,10
116,9,1101,5,10,10,10,10,10,9,10,10,10,10,10
117,9,110,2,15,15,15,15,15,15,15,15,15,15,15
118,9,1102,5,10,10,10,10,10,9,10,10,10,10,10
119,9,1103,5,10,10,10,10,10,9,10,10,10,10,10
120,9,1104,5,10,10,10,10,10,9,10,10,10,10,10
121,9,1105,5,10,10,10,10,10,9,10,10,10,10,10
122,9,1106,5,10,10,10,10,10,9,10,10,10,10,10
123,9,1107,5,10,10,10,10,10,9,10,10,10,10,10
124,9,1108,5,10,10,10,10,10,9,10,10,10,10,10
125,9,1109,5,10,10,10,10,10,9,10,10,10,10,10
126,9,1110,5,10,10,10,10,10,9,10,10,10,10,10
127,9,1111,5,10,10,10,10,10,9,10,10,10,10,10
128,9,111,2,15,15,15,15,15,15,15,15,15,15,15
129,9,1112,5,10,10,10,10,10,9,10,10,10,10,10
130,9,1113,5,10,10,10,10,10,9,10,10,10,10,10
131,9,1114,5,10,10,10,10,10,9,10,10,10,10,10
132,9,1115,5,10,10,10,10,10,9,10,10,10,10,10
133,9,1116,5,10,10,10,10,10,9,10,10,10,10,10
134,9,1117,5,10,10,10,10,10,9,10,10,10,10,10
135,9,1118,5,10,10,10,10,10,9,10,10,10,10,10
136,9,1119,5,10,10,10,10,10,9,10,10,10,10,10
137,9,11,2,15,15,15,15,15,15,15,15,15,15,15
138,9,1120,5,10,10,10,10,10,9,10,10,10,10,10
139,9,1121,5,10,10,10,10,10,9,10,10,10,10,10
140,9,112,2,15,15,15,15,15,15,15,15,15,15,15
141,9,1122,5,10,10,10,10,10,9,10,10,10,10,10
142,9,1123,5,10,10,10,10,10,9,10,10,10,10,10
143,9,1124,5,10,10,10,10,10,9,10,10,10,10,10
144,9,1125,5,10,10,10,10,10,9,10,10,10,10,10
