,edon,seccion,munn,escenario1,escenario2,escenario3,mc_clv,pan_clv,mc_clv,pan_cnv,prd_clv,pri_clv
1,14,1000,41,11,10,10,11,10,10,10,8,10
2,14,1001,41,11,10,10,11,10,10,10,8,10
3,14,1002,41,11,10,10,11,10,10,10,8,10
4,14,1003,41,11,10,10,11,10,10,10,8,10
5,14,1004,41,11,10,10,11,10,10,10,8,10
6,14,1005,41,11,10,10,11,10,10,10,8,10
7,14,1006,41,11,10,10,11,10,10,10,8,10
8,14,100,7,2,3,3,4,3,3,3,1,3
9,14,1007,41,11,10,10,11,10,10,10,8,10
10,14,1008,41,11,10,10,11,10,10,10,8,10
11,14,1009,41,14,13,13,14,13,13,13,11,13
12,14,10,1,3,1,2,8,1,1,1,1,2
13,14,1010,41,14,13,13,14,13,13,13,11,13
14,14,1011,41,14,13,13,14,13,13,13,11,13
15,14,1012,41,14,13,13,14,13,13,13,11,13
16,14,1013,41,14,13,13,14,13,13,13,11,13
17,14,1014,41,14,13,13,14,13,13,13,11,13
18,14,1015,41,14,13,13,14,13,13,13,11,13
19,14,1016,41,14,13,13,14,13,13,13,11,13
20,14,101,7,2,3,3,4,3,3,3,1,3
21,14,1017,41,14,13,13,14,13,13,13,11,13
22,14,1018,41,14,13,13,14,13,13,13,11,13
23,14,1019,41,14,13,13,14,13,13,13,11,13
24,14,1020,41,14,13,13,14,13,13,13,11,13
25,14,1021,41,14,13,13,14,13,13,13,11,13
26,14,1022,41,14,13,13,14,13,13,13,11,13
27,14,1023,41,14,11,13,14,11,13,13,9,13
28,14,1024,41,14,11,13,14,11,13,11,9,13
29,14,1025,41,14,11,13,14,11,13,13,9,13
30,14,1026,41,14,13,13,14,13,13,13,11,13
31,14,1027,41,14,13,13,14,13,13,13,11,13
32,14,102,8,7,1,1,5,1,1,1,4,1
33,14,1028,41,14,13,13,14,13,13,13,11,13
34,14,1029,41,14,13,13,14,13,13,13,11,13
35,14,1030,41,14,13,13,14,13,13,13,11,13
36,14,1031,41,14,13,13,14,13,13,13,11,13
37,14,1032,41,14,13,13,14,13,13,13,11,13
38,14,1033,41,14,13,13,14,13,13,13,11,13
39,14,1034,41,14,13,13,14,13,13,13,11,13
40,14,1035,41,14,11,13,14,11,13,11,9,13
41,14,1036,41,14,11,13,14,11,13,11,9,13
42,14,1037,41,14,11,13,14,11,13,11,9,13
43,14,103,8,7,1,1,5,1,1,1,4,1
44,14,1038,41,14,11,13,14,11,13,11,9,13
45,14,1039,41,14,11,13,14,11,13,11,9,13
46,14,1040,41,14,11,13,14,11,13,11,9,13
47,14,1041,41,14,11,13,14,11,13,11,9,13
48,14,1042,41,14,13,13,14,13,13,13,11,13
49,14,1043,41,14,13,13,14,13,13,13,11,13
50,14,1044,41,14,13,13,14,13,13,13,11,13
51,14,1045,41,14,13,13,14,13,13,13,11,13
52,14,1046,41,14,13,13,14,13,13,13,11,13
53,14,1047,41,14,13,13,14,13,13,13,11,13
54,14,104,8,7,1,1,5,1,1,1,4,1
55,14,1048,41,14,13,13,14,13,13,13,11,13
56,14,1049,41,14,13,13,14,13,13,13,11,13
57,14,1050,41,14,13,13,14,13,13,13,11,13
58,14,1051,41,14,13,13,14,13,13,13,11,13
59,14,1052,41,14,13,13,14,13,13,13,11,13
60,14,1053,41,14,13,13,14,13,13,13,11,13
61,14,1054,41,14,13,13,14,13,13,13,11,13
62,14,1055,41,14,13,13,14,13,13,13,11,13
63,14,1056,41,14,13,13,14,13,13,13,11,13
64,14,1057,41,14,13,13,14,13,13,13,11,13
65,14,105,8,7,1,1,5,1,1,1,4,1
66,14,1058,41,14,13,13,14,13,13,13,11,13
67,14,1059,41,14,13,13,14,13,13,13,11,13
68,14,1060,41,14,13,13,14,13,13,13,11,13
69,14,1061,41,14,13,13,14,13,13,13,11,13
70,14,1062,41,14,13,13,14,13,13,13,11,13
71,14,1063,41,14,13,13,14,13,13,13,11,13
72,14,1064,41,14,13,13,14,13,13,13,11,13
73,14,1065,41,14,13,13,14,13,13,13,11,13
74,14,1066,41,14,13,13,14,13,13,13,11,13
75,14,1067,41,14,13,13,14,13,13,13,11,13
76,14,106,8,7,1,1,5,1,1,1,4,1
77,14,1068,41,14,13,13,14,13,13,13,11,13
78,14,1069,41,14,13,13,14,13,13,13,11,13
79,14,1070,41,14,13,13,14,13,13,13,11,13
80,14,1071,41,14,13,13,14,13,13,13,11,13
81,14,1072,41,14,13,13,14,13,13,13,11,13
82,14,1073,41,14,13,13,14,13,13,13,11,13
83,14,1074,41,11,13,10,11,13,10,10,11,10
84,14,1075,41,14,13,13,14,13,13,13,11,13
85,14,1076,41,14,13,13,14,13,13,13,11,13
86,14,1077,41,14,13,13,14,13,13,13,11,13
87,14,107,8,7,1,1,5,1,1,1,4,1
88,14,1078,41,14,13,13,14,13,13,13,11,13
89,14,1079,41,14,13,13,14,13,13,13,11,13
90,14,1080,41,14,13,13,14,13,13,13,11,13
91,14,1081,41,14,13,13,14,13,13,13,11,13
92,14,1082,41,14,13,13,14,13,13,10,11,13
93,14,1083,41,14,13,13,14,13,13,13,11,13
94,14,1084,41,11,10,10,11,10,10,10,8,10
95,14,1085,41,11,10,10,11,10,10,10,8,10
96,14,1086,41,11,10,10,11,10,10,10,8,10
97,14,1087,41,14,13,13,14,13,13,13,11,13
98,14,108,8,7,1,1,5,1,1,1,4,1
99,14,1088,41,14,13,13,14,13,13,13,11,13
100,14,1089,41,14,13,13,14,13,13,13,11,13
101,14,1090,41,14,13,13,14,13,13,13,11,13
102,14,1091,41,14,13,13,14,13,13,13,11,13
103,14,1092,41,14,13,13,14,13,13,13,11,13
104,14,1093,41,14,13,13,14,13,13,13,11,13
105,14,1094,41,14,13,13,14,13,13,13,11,13
106,14,1095,41,14,13,13,14,13,13,13,11,13
107,14,1096,41,14,13,13,14,13,13,13,11,13
108,14,1097,41,14,13,13,14,13,13,13,11,13
109,14,109,8,7,1,1,5,1,1,1,4,1
110,14,1098,41,14,13,13,14,13,13,13,11,13
111,14,1099,41,14,13,13,14,13,13,13,11,13
112,14,1,1,3,1,2,8,1,1,1,1,2
113,14,1100,41,14,13,13,14,13,13,13,11,13
114,14,1101,41,14,13,13,14,13,13,13,11,13
115,14,1102,41,14,13,13,14,13,13,13,11,13
116,14,1103,41,14,13,13,14,13,13,13,11,13
117,14,1104,41,14,13,13,14,13,13,13,11,13
118,14,1105,41,14,13,13,14,13,13,13,11,13
119,14,1106,41,14,13,13,14,13,13,13,11,13
120,14,1107,41,14,13,13,14,13,13,13,11,13
121,14,110,8,7,1,1,5,1,1,1,4,1
122,14,1108,41,14,13,13,14,13,13,13,11,13
123,14,1109,41,14,13,13,14,13,13,13,11,13
124,14,11,1,3,1,2,8,1,1,1,1,2
125,14,1110,41,14,13,13,14,13,13,13,11,13
126,14,1111,41,14,13,13,14,13,13,13,11,13
127,14,1112,41,14,13,13,14,13,13,13,11,13
128,14,1113,41,14,13,13,14,13,13,13,11,13
129,14,1114,41,14,13,13,14,13,13,13,11,13
130,14,1115,41,14,13,13,14,13,13,13,11,13
131,14,1116,41,14,13,13,14,13,13,13,11,13
132,14,1117,41,14,13,13,14,13,13,13,11,13
133,14,111,8,7,1,1,5,1,1,1,4,1
134,14,1118,41,14,13,13,14,13,13,13,11,13
135,14,1119,41,14,13,13,14,13,13,13,11,13
136,14,1120,41,14,13,13,14,13,13,13,11,13
137,14,1121,41,14,13,13,14,13,13,13,11,13
138,14,1122,41,14,13,13,14,13,13,13,11,13
