,edon,seccion,munn,escenario1,escenario2,escenario3,cev,panal_cnv,pri_clv
1,2,1000,4,9,9,9,9,9,9
2,2,100,1,6,6,6,6,6,6
3,2,1001,4,9,9,9,9,9,9
4,2,1002,4,9,9,9,9,9,9
5,2,1003,4,9,9,9,9,9,9
6,2,1004,4,9,9,9,9,9,9
7,2,1005,4,14,14,14,14,14,14
8,2,1006,4,14,14,14,14,14,14
9,2,1007,4,14,14,14,14,14,14
10,2,1008,4,14,14,14,14,14,14
11,2,1009,4,14,14,14,14,14,14
12,2,10,1,7,7,7,7,7,7
13,2,1010,4,14,14,14,14,14,14
14,2,101,1,6,6,6,6,6,6
15,2,1011,4,14,14,14,14,14,14
16,2,1012,4,14,14,14,14,14,14
17,2,1013,4,9,9,9,9,9,9
18,2,1014,4,17,17,17,17,14,17
19,2,1015,4,13,13,13,13,13,13
20,2,1016,4,13,13,13,13,13,13
21,2,1017,4,11,11,11,11,11,11
22,2,1018,4,11,11,11,11,11,11
23,2,1019,4,13,13,13,13,13,13
24,2,1020,4,13,13,13,13,13,13
25,2,102,1,6,6,6,6,6,6
26,2,1021,4,13,13,13,13,13,13
27,2,1022,4,13,13,13,13,13,13
28,2,1023,4,11,11,11,11,11,11
29,2,1024,4,13,13,13,13,13,13
30,2,1025,4,13,13,13,13,13,13
31,2,1026,4,13,13,13,13,13,13
32,2,1027,4,11,11,11,11,11,11
33,2,1028,4,11,11,11,11,11,11
34,2,1029,4,11,11,11,11,11,11
35,2,1030,4,13,13,13,13,13,13
36,2,103,1,6,6,6,6,6,6
37,2,1031,4,9,9,9,9,9,9
38,2,1032,4,9,9,9,9,9,9
39,2,1033,4,14,14,14,14,14,14
40,2,1034,4,14,14,14,14,14,14
41,2,1035,4,14,14,14,14,14,14
42,2,1036,4,9,9,9,9,9,9
43,2,1037,4,9,9,9,9,9,9
44,2,1038,4,13,13,13,13,13,13
45,2,1039,4,13,13,13,13,13,13
46,2,1040,4,13,13,13,13,13,13
47,2,104,1,6,6,6,6,6,6
48,2,1041,4,13,13,13,13,13,13
49,2,1042,4,13,13,13,13,13,13
50,2,1043,4,13,13,13,13,13,13
51,2,1044,4,13,13,13,13,17,13
52,2,1045,4,17,17,17,17,17,17
53,2,1046,4,17,17,17,17,17,17
54,2,1047,4,17,17,17,17,17,17
55,2,1048,4,17,17,17,17,17,17
56,2,1049,4,10,10,10,10,10,10
57,2,1050,4,10,10,10,10,10,10
58,2,105,1,6,6,6,6,6,6
59,2,1051,4,17,17,17,17,17,17
60,2,1052,4,17,17,17,17,17,17
61,2,1053,4,13,13,13,13,13,13
62,2,1054,4,13,13,13,13,13,13
63,2,1055,4,13,13,13,13,13,13
64,2,1056,4,13,13,13,13,13,13
65,2,1057,4,13,13,13,13,13,13
66,2,1058,4,13,13,13,13,13,13
67,2,1059,4,13,13,13,13,13,13
68,2,1060,4,13,13,13,13,13,13
69,2,106,1,6,6,6,6,6,6
70,2,1061,4,13,13,13,13,13,13
71,2,1062,4,13,13,13,13,13,13
72,2,1063,4,13,13,13,13,13,13
73,2,1064,4,13,13,13,13,13,13
74,2,1065,4,13,13,13,13,13,13
75,2,1066,4,13,13,13,13,13,13
76,2,1067,4,13,13,13,13,13,13
77,2,1068,4,13,13,13,13,13,13
78,2,1069,4,13,13,13,13,13,13
79,2,1070,4,13,13,13,13,13,13
