,edon,seccion,munn,escenario1,escenario2,escenario3,pan_clv,pan_clv
1,27,1000,14,17,20,20,20,20
2,27,1001,14,17,20,20,20,20
3,27,100,2,9,4,4,4,4
4,27,1002,14,17,20,20,20,20
5,27,1003,14,17,20,20,20,20
6,27,1004,14,17,20,20,20,20
7,27,1005,14,17,20,20,20,20
8,27,1006,14,17,20,20,20,20
9,27,1007,14,17,20,20,20,20
10,27,1008,14,17,20,20,20,20
11,27,1009,14,17,20,20,20,20
12,27,10,1,18,6,6,6,6
13,27,1010,14,17,20,20,20,20
14,27,1011,14,17,20,20,20,20
15,27,101,2,10,2,2,2,2
16,27,1012,14,17,20,20,20,20
17,27,1013,14,17,20,20,20,20
18,27,1014,14,17,20,20,20,20
19,27,1015,14,17,20,20,20,20
20,27,1016,14,17,20,20,20,20
21,27,1017,14,17,20,20,20,20
22,27,1018,14,17,20,20,20,20
23,27,1019,14,17,20,20,20,20
24,27,1020,14,17,20,20,20,20
25,27,1021,14,17,20,20,20,20
26,27,102,2,10,2,2,2,2
27,27,1022,14,17,20,20,20,20
28,27,1023,14,17,20,20,20,20
29,27,1024,14,17,20,20,20,20
30,27,1025,14,17,20,20,20,20
31,27,1026,14,17,20,20,20,20
32,27,1027,14,17,20,20,20,20
33,27,1028,14,17,20,20,20,20
34,27,1029,14,17,20,20,20,20
35,27,1030,14,17,20,20,20,20
36,27,1031,14,17,20,20,20,20
37,27,103,2,9,4,4,4,4
38,27,1032,14,17,20,20,20,20
39,27,1033,14,17,20,20,20,20
40,27,1034,14,17,20,20,20,20
41,27,1035,14,17,20,20,20,20
42,27,1036,15,20,8,8,8,8
43,27,1037,15,20,8,8,8,8
44,27,1038,15,20,8,8,8,8
45,27,1039,15,20,8,8,8,8
46,27,1040,15,20,8,8,8,8
47,27,1041,15,20,8,8,8,8
48,27,104,2,9,4,4,4,4
49,27,1042,15,20,8,8,8,8
50,27,1043,15,20,8,8,8,8
51,27,1044,15,20,8,8,8,8
52,27,1045,15,20,8,8,8,8
53,27,1046,15,20,8,8,8,8
54,27,1047,15,20,8,8,8,8
55,27,1048,15,20,8,8,8,8
56,27,1049,15,20,8,8,8,8
57,27,1050,15,20,8,8,8,8
58,27,1051,15,20,8,8,8,8
59,27,105,2,9,4,4,4,4
60,27,1052,15,20,8,8,8,8
61,27,1053,15,20,8,8,8,8
62,27,1054,15,20,8,8,8,8
63,27,1055,15,20,8,8,8,8
64,27,1056,15,20,8,8,8,8
65,27,1057,15,20,8,8,8,8
66,27,1058,15,20,8,8,8,8
67,27,1059,15,20,8,8,8,8
68,27,1060,15,20,8,8,8,8
69,27,1061,15,20,8,8,8,8
70,27,106,2,9,4,4,4,4
71,27,1062,15,20,8,8,8,8
72,27,1063,16,20,13,13,13,13
73,27,1064,16,20,13,13,13,13
74,27,1065,16,20,13,13,13,13
75,27,1066,16,20,13,13,13,13
76,27,1067,16,20,13,13,13,13
77,27,1068,16,20,13,13,13,13
78,27,1069,16,20,13,13,13,13
79,27,1070,16,20,13,13,13,13
80,27,1071,16,20,13,13,13,13
81,27,107,2,9,2,2,2,2
82,27,1072,16,20,13,13,13,13
83,27,1073,16,20,13,13,13,13
84,27,1074,16,20,13,13,13,13
85,27,1075,16,20,13,13,13,13
86,27,1076,16,20,13,13,13,13
87,27,1077,16,20,13,13,13,13
88,27,1078,16,20,13,13,13,13
89,27,1079,16,20,13,13,13,13
90,27,1080,16,20,13,13,13,13
91,27,1081,16,20,13,13,13,13
92,27,108,2,9,4,4,4,4
93,27,1082,16,20,13,13,13,13
94,27,1083,16,20,13,13,13,13
95,27,1084,16,20,13,13,13,13
96,27,1085,16,20,13,13,13,13
97,27,1086,16,20,13,13,13,13
98,27,1087,16,20,13,13,13,13
99,27,1088,16,20,13,13,13,13
100,27,1089,17,18,6,6,6,6
101,27,1090,17,18,6,6,6,6
102,27,1091,17,18,6,6,6,6
103,27,109,2,9,4,4,4,4
104,27,1092,17,18,6,6,6,6
105,27,1093,17,18,6,6,6,6
106,27,1094,17,18,6,6,6,6
107,27,1095,17,18,6,6,6,6
108,27,1096,17,18,6,6,6,6
109,27,1097,17,18,6,6,6,6
110,27,1098,17,18,6,6,6,6
111,27,1099,17,18,6,6,6,6
112,27,1,1,18,6,6,6,6
113,27,1100,17,18,6,6,6,6
