"yr","pan","pri","left","efec","lisnom","disn","d.pan","d.pri","d.left","vhat.pan","vhat.pri","vhat.left","bhat.pan","bhat.left","dbackward","alphahat.pan","alphahat.pri","alphahat.left","betahat.pan","betahat.left"
1988,0.378,0.446,0.157,107658,212576,101,NA,NA,NA,0.237,0.579,0.035,0.097,0.137,1,0.175,0.693,0.083,2.018,1.49
1988,0.121,0.632,0.196,56175,122344,102,NA,NA,NA,0.098,0.729,0.022,0.144,0.145,1,0.102,0.799,0.06,2.325,1.647
1988,0.294,0.43,0.263,73520,135579,201,NA,NA,NA,0.354,0.533,0.025,0.046,0.123,1,0.307,0.621,0.051,1.193,1.946
1988,0.257,0.37,0.352,44494,90961,202,NA,NA,NA,0.451,0.45,0.03,0.002,0.09,1,0.348,0.584,0.048,0.819,1.993
1988,0.274,0.417,0.298,76067,148782,203,NA,NA,NA,0.37,0.471,0.053,0.027,0.09,1,0.31,0.576,0.095,0.844,1.621
1988,0.229,0.437,0.322,102639,2e+05,204,NA,NA,NA,0.341,0.52,0.032,0.028,0.106,1,0.297,0.627,0.056,1.177,2.052
1988,0.288,0.414,0.277,49380,105188,205,NA,NA,NA,0.473,0.442,0.02,0.015,0.122,1,0.366,0.561,0.051,0.96,1.821
1988,0.235,0.367,0.351,63265,136956,206,NA,NA,NA,0.474,0.427,0.033,0.005,0.105,1,0.354,0.565,0.059,0.906,2.109
1988,0.213,0.55,0.221,53529,95207,301,NA,NA,NA,0.224,0.677,0.007,0.028,0.365,1,0.112,0.731,0.117,2.203,1.888
1988,0.143,0.629,0.22,28940,55141,302,NA,NA,NA,0.31,0.661,0.004,0.038,0.409,1,0.177,0.703,0.097,1.898,1.94
1988,0.044,0.685,0.265,39197,101492,401,NA,NA,NA,0.009,0.831,0.078,0.31,0.143,1,0.052,0.798,0.127,2.211,1.241
1988,0.154,0.752,0.09,74975,128462,402,NA,NA,NA,0.038,0.642,0.059,0.197,0.112,1,0.163,0.696,0.111,0.836,1.084
1988,0.192,0.59,0.047,47086,132414,501,NA,NA,NA,0.264,0.526,0.024,0.038,0.08,1,0.32,0.616,0.039,0.157,1.282
1988,0.274,0.431,0.288,46056,121002,502,NA,NA,NA,0.209,0.475,0.058,0.069,0.039,1,0.253,0.653,0.069,0.962,1.041
1988,0.35,0.581,0.069,30950,105292,503,NA,NA,NA,0.315,0.605,0.029,0.044,0.072,1,0.273,0.666,0.041,0.787,1.445
1988,0.115,0.794,0.084,49503,116154,504,NA,NA,NA,0.124,0.662,0.061,0.098,0.073,1,0.153,0.751,0.076,1.27,1.179
1988,0.102,0.76,0.136,31842,100821,505,NA,NA,NA,0.116,0.696,0.015,0.099,0.168,1,0.139,0.791,0.046,1.188,1.39
1988,0.113,0.419,0.462,71448,174693,506,NA,NA,NA,0.131,0.477,0.173,0.079,-0.009,1,0.193,0.653,0.124,0.897,0.824
1988,0.038,0.578,0.381,46301,115835,507,NA,NA,NA,0.067,0.677,0.105,0.123,0.076,1,0.092,0.746,0.14,1.434,0.929
1988,0.167,0.521,0.29,54430,111996,601,NA,NA,NA,0.145,0.684,0.064,0.132,0.114,1,0.236,0.633,0.113,0.974,1.132
1988,0.107,0.523,0.353,39231,106032,602,NA,NA,NA,0.116,0.586,0.162,0.117,0.014,1,0.237,0.671,0.078,0.913,1.485
1988,0.135,0.798,0.058,57897,213525,701,NA,NA,NA,0.106,0.55,0.078,0.123,0.105,1,0.101,0.701,0.164,1.652,1.41
1988,0.019,0.951,0.028,65065,98262,702,NA,NA,NA,0.036,0.807,0.1,0.138,0.094,1,0.032,0.778,0.155,1.881,1.045
