"edon","disn","pan","pri","prd","pvem","pt","mc","morena","pes","rsp","fxm","indep","panc","morenac","efec","lisnom","dextra","dpanc","dmorenac","dpric"
1,101,62901.8,23712,7824.6,11731,7696,6493,48317,3184,2208,9231,0,0,0,183298,334776,0,1,0,1
1,102,64670,10097,3629,3199.9,2338.6,6339,41450.9,2433,1049,2872,0,0,0,138079,331811,0,0,1,0
1,103,101757,12857,2692,3448.8,1872.1,7128,39085.1,2243,975,3108,0,0,0,175166,350820,0,0,1,0
2,201,24159.7,6542.5,1156.5,3209.6,1979.3,8432,59842.6,20581,1632,2650,0,0,0,130187,357963,0,1,1,1
2,202,32136,9237,1461,2713,1816,7999,58173,22197,2273,2546,0,0,0,140551,344829,0,0,0,0
2,203,16357.8,9097.4,2105.2,2694.3,7833.3,5337,54271.3,17317,3907,14696,0,0,0,133617,348260,0,1,1,1
2,204,10523.4,4923.3,2198.4,4001,4431,5480,81137,19177,1692,2558,0,0,0,136122,395212,0,1,0,1
2,205,30334.7,9961.3,2196.7,3645,3135,6540,60352,26436,2420,3085,0,0,0,148106,367609,0,1,0,1
2,206,25047.3,9967.2,2153.1,3668,1956,6103,57298,28160,1688,2667,0,0,0,138707,354821,0,1,0,1
2,207,12612.2,8205.4,1599,4280.1,3046.1,7050,58760,22146,3142,5993,0,0,0,126835,372485,0,1,1,1
2,208,14636.1,6123.3,2394.9,3135,2092.1,5109,69248.7,24246,1517,2546,0,0,0,131050,375101,0,1,1,1
3,301,61362.4,8139,1596.6,5233.6,6886.6,5859,59024.8,3794,1646,4188,0,0,0,157728,290399,0,1,1,1
3,302,36520.1,3644.4,907.4,3793.5,8507,3276,44593.7,2577,2608,5527,0,0,0,111955,268729,0,1,1,1
4,401,7386.3,64134.2,1927.3,3072,4450,51026,84232,2015,3189,1529,0,0,0,222960,335377,0,1,0,1
4,402,14395.5,46935.2,1701.4,2551,3205,28966,88485,1531,1761,821,0,0,0,190353,332273,0,1,0,1
5,501,20654,55528,962,8591.6,12405.5,3027,65784.2,1735,1001,2415,0,0,0,172105,334986,0,0,1,0
5,502,18404,75847,1930,12506.8,1420.4,3234,73061.5,1904,879,3158,0,0,0,192346,314548,0,0,1,0
5,503,53858,60769,1004,1557.7,872.3,5193,53539.1,1069,550,8588,0,0,0,187002,323421,0,0,1,0
5,504,20459,90787,1340,4728.4,1084,3903,56389.8,1286,505,1449,0,0,0,181932,339754,0,0,1,0
5,505,43302,74205,1038,1735.8,919.1,1694,61813.6,611,635,1438,0,0,0,187394,302877,0,0,1,0
5,506,21309,79711,2434,6262.5,2557.7,2082,62907.4,995,691,5409,0,0,0,184360,314626,0,0,1,0
5,507,12681,79396,6213,3362,1913,4363,60421,1412,768,4851,0,0,0,175380,331840,0,0,0,0
6,601,20593.4,27597.2,1466.4,20160,3931,28763,45758,3610,1699,4515,0,0,0,158093,292614,0,1,0,1
6,602,12725.4,16396.4,951.1,30125,3342,9584,45746,5557,1439,5022,0,0,0,130888,263698,0,1,0,1
7,701,2551,9131.1,2876.6,60057.8,9437.2,4214,69313,9637,13149,2361,0,0,0,182728,263542,0,1,1,1
7,702,6372.6,45061.4,12682.5,43916.1,3020.6,2702,43439.9,14607,2773,4288,0,0,0,178864,264514,0,1,1,1
7,703,859.7,3309.6,994.5,60315,21170,2921,74083,4040,4675,1336,0,0,0,173704,259044,0,1,0,1
7,704,10208.6,20339,6991.7,37628,11283,5397,72112,10728,6440,2493,0,0,0,183621,274557,0,1,0,1
7,705,3848.5,64855.2,3427.4,18023,5674.6,5871,42133,10085,6249,2991,0,0,0,163157,294509,0,1,1,1
7,706,10612.3,13716.6,6334.8,39043.4,6908.8,9962,66303,6207,4802,4212,0,0,0,168102,323640,0,1,1,1
7,707,7015.6,13159.9,1629.8,29193.8,12971,3716,68572.2,12695,11198,3065,0,0,0,163218,291790,0,1,1,1
7,708,3400,23393.3,1940.5,26725.2,15517.6,5127,62059,6544,3763,2760,0,0,0,151230,257916,0,1,1,1
7,709,13237,19733.3,2548.5,2479.5,3366,14611,61063.5,4573,6542,2404,0,0,0,130561,319919,0,1,1,1
7,710,3572.7,13056.8,2257.2,48246.9,7317,4600,65413.5,15211,3465,2201,0,0,0,165342,278035,0,1,1,1
7,711,1723.5,9223.4,4022.4,19064.5,18590,2340,51496.8,26254,2496,1731,0,0,0,136941,213227,0,1,1,1
