"pan","pri","left","efec","d.pan","d.pri","d.left","vhat.pan","vhat.pri","vhat.left","bhat.pan","bhat.left","alphahat.pan","alphahat.pri","alphahat.left","betahat.pan","betahat.left","edon","ife","inegi"
0.354,0.372,0.17,309882,0.04,-0.095,0.062,0.366,0.403,0.139,-0.029,0.002,0.216,0.679,0.074,1.512,1.564,1,1001,1001
0.335,0.388,0.105,16621,-0.029,0.02,0.023,0.564,0.234,0.091,0.119,0.014,0.054,0.865,0.063,2.941,1.998,1,1002,1002
0.383,0.393,0.11,21083,0.005,0.018,-0.022,0.458,0.269,0.179,0.022,0.095,0.176,0.737,0.056,2.095,1.735,1,1003,1003
0.206,0.462,0.059,5782,-0.036,-0.109,0.009,0.337,0.427,0.099,0.003,0.067,0.035,0.92,0.029,3.336,2.024,1,1004,1004
0.383,0.399,0.125,32422,-0.02,-0.061,0.061,0.483,0.37,0.082,0.028,0.021,0.211,0.744,0.026,1.533,2.177,1,1005,1005
0.255,0.472,0.121,11980,-0.083,0.013,0.038,0.442,0.351,0.114,0.049,0.035,0.121,0.811,0.052,1.779,1.694,1,1010,1011
0.145,0.409,0.157,15347,-0.008,0.116,-0.038,0.185,0.273,0.219,0.003,0.11,0.083,0.829,0.058,2.184,1.898,1,1006,1006
0.159,0.354,0.116,17192,-0.119,-0.023,0.021,0.37,0.321,0.113,0.023,0.026,0.054,0.873,0.044,3.028,2.171,1,1007,1007
0.184,0.343,0.189,3785,-0.141,0.011,0.029,0.435,0.22,0.258,0.098,0.121,0.049,0.866,0.061,3.106,2.044,1,1008,1008
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1009,1009
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1011,1010
0.234,0.418,0.312,182265,-0.149,0.019,0.161,0.388,0.359,0.204,-0.018,0.014,0.337,0.565,0.085,0.74,1.827,2,2001,2001
0.348,0.42,0.182,364801,-0.088,0.044,0.092,0.458,0.334,0.109,0.018,0.013,0.349,0.597,0.042,0.838,2.286,2,2002,2002
0.284,0.466,0.213,39738,-0.124,0.05,0.088,0.477,0.328,0.137,0.042,0.018,0.265,0.644,0.075,0.965,1.785,2,2003,2003
0.293,0.37,0.288,597970,-0.107,-0.04,0.19,0.422,0.361,0.131,-0.012,0.014,0.401,0.541,0.042,0.649,2.399,2,2004,2004
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2005,2005
0.477,0.299,0.203,28395,0.242,0.143,-0.29,0.21,0.108,0.59,0.064,0.135,0.256,0.606,0.106,1.161,1.87,3,3001,3001
0.369,0.41,0.181,19795,0.24,0.147,-0.325,0.082,0.138,0.714,-0.007,0.193,0.292,0.636,0.059,0.681,2.094,3,3002,3002
0.341,0.379,0.228,99773,0.162,0.048,-0.132,0.205,0.196,0.541,0.084,0.116,0.169,0.702,0.097,1.285,2.021,3,3003,3003
0.414,0.344,0.204,76645,0.282,-0.031,-0.263,0.129,0.138,0.72,0.027,0.169,0.185,0.715,0.077,1.656,2.578,3,3004,3008
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3005,3009
0.242,0.502,0.189,112693,-0.158,0.036,0.106,0.496,0.387,0.079,0.051,-0.078,0.118,0.757,0.103,1.77,1.482,4,4001,4002
0.285,0.477,0.126,27428,-0.11,0.001,0.086,0.677,0.26,0.021,0.191,-0.103,0.03,0.896,0.06,2.841,1.884,4,4002,4001
0.313,0.433,0.221,88042,-0.103,-0.091,0.177,0.641,0.312,0.036,0.128,-0.134,0.051,0.835,0.096,2.738,1.818,4,4003,4003
0.36,0.445,0.177,16870,-0.123,-0.029,0.146,0.826,0.157,0.015,0.296,-0.159,0.034,0.839,0.114,2.865,1.231,4,4010,4011
0.358,0.486,0.123,39330,-0.103,-0.011,0.096,0.767,0.209,0.012,0.241,-0.192,0.028,0.868,0.086,2.963,1.664,4,4004,4004
0.382,0.453,0.144,23013,-0.028,-0.017,0.043,0.686,0.217,0.077,0.228,-0.043,0.028,0.818,0.143,2.851,1.415,4,4009,4009
0.328,0.417,0.212,9679,-0.076,-0.036,0.09,0.541,0.322,0.117,0.188,-0.03,0.014,0.875,0.094,3.335,1.606,4,4011,4010
0.346,0.388,0.088,14480,-0.137,0.059,0.052,0.654,0.238,0.021,0.211,-0.095,0.043,0.871,0.068,2.399,1.74,4,4005,4005
0.4,0.479,0.078,15675,-0.126,0.058,0.059,0.748,0.222,0.01,0.203,-0.155,0.032,0.869,0.081,2.991,0.996,4,4006,4006
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4007,4007
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4008,4008
0.391,0.543,0.044,685,0.159,-0.161,0.029,0.267,0.581,0.03,-0.032,0.045,0.031,0.954,0.006,3.29,2.646,5,5001,5001
0.308,0.467,0.188,47080,0.145,-0.278,0.125,0.158,0.659,0.155,-0.094,-0.011,0.048,0.862,0.079,2.869,1.363,5,5002,5002
0.448,0.447,0.078,9300,0.244,-0.301,0.056,0.284,0.648,0.027,-0.058,-0.079,0.168,0.816,0.011,1.563,2.737,5,5003,5003
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5004,5004
