"ife","pan","pri","left","efec","d.pan","d.pri","d.left","vhat.pan","vhat.pri","vhat.left","bhat.pan","bhat.left","alphahat.pan","alphahat.pri","alphahat.left","betahat.pan","betahat.left","munchg","inegi"
1001,0.348,0.378,0.167,198343,-0.006,0.006,-0.003,0.275,0.4,0.177,-0.059,0.024,0.289,0.532,0.12,0.769,0.448,0,"1001"
1002,0.226,0.295,0.059,14243,-0.109,-0.093,-0.046,0.295,0.266,0.09,0.006,0.005,0.078,0.772,0.094,2.267,1.216,0,"1002"
1003,0.404,0.341,0.178,14660,0.021,-0.052,0.068,0.334,0.322,0.166,-0.032,0.059,0.169,0.703,0.079,2.072,1.144,0,"1003"
1004,0.247,0.577,0.082,4183,0.041,0.115,0.023,0.116,0.301,0.046,-0.075,0.007,0.066,0.86,0.043,2.349,1.33,0,"1004"
1005,0.433,0.373,0.105,22861,0.05,-0.026,-0.02,0.359,0.373,0.127,-0.013,0.057,0.138,0.774,0.051,2.163,1.222,0,"1005"
1006,0.216,0.349,0.268,10358,0.071,-0.06,0.111,0.07,0.192,0.169,-0.057,0.111,0.118,0.709,0.106,1.612,0.855,2006,"1006"
1007,0.307,0.345,0.154,10917,0.148,-0.009,0.038,0.096,0.202,0.087,-0.068,0.047,0.107,0.741,0.082,1.957,1.096,2006,"1007"
1008,0.315,0.368,0.162,3034,0.131,0.025,-0.027,0.124,0.173,0.142,-0.027,0.054,0.076,0.768,0.093,2.293,1.145,0,"1008"
1009,0.347,0.493,0.049,7061,0.048,0.104,-0.084,0.188,0.234,0.111,-0.033,0.063,0.084,0.814,0.061,2.316,1.244,0,"1009"
1010,0.179,0.561,0.148,8333,-0.076,0.089,0.027,0.222,0.364,0.116,-0.036,0.028,0.128,0.736,0.099,1.794,0.975,0,"1011"
1011,0.203,0.424,0.268,5844,0.022,-0.018,-0.002,0.188,0.358,0.175,-0.016,0.059,0.082,0.764,0.125,2.041,1.099,0,"1010"
2001,0.251,0.249,0.387,109440,0.017,-0.169,0.075,0.221,0.377,0.346,-0.067,0.064,0.221,0.591,0.153,1.381,1.001,0,"2001"
2002,0.327,0.212,0.221,215551,-0.021,-0.208,0.039,0.348,0.359,0.174,-0.015,0.05,0.344,0.511,0.104,0.639,0.673,0,"2002"
2003,0.288,0.382,0.237,24332,0.004,-0.084,0.024,0.295,0.417,0.233,-0.038,0.048,0.202,0.639,0.127,1.325,0.97,0,"2003"
2004,0.319,0.245,0.299,341034,0.026,-0.125,0.011,0.285,0.348,0.272,-0.039,0.081,0.255,0.592,0.111,1.391,1.076,0,"2004"
2005,0.434,0.213,0.258,21869,0.152,-0.159,-0.038,0.249,0.347,0.321,-0.045,0.079,0.224,0.575,0.165,1.503,1.08,2012,"2005"
3001,0.448,0.402,0.114,29823,-0.029,0.103,-0.089,0.447,0.22,0.28,0.052,-0.032,0.152,0.63,0.187,1.926,1.066,0,"3001"
3002,0.473,0.272,0.102,21479,0.104,-0.138,-0.079,0.265,0.329,0.301,0.019,-0.02,0.122,0.72,0.125,2.053,1.151,0,"3002"
3003,0.414,0.312,0.197,98183,0.073,-0.067,-0.031,0.304,0.353,0.232,0.027,-0.067,0.105,0.651,0.185,1.82,0.927,0,"3003"
3004,0.408,0.18,0.353,76390,-0.006,-0.164,0.149,0.303,0.365,0.284,-0.013,-0.071,0.128,0.644,0.184,2.019,1.105,0,"3008"
3005,0.558,0.355,0.065,8123,0.105,-0.083,-0.023,0.404,0.28,0.204,0.011,-0.039,0.255,0.593,0.129,1.534,0.872,0,"3009"
4001,0.263,0.38,0.255,108692,0.021,-0.122,0.066,0.262,0.505,0.159,-0.053,-0.011,0.204,0.613,0.138,0.713,0.712,0,"4002"
4002,0.069,0.348,0.403,29211,-0.216,-0.129,0.277,0.293,0.422,0.086,-0.01,0.015,0.09,0.767,0.098,1.088,0.892,0,"4001"
4003,0.467,0.314,0.181,82751,0.154,-0.119,-0.04,0.329,0.51,0.135,-0.043,-0.027,0.143,0.683,0.151,1.046,0.819,0,"4003"
4004,0.253,0.476,0.211,36708,-0.105,-0.007,0.086,0.51,0.425,0.045,0.054,-0.097,0.094,0.735,0.143,1.055,0.772,2015,"4004"
4005,0.358,0.289,0.286,16120,0.012,-0.099,0.198,0.292,0.223,0.034,0.068,-0.023,0.077,0.757,0.11,1.354,0.954,0,"4005"
4006,0.404,0.468,0.077,17364,0.004,-0.011,-0.001,0.49,0.419,0.03,0.031,-0.081,0.125,0.759,0.079,1.02,0.862,0,"4006"
4007,0.527,0.438,0.02,5427,0.189,-0.096,-0.081,0.361,0.468,0.092,0.089,-0.103,0.051,0.83,0.107,1.295,0.883,0,"4007"
4008,0.401,0.509,0.044,6271,0.035,-0.003,-0.011,0.513,0.396,0.018,0.082,-0.098,0.096,0.809,0.059,1.126,0.865,0,"4008"
4009,0.35,0.446,0.136,21499,-0.032,-0.007,-0.008,0.47,0.398,0.102,0.053,-0.067,0.065,0.717,0.194,1.416,0.713,0,"4009"
4010,0.601,0.344,0.035,18855,0.241,-0.101,-0.142,0.583,0.356,0.048,0.092,-0.108,0.132,0.696,0.155,1.415,0.812,0,"4011"
4011,0.435,0.453,0.075,14147,0.104,0.02,-0.121,0.467,0.351,0.149,0.107,0.002,0.131,0.665,0.182,0.621,0.766,2015,"4010"
4012,0.027,0.007,0.69,1,0,0,0,0.027,0.007,0.69,0,0,0.027,0.007,0.69,0,0,0,"4xxx"
4013,0.031,0.018,0.72,1,0,0,0,0.031,0.018,0.721,0,0,0.031,0.018,0.721,0,0,0,"4012"
5001,0.17,0.728,0.051,547,-0.221,0.185,0.007,0.292,0.571,0.044,-0.025,0.059,0.195,0.77,0.017,0.455,0.659,0,"5001"
5002,0.224,0.547,0.135,35409,-0.084,0.08,-0.053,0.207,0.583,0.14,-0.046,-0.029,0.266,0.589,0.104,-0.02,0.365,0,"5002"
5003,0.18,0.565,0.065,6356,-0.268,0.118,-0.013,0.337,0.516,0.075,-0.016,0.064,0.403,0.549,0.032,-0.191,0.494,0,"5003"
5004,0.154,0.738,0.057,9401,-0.207,0.19,-0.018,0.24,0.667,0.063,0.017,0.027,0.206,0.732,0.045,-0.083,0.284,0,"5004"
5005,0.171,0.75,0.014,832,-0.24,0.217,-0.022,0.356,0.583,0.029,0.047,0.097,0.146,0.837,0.009,0.689,0.549,0,"5005"
5006,0.105,0.595,0.247,7635,-0.212,0.122,0.059,0.233,0.56,0.155,-0.028,0.007,0.253,0.548,0.182,-0.135,0.212,0,"5006"
5007,0.189,0.652,0.101,3925,-0.238,0.18,0.028,0.3,0.573,0.08,0.006,0.01,0.24,0.685,0.054,0.201,0.374,0,"5007"
5008,0.162,0.762,0.039,979,-0.245,0.23,-0.015,0.382,0.559,0.051,0.049,0.06,0.192,0.775,0.02,0.029,0.59,0,"5008"
5009,0.181,0.519,0.186,20556,-0.125,0.036,0.015,0.257,0.564,0.117,0.043,-0.068,0.135,0.609,0.205,-0.04,0.259,0,"5009"
5010,0.225,0.589,0.117,20741,-0.181,0.212,-0.073,0.286,0.474,0.172,-0.041,0.052,0.331,0.511,0.121,0.156,0.27,0,"5010"
5011,0.26,0.597,0.063,3975,-0.251,0.162,0.018,0.405,0.506,0.053,0.037,0.008,0.227,0.689,0.062,0.457,0.26,0,"5011"
5012,0.166,0.733,0.074,849,-0.154,0.116,0.026,0.44,0.532,0.022,0.092,-0.029,0.193,0.757,0.043,0.215,0.165,0,"5012"
5013,0.052,0.814,0.024,575,-0.11,0.05,-0.018,0.125,0.828,0.041,-0.028,-0.045,0.052,0.878,0.05,0.585,0.477,0,"5013"
5014,0.172,0.728,0.049,3304,-0.148,0.126,-0.017,0.324,0.58,0.075,0.085,-0.026,0.114,0.813,0.056,0.182,0.469,0,"5014"
5015,0.169,0.724,0.038,610,-0.096,0.219,-0.161,0.24,0.578,0.113,-0.003,0.187,0.139,0.831,0.017,0.636,0.5,0,"5015"
5016,0.203,0.684,0.046,779,-0.272,0.254,-0.03,0.454,0.419,0.083,0.036,0.015,0.407,0.552,0.035,-0.005,0.388,0,"5016"
5017,0.201,0.575,0.131,37984,-0.156,0.162,-0.054,0.34,0.491,0.109,0.052,-0.059,0.201,0.552,0.218,-0.207,0.142,0,"5017"
5018,0.307,0.474,0.144,66149,-0.124,0.105,-0.031,0.307,0.457,0.187,-0.038,0.085,0.389,0.509,0.078,0.165,0.335,0,"5018"
5019,0.307,0.56,0.042,2536,-0.171,0.12,-0.024,0.393,0.519,0.052,0.015,0.026,0.296,0.659,0.032,0.125,0.514,0,"5019"
5020,0.163,0.657,0.075,19501,-0.244,0.212,-0.046,0.323,0.532,0.111,0.005,0.017,0.323,0.587,0.059,-0.34,0.448,0,"5020"
