"pan","pri","left","efec","ife","d.pan","d.pri","d.left","vhat.pan","vhat.pri","vhat.left","bhat.pan","bhat.left","alphahat.pan","alphahat.pri","alphahat.left","betahat.pan","betahat.left","munchg"
0.552,0.073,0.291,312804,1001,0.155,-0.192,-0.047,0.363,0.324,0.311,0.004,0.068,0.163,0.71,0.078,2.069,1.535,0
0.337,0.034,0.568,23285,1002,0.069,-0.208,0.078,0.287,0.41,0.293,-0.048,0.046,0.038,0.867,0.055,3.535,2.24,0
0.443,0.075,0.32,23703,1003,-0.087,-0.155,0.081,0.445,0.336,0.217,-0.016,0.017,0.153,0.749,0.058,2.35,1.713,0
0.263,0.21,0.448,8979,1004,-0.074,-0.133,0.128,0.268,0.518,0.21,-0.025,0.061,0.041,0.898,0.032,3.012,1.834,0
0.527,0.097,0.286,43819,1005,0.096,-0.197,0.011,0.413,0.348,0.236,-0.001,0.075,0.167,0.772,0.031,1.987,1.94,0
0.36,0.268,0.312,17823,1006,0.011,-0.042,-0.029,0.282,0.374,0.34,0.015,0.03,0.119,0.736,0.082,1.66,1.237,0
0.288,0.118,0.387,19939,1007,-0.05,-0.179,0.023,0.289,0.389,0.317,-0.021,0.053,0.076,0.811,0.057,2.566,1.749,0
0.305,0.122,0.285,5295,1008,-0.128,-0.132,-0.027,0.378,0.373,0.246,-0.004,-0.01,0.044,0.839,0.068,3.171,1.679,0
0.432,0.022,0.511,11330,1009,0.102,-0.417,0.281,0.293,0.582,0.122,-0.067,-0.044,0.038,0.897,0.036,3.735,2.3,0
0.308,0.363,0.281,18525,1010,0.041,-0.034,-0.054,0.179,0.553,0.265,-0.079,0.029,0.229,0.646,0.094,0.793,0.815,0
0.236,0.031,0.432,10600,1011,-0.078,-0.262,0.039,0.216,0.317,0.464,0.005,0.116,0.095,0.796,0.093,2.075,1.705,0
0.131,0.066,0.494,153968,2001,-0.108,-0.147,-0.053,0.183,0.234,0.581,-0.029,0.093,0.318,0.569,0.092,0.853,1.692,0
0.207,0.057,0.482,306050,2002,-0.07,-0.098,-0.085,0.259,0.167,0.57,0.016,0.168,0.298,0.628,0.05,1.188,2.079,0
0.119,0.114,0.434,33970,2003,-0.124,-0.088,-0.12,0.21,0.276,0.512,-0.027,0.106,0.275,0.622,0.083,0.842,1.541,0
0.162,0.056,0.53,553657,2004,-0.057,-0.076,-0.118,0.176,0.139,0.683,0,0.181,0.361,0.563,0.052,0.894,2.106,0
0.109,0.041,0.528,35983,2005,-0.152,-0.076,-0.093,0.277,0.136,0.584,0.043,0.148,0.316,0.561,0.103,1.027,1.766,2012
0.334,0.027,0.472,31143,3001,0.017,-0.18,-0.003,0.439,0.348,0.211,-0.018,-0.082,0.176,0.686,0.115,2.012,1.938,0
0.429,0.037,0.485,22378,3002,0.113,-0.218,0.058,0.501,0.315,0.18,0.051,-0.062,0.179,0.729,0.068,1.74,2.097,0
0.412,0.063,0.443,109253,3003,0.115,-0.115,-0.081,0.43,0.244,0.323,0.06,0.013,0.11,0.724,0.117,2.052,1.741,0
0.346,0.03,0.488,93677,3004,0.069,-0.099,-0.105,0.38,0.17,0.447,0.053,0.039,0.123,0.746,0.099,2.423,2.221,0
0.43,0.065,0.305,7930,3005,0.004,-0.163,-0.041,0.517,0.377,0.105,-0.018,-0.123,0.337,0.554,0.094,1.165,1.283,0
0.046,0.286,0.385,133176,4001,-0.186,-0.057,-0.04,0.194,0.38,0.423,-0.04,0.085,0.186,0.665,0.114,0.782,1.079,0
0.033,0.269,0.461,23939,4002,-0.086,-0.133,-0.018,0.064,0.36,0.573,-0.107,0.15,0.054,0.845,0.068,1.752,1.494,2021
0.058,0.247,0.531,98160,4003,-0.111,-0.01,-0.042,0.217,0.266,0.514,-0.011,0.147,0.085,0.779,0.116,1.78,1.361,0
0.051,0.282,0.486,32432,4004,-0.146,-0.038,0.003,0.187,0.382,0.429,-0.054,0.137,0.038,0.821,0.118,2.299,1.188,2021
0.04,0.266,0.429,17096,4005,-0.131,-0.064,-0.069,0.218,0.237,0.544,0.016,0.198,0.058,0.805,0.095,1.681,1.233,0
0.033,0.359,0.357,20648,4006,-0.217,-0.132,0.099,0.287,0.515,0.196,-0.043,0.084,0.086,0.806,0.079,1.398,0.962,0
0.034,0.377,0.457,5831,4007,-0.181,0.006,0.043,0.492,0.424,0.083,0.081,-0.054,0.022,0.884,0.082,2.335,1.312,0
0.093,0.277,0.446,6617,4008,-0.06,-0.124,0,0.214,0.487,0.296,-0.049,0.161,0.059,0.876,0.037,1.834,1.659,0
0.115,0.218,0.396,24834,4009,-0.043,-0.061,-0.166,0.254,0.407,0.338,-0.021,0.045,0.026,0.797,0.16,2.764,1.116,0
0.277,0.14,0.476,19553,4010,-0.034,-0.187,0.114,0.432,0.374,0.192,0.007,0.073,0.206,0.653,0.128,0.804,1.037,0
0.014,0.262,0.589,13318,4011,-0.163,-0.155,0.183,0.367,0.473,0.158,0.025,-0.038,0.248,0.572,0.164,-0.628,0.766,2018
0.019,0.3,0.487,8166,4012,-0.11,-0.075,-0.009,0.044,0.277,0.676,-0.128,0.191,0.201,0.635,0.134,-0.008,0.9,2021
