"ife","edon","pan","pri","prd","pt","pvem","conve","psn","pas","mp","plm","fc","pric","efec","dpanc","dpric","dprdc","inegi"
1001,1,81531,0,14478,5755,0,2669,573,1113,2527,504,906,70127,180183,0,1,0,"1001"
1002,1,3474,3478,353,553,374,32,10,64,23,17,12,0,8390,0,0,0,"1002"
1003,1,5298,3803,576,133,1282,42,10,281,50,32,18,0,11525,0,0,0,"1003"
1004,1,1702,1687,124,28,82,49,1,7,3,6,1,0,3690,0,0,0,"1004"
1005,1,5751,5663,548,299,885,83,11,101,62,30,55,0,13488,0,0,0,"1005"
1006,1,3229,5489,400,76,337,84,9,102,49,13,10,0,9798,0,0,0,"1006"
1007,1,3426,3556,398,118,1062,73,9,55,35,13,10,0,8755,0,0,0,"1007"
1008,1,920,1116,126,190,22,6,0,28,0,3,1,0,2412,0,0,0,"1008"
1009,1,2072,1947,225,38,114,9,1,13,2,4,3,0,4428,0,0,0,"1009"
1010,1,2445,2706,395,106,218,18,4,9,19,4,7,0,5931,0,0,0,"1011"
1011,1,1509,2116,207,288,109,12,2,6,4,5,5,0,4263,0,0,0,"1010"
2001,2,33562,29178,5846,4848,6313,903,141,169,466,218,191,0,81835,0,0,0,"2001"
2002,2,77563,62524,11809,1659,18685,1529,239,413,1668,507,401,0,176997,0,0,0,"2002"
2003,2,6897,6092,1076,366,1423,265,18,71,77,118,188,0,16591,0,0,0,"2003"
2004,2,108438,75002,15558,6765,28112,2017,319,447,2151,593,1920,0,241322,0,0,0,"2004"
2005,2,5568,4733,758,201,920,306,13,12,52,27,112,0,12702,0,0,0,"2005"
3001,3,3344,0,7689,525,0,182,17,205,45,22,94,4123,16246,0,1,0,"3001"
3002,3,1638,0,5414,581,0,28,13,60,37,65,51,4170,12057,0,1,0,"3002"
3003,3,6431,0,21444,2358,0,649,154,915,450,626,382,16905,50314,0,1,0,"3003"
3004,3,3178,0,10721,1414,0,155,35,731,124,79,80,5130,21647,0,1,0,"3008"
3005,3,976,0,1149,77,0,2,1,76,8,1,2,882,3174,0,1,0,"3009"
4001,4,32098,0,1834,865,0,11383,136,882,523,226,380,39392,87719,0,1,0,"4002"
4002,4,9664,0,150,95,0,738,11,39,27,71,14,9745,20554,0,1,0,"4001"
4003,4,21827,0,1745,668,0,8857,55,73,773,86,222,20683,54989,0,1,0,"4003"
4004,4,11259,0,552,275,0,3479,45,174,66,29,45,10484,26408,0,1,0,"4004"
4005,4,4932,0,332,130,0,317,14,29,12,5,14,5484,11269,0,1,0,"4005"
4006,4,5930,0,173,45,0,242,12,202,35,11,19,4862,11531,0,1,0,"4006"
4007,4,498,0,46,5,0,1318,4,5,2,4,1,1540,3423,0,1,0,"4007"
4008,4,1633,0,30,8,0,146,6,19,6,2,9,1931,3790,0,1,0,"4008"
4009,4,6884,0,1066,71,0,1280,30,89,39,13,15,5647,15134,0,1,0,"4009"
4010,4,3223,0,242,2355,0,605,25,27,17,6,7,3246,9753,0,1,0,"4011"
4011,4,2647,0,231,103,0,350,19,223,17,4,9,3116,6719,0,1,0,"4010"
4012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,5,138,235,1,2,6,0,0,15,0,0,0,0,397,0,0,0,"5001"
5002,5,1904,7339,2659,103,573,3060,37,6,20,48,11,0,15760,0,0,0,"5002"
5003,5,1354,1535,56,16,186,17,2,5,3,3,3,0,3180,0,0,0,"5003"
5004,5,695,2955,102,33,144,19,5,8,11,4,3,0,3979,0,0,0,"5004"
5005,5,128,441,2,0,4,0,0,1,0,0,2,0,578,0,0,0,"5005"
5006,5,1125,2294,310,182,119,5,6,17,8,0,0,0,4066,0,0,0,"5006"
5007,5,504,1096,68,21,49,14,0,9,3,1,2,0,1767,0,0,0,"5007"
5008,5,259,319,5,4,14,2,1,0,0,1,0,0,605,0,0,0,"5008"
5009,5,1123,6668,1293,520,497,130,85,23,12,16,12,0,10379,0,0,0,"5009"
5010,5,4236,4086,342,95,972,89,5,377,13,11,7,0,10233,0,0,0,"5010"
5011,5,903,1446,94,21,24,2,2,7,5,0,1,0,2505,0,0,0,"5011"
5012,5,89,249,14,3,14,10,0,0,0,0,0,0,379,0,0,0,"5012"
5013,5,56,262,22,4,3,0,0,1,0,0,0,0,348,0,0,0,"5013"
5014,5,123,991,216,13,58,46,1,2,1,0,0,0,1451,0,0,0,"5014"
5015,5,113,278,2,1,20,1,1,3,0,0,0,0,419,0,0,0,"5015"
5016,5,72,205,59,4,15,0,1,0,0,0,0,0,356,0,0,0,"5016"
5017,5,3111,14467,1595,5585,868,60,30,105,60,75,32,0,25988,0,0,0,"5017"
5018,5,18039,16730,1094,551,2904,66,113,340,94,68,44,0,40043,0,0,0,"5018"
5019,5,796,979,36,5,63,6,0,1,2,0,0,0,1888,0,0,0,"5019"
5020,5,3158,7245,766,245,572,474,13,16,19,27,8,0,12543,0,0,0,"5020"
5021,5,274,559,32,8,34,5,0,6,1,1,0,0,920,0,0,0,"5021"
5022,5,2657,1640,70,14,120,34,2,3,2,2,3,0,4547,0,0,0,"5022"
5023,5,199,749,802,12,73,6,0,1,4,2,0,0,1848,0,0,0,"5023"
5024,5,1861,3798,1153,383,231,9,6,33,7,2,5,0,7488,0,0,0,"5024"
5025,5,7947,9832,1426,196,3082,390,80,34,33,22,10,0,23052,0,0,0,"5025"
5026,5,118,350,28,9,20,0,0,2,1,0,0,0,528,0,0,0,"5026"
5027,5,3251,3953,172,82,337,12,20,15,18,6,5,0,7871,0,0,0,"5027"
5028,5,3038,3183,296,103,717,435,5,13,12,11,11,0,7824,0,0,0,"5028"
5029,5,71,227,10,12,9,2,0,10,0,0,1,0,342,0,0,0,"5029"
5030,5,48885,53788,4048,1608,10460,542,717,508,482,156,160,0,121354,0,0,0,"5030"
5031,5,1175,1454,86,22,165,4,0,138,6,4,1,0,3055,0,0,0,"5031"
5032,5,2392,3078,276,39,577,43,2,19,12,5,4,0,6447,0,0,0,"5032"
5033,5,1850,10156,5060,201,637,1263,6,43,36,36,232,0,19520,0,0,0,"5033"
5034,5,131,308,23,6,24,4,0,0,2,0,0,0,498,0,0,0,"5034"
5035,5,26385,29037,4248,1034,4271,310,90,204,284,205,143,0,66211,0,0,0,"5035"
5036,5,481,3248,589,417,78,19,1,24,9,5,5,0,4876,0,0,0,"5036"
5037,5,404,597,20,2,39,1,0,2,2,0,0,0,1067,0,0,0,"5037"
5038,5,975,1352,43,14,105,50,1,1,2,1,0,0,2544,0,0,0,"5038"
6001,6,21166,19342,8421,1079,1484,215,75,156,391,76,573,0,52978,0,0,0,"6002"
6002,6,3781,3168,702,91,90,12,12,12,15,9,20,0,7912,0,0,0,"6003"
6003,6,2740,3567,1023,41,47,15,1,4,1,5,51,0,7495,0,0,0,"6004"
6004,6,3780,4913,1482,127,182,126,15,13,22,10,155,0,10825,0,0,0,"6005"
6005,6,10979,10009,4494,825,820,183,63,83,217,67,361,0,28101,0,0,0,"6010"
6006,6,1319,4898,2603,239,88,9,10,24,12,3,11,0,9216,0,0,0,"6001"
6007,6,1475,1418,51,18,3,1,3,5,2,1,2,0,2979,0,0,0,"6006"
6008,6,23353,16006,1940,552,926,89,49,378,160,39,220,0,43712,0,0,0,"6007"
6009,6,1061,1909,186,59,24,1,1,16,1,0,1,0,3259,0,0,0,"6008"
6010,6,10423,14123,3666,772,527,40,27,524,68,22,160,0,30352,0,0,0,"6009"
7001,7,576,1622,549,37,126,4,1,10,10,2,2,0,2939,0,0,0,"7001"
7002,7,330,1843,856,58,633,12,3,226,5,3,21,0,3990,0,0,0,"7002"
7003,7,1900,2100,258,65,169,10,4,59,9,1,9,0,4584,0,0,0,"7003"
7004,7,44,2553,1025,213,92,75,3,54,11,6,6,0,4082,0,0,0,"7004"
7005,7,1062,1398,95,171,33,7,14,8,3,2,0,0,2793,0,0,0,"7005"
7006,7,235,2533,2159,510,112,9,3,13,7,4,5,0,5590,0,0,0,"7006"
7007,7,12,856,239,7,10,4,0,8,192,1,7,0,1336,0,0,0,"7007"
7008,7,1023,1599,1291,266,248,16,8,14,8,2,3,0,4478,0,0,0,"7008"
7009,7,2829,2543,1017,179,263,13,6,16,15,3,3,0,6887,0,0,0,"7009"
7010,7,64,770,271,26,14,2,0,4,1,1,0,0,1153,0,0,0,"7010"
7011,7,57,1311,513,344,103,20,3,8,3,0,3,0,2365,0,0,0,"7011"
7012,7,696,1850,507,146,283,110,7,45,16,7,10,0,3677,0,0,0,"7012"
7013,7,249,1748,801,284,133,83,10,127,4,4,14,0,3457,0,0,0,"7013"
7014,7,122,604,145,109,7,15,4,5,1,1,4,0,1017,0,0,0,"7014"
7015,7,1547,3212,1724,159,286,19,9,54,11,7,12,0,7040,0,0,0,"7015"
7016,7,535,1967,1669,80,42,4,2,4,3,1,6,0,4313,0,0,0,"7016"
7017,7,707,3992,1716,4919,276,18,9,78,69,2,19,0,11805,0,0,0,"7017"
7018,7,90,986,242,159,75,16,4,29,4,1,1,0,1607,0,0,0,"7018"
7019,7,1542,8693,2175,470,2141,156,34,384,1411,49,265,0,17320,0,0,0,"7019"
7020,7,757,2505,662,85,2003,19,9,10,5,8,19,0,6082,0,0,0,"7020"
7021,7,349,1221,544,725,441,28,9,9,8,3,5,0,3342,0,0,0,"7021"
7022,7,431,928,264,228,20,41,27,720,9,1,8,0,2677,0,0,0,"7022"
7023,7,488,7955,111,352,163,45,61,3277,63,14,22,0,12551,0,0,0,"7023"
7024,7,78,1281,455,6,9,2,5,3,13,0,4,0,1856,0,0,0,"7024"
7025,7,323,439,441,19,16,2,6,3,0,3,1,0,1253,0,0,0,"7025"
7026,7,50,1406,163,93,17,526,6,933,26,3,4,0,3227,0,0,0,"7026"
7027,7,2784,4334,2148,253,2115,148,24,62,42,17,82,0,12009,0,0,0,"7027"
7028,7,53,479,232,22,69,28,1,1,1,0,3,0,889,0,0,0,"7028"
7029,7,331,483,56,4,78,1,1,2,2,2,0,0,960,0,0,0,"7029"
7030,7,211,2154,771,217,146,11,1,299,8,2,21,0,3841,0,0,0,"7030"
7031,7,709,6289,7265,153,401,70,13,221,27,46,27,0,15221,0,0,0,"7031"
7032,7,1731,2643,533,42,135,2,6,14,6,0,11,0,5123,0,0,0,"7032"
7033,7,267,271,430,9,14,3,2,6,0,0,0,0,1002,0,0,0,"7033"
7034,7,365,2980,1922,193,257,28,1,21,25,6,32,0,5830,0,0,0,"7034"
7035,7,406,847,345,135,69,3,0,7,2,6,0,0,1820,0,0,0,"7035"
7036,7,12,608,465,35,21,1,1,0,0,0,0,0,1143,0,0,0,"7036"
7037,7,897,2380,3109,75,582,7,6,27,12,4,5,0,7104,0,0,0,"7037"
7038,7,107,1411,558,361,30,2,2,9,3,0,3,0,2486,0,0,0,"7039"
7039,7,99,2024,670,59,153,50,14,479,28,12,6,0,3594,0,0,0,"7038"
7040,7,6592,4791,233,188,248,10,9,88,16,5,31,0,12211,0,0,0,"7040"
7041,7,378,3094,514,33,191,205,1,68,698,6,6,0,5194,0,0,0,"7041"
7042,7,181,618,320,39,22,3,1,3,1,1,0,0,1189,0,0,0,"7042"
7043,7,445,638,275,47,31,14,4,8,1,2,3,0,1468,0,0,0,"7043"
7044,7,162,2610,1984,175,288,14,12,899,6,5,4,0,6159,0,0,0,"7044"
7045,7,600,508,37,24,15,0,5,0,2,0,1,0,1192,0,0,0,"7045"
7046,7,359,2360,2175,1681,433,150,2,24,8,4,44,0,7240,0,0,0,"7046"
7047,7,95,648,1708,27,190,2,6,4,3,1,10,0,2694,0,0,0,"7047"
7048,7,812,1564,426,158,86,234,16,38,7,2,4,0,3347,0,0,0,"7048"
7049,7,68,1840,12,17,260,5,8,137,2,4,4,0,2357,0,0,0,"7049"
7050,7,935,751,332,11,12,5,1,4,3,2,1,0,2057,0,0,0,"7050"
