"ife","edon","pan","pric","prdc","pna","asdc","efec","inegi"
1001,1,132358,80694,51125,15548,8703,288428,"1001"
1002,1,5946,2969,2865,505,182,12467,"1002"
1003,1,9875,3094,3035,661,405,17070,"1003"
1004,1,2181,1517,725,285,47,4755,"1004"
1005,1,10885,6352,2751,988,485,21461,"1005"
1006,1,3892,3961,2999,1361,240,12453,"1006"
1007,1,6128,3579,2641,1118,291,13757,"1007"
1008,1,1079,634,865,203,99,2880,"1008"
1009,1,2721,1479,926,281,52,5459,"1009"
1010,1,3881,2670,1759,471,177,8958,"1011"
1011,1,1737,2071,1027,340,58,5233,"1010"
2001,2,54324,30459,39489,6356,2554,133182,"2001"
2002,2,131017,80959,50049,21061,7710,290796,"2002"
2003,2,12739,8063,6506,2073,761,30142,"2003"
2004,2,208374,108694,79675,29558,11677,437978,"2004"
2005,2,10085,5281,5895,1632,581,23474,"2005"
3001,3,7681,4481,10569,724,406,23861,"3001"
3002,3,4470,4122,7686,571,333,17182,"3002"
3003,3,21422,20114,36881,3723,2408,84548,"3003"
3004,3,15140,6188,19760,1505,1023,43616,"3008"
3005,3,1990,750,1664,191,88,4683,"3009"
4001,4,38100,34143,23038,6291,1295,102867,"4002"
4002,4,7372,9145,3846,2816,154,23333,"4001"
4003,4,26091,24497,15663,1277,399,67927,"4003"
4004,4,10342,10668,4811,1910,233,27964,"4004"
4005,4,1920,5160,1207,4646,65,12998,"4005"
4006,4,4575,5702,1625,1213,75,13190,"4006"
4007,4,440,1538,1339,151,30,3498,"4007"
4008,4,1605,2226,335,267,36,4469,"4008"
4009,4,3722,5065,6155,1989,107,17038,"4009"
4010,4,4783,4239,1960,178,41,11201,"4011"
4011,4,1131,3064,3469,130,100,7894,"4010"
4012,NA,NA,NA,NA,NA,NA,NA,NA
4013,NA,NA,NA,NA,NA,NA,NA,NA
5001,5,224,229,43,24,2,522,"5001"
5002,5,11543,11440,6348,3838,486,33655,"5002"
5003,5,3686,2458,671,410,83,7308,"5003"
5004,5,1755,3830,681,440,76,6782,"5004"
5005,5,257,454,41,13,2,767,"5005"
5006,5,2274,3169,1912,374,86,7815,"5006"
5007,5,835,1955,853,51,24,3718,"5007"
5008,5,246,485,88,18,6,843,"5008"
5009,5,2939,6745,8553,1053,160,19450,"5009"
5010,5,9795,7406,4630,587,309,22727,"5010"
5011,5,925,1734,386,190,27,3262,"5011"
5012,5,309,376,36,12,3,736,"5012"
5013,5,88,296,53,8,3,448,"5013"
5014,5,588,1375,548,128,32,2671,"5014"
5015,5,161,238,27,95,0,521,"5015"
5016,5,303,287,151,9,2,752,"5016"
5017,5,9674,15042,9838,703,406,35663,"5017"
5018,5,30921,25056,13337,4321,1235,74870,"5018"
5019,5,1269,1123,425,100,13,2930,"5019"
5020,5,6189,10543,4272,687,358,22049,"5020"
5021,5,610,829,391,29,15,1874,"5021"
5022,5,2844,2467,924,182,102,6519,"5022"
5023,5,403,1139,994,38,23,2597,"5023"
5024,5,4070,5547,2533,564,241,12955,"5024"
5025,5,19483,18470,8003,1617,674,48247,"5025"
5026,5,269,665,132,46,14,1126,"5026"
5027,5,8636,4808,1740,943,282,16409,"5027"
5028,5,6688,6319,2373,3484,243,19107,"5028"
5029,5,122,384,356,56,8,926,"5029"
5030,5,96813,95326,26381,10496,4217,233233,"5030"
5031,5,2493,2509,1404,217,79,6702,"5031"
5032,5,5141,6849,2736,756,236,15718,"5032"
5033,5,2365,13524,20519,713,174,37295,"5033"
5034,5,435,498,167,18,22,1140,"5034"
5035,5,121229,68714,42148,6781,3804,242676,"5035"
5036,5,1352,3923,1644,59,46,7024,"5036"
5037,5,837,836,104,81,18,1876,"5037"
5038,5,2030,1415,292,154,36,3927,"5038"
6001,6,28026,26145,9958,1524,551,66204,"6002"
6002,6,4132,4174,743,89,47,9185,"6003"
6003,6,3345,4057,652,146,30,8230,"6004"
6004,6,3708,4959,3332,191,74,12264,"6005"
6005,6,16626,14887,5611,1028,355,38507,"6010"
6006,6,3477,4212,2398,276,33,10396,"6001"
6007,6,605,1428,707,31,15,2786,"6006"
6008,6,33953,17802,4743,1333,452,58283,"6007"
6009,6,1459,1483,433,122,16,3513,"6008"
6010,6,15858,17211,4115,860,170,38214,"6009"
7001,7,889,1254,1342,205,35,3725,"7001"
7002,7,1881,2503,2524,158,40,7106,"7002"
7003,7,1696,1627,2806,324,57,6510,"7003"
7004,7,280,3019,2290,63,52,5704,"7004"
7005,7,915,2187,1389,34,25,4550,"7005"
7006,7,559,2742,3808,63,53,7225,"7006"
7007,7,50,884,588,9,5,1536,"7007"
7008,7,1366,2570,2251,38,40,6265,"7008"
7009,7,4700,3213,3698,1104,127,12842,"7009"
7010,7,49,807,463,11,2,1332,"7010"
7011,7,222,2547,1807,67,9,4652,"7011"
7012,7,1864,2712,3078,355,94,8103,"7012"
7013,7,519,4405,2367,157,146,7594,"7013"
7014,7,306,1592,730,58,22,2708,"7014"
7015,7,1646,4108,5827,173,118,11872,"7015"
7016,7,478,2647,3064,69,197,6455,"7016"
