"ife","ord","edon","pan","pri","prd","pvem","pt","mc","morena","pes","rsp","fxm","indep","morenac","lisnom","efec","panc","pric","inegi"
1001,1105,1,166427,22954,6321,0,0,13467,0,4676,2024,5980,0,90955,682631,312804,0,0,"1001"
1002,2,1,0,0,0,426,476,433,12335,268,377,345,0,0,36221,23285,7838.9761113371,8.02388866289972,"1002"
1003,60,1,0,0,0,1092,421,882,6061,388,226,2355,0,0,48366,23703,10501.0270318208,10.9729681791944,"1003"
1004,142,1,0,0,0,2387,614,580,1023,42,23,68,0,0,12212,8979,2360.08613881538,9.91386118462026,"1004"
1005,161,1,0,0,0,1240,564,903,10718,1387,362,1294,0,0,88247,43819,23095.9491511192,35.0508488808468,"1005"
1006,296,1,0,0,0,656,1492,209,3418,292,393,172,0,0,32690,17823,6423.07685189758,109.923148102423,"1006"
1007,348,1,0,0,0,1734,1125,2853,4867,332,291,649,0,0,39531,19939,5743.36224619942,30.63775380058,"1007"
1008,413,1,0,0,0,104,80,88,1326,55,150,1229,0,0,7309,5295,1616.91181783459,2.08818216541099,"1008"
1009,429,1,0,0,0,3526,123,165,2146,72,97,65,0,0,16373,11330,4889.27879035252,7.72120964748303,"1009"
1010,231,1,0,0,0,442,219,284,4552,249,151,189,0,0,37865,18525,5710.40307319734,35.5969268026599,"1011"
1011,512,1,0,0,0,124,2582,96,1871,99,138,2865,0,0,15962,10600,2497.9866609906,13.0133390093979,"1010"
2001,2933,2,0,0,0,0,0,6058,0,20033,4441,16882,0,76140,414808,153968,20213.8045069696,269.1954930304,"2001"
2002,2323,2,32136,9237,1461,2713,1816,18137,58173,48914,4534,6008,0,84800,818537,306050,29774.2769569175,189.723043082483,"2002"
2003,5684,2,0,0,0,4,7,1627,103,7182,890,1730,0,14743,88071,34230,4064.50779046994,96.4922095300647,"2003"
2004,4865,2,0,0,0,11310,9515,23223,198684,97942,7304,10845,0,74150,1493699,553397,89400.5781319553,867.421868044711,"2004"
2005,5815,2,0,0,0,0,0,3005,0,6190,1102,1276,0,19017,104062,35983,3907.83558131555,35.164418684452,"2005"
3001,6735,3,0,0,0,0,0,1421,0,421,228,3136,0,14709,56125,31143,10388.3708870269,32.6291129731159,"3001"
3002,6851,3,0,0,0,0,0,442,0,309,221,107,0,10864,42624,22378,9607.7072918976,28.2927081024029,"3002"
3003,7312,3,0,0,0,0,0,3661,0,2721,1349,1231,0,48409,215389,109253,44992.5263779013,308.473622098679,"3003"
3004,7384,3,0,0,0,0,0,2877,0,2208,2426,5282,0,45701,234803,93677,32392.255697501,97.7443024989692,"3008"
3005,0,3,0,0,0,0,0,775,0,740,49,25,0,2418,12707,7930,3407.33544408215,26.6645559178454,"3009"
4001,7783,4,0,0,0,2400,1990,33810,46839,1313,1841,788,0,0,212325,133176,6138.16914143746,1726.83085856254,"4002"
4002,8161,4,0,0,0,257,194,4931,10573,119,267,374,0,0,31269,23939,781.76872519929,181.23127480071,"4001"
4003,8390,4,0,0,0,1550,1411,14058,49116,703,879,485,0,0,182975,98160,5740.8283461692,860.171653830804,"4003"
4004,8684,4,0,0,0,231,777,5127,14763,290,355,106,0,0,53880,32432,1641.07262383368,382.927376166318,"4004"
4005,8244,4,0,0,0,117,855,4061,6367,166,179,125,0,0,23365,17096,678.909012292666,60.0909877073335,"4005"
4006,8284,4,0,0,0,107,477,4871,6793,110,174,40,0,0,28711,20648,672.137821468225,146.862178531775,"4006"
4007,8808,4,0,0,0,11,386,710,2266,28,23,6,0,0,7380,5831,199.842415955156,47.1575840448436,"4007"
4008,8373,4,0,0,0,70,30,729,2854,62,370,48,0,0,8513,6617,618.286284508956,110.713715491044,"4008"
4009,8801,4,0,0,0,442,289,6196,9102,221,209,95,0,0,42567,24834,2856.62162048618,266.378379513816,"4009"
4010,0,4,0,0,0,153,186,1564,8960,229,218,104,0,0,33301,19553,5408.89611634942,118.103883650585,"4011"
4011,8238,4,0,0,0,57,402,1291,7399,203,230,68,0,0,19722,13318,180.772347361124,103.227652638876,"4010"
4012,8215,4,0,0,0,64,502,1333,3407,42,128,86,0,0,11472,8166,156.697433286263,44.3025667137373,"4xxx"
4013,8730,4,0,0,0,164,156,1311,4278,60,77,25,0,0,13270,9543,204.055844145888,112.944155854112,"4012"
5001,10135,5,232,359,2,0,0,0,0,8,3,3,0,473,1279,1080,0,0,"5001"
5002,8983,5,3666,19496,240,0,0,829,0,523,241,596,0,34436,118964,60027,0,0,"5002"
5003,10138,5,1033,4617,48,0,0,316,0,25,36,103,0,4585,18447,10763,0,0,"5003"
5004,10701,5,1150,7637,62,0,0,167,0,251,114,91,0,2574,19021,12046,0,0,"5004"
5005,10171,5,745,516,6,0,0,5,0,0,4,2,0,144,1662,1422,0,0,"5005"
5006,9552,5,849,4958,211,0,0,148,0,56,57,48,0,6328,21394,12655,0,0,"5006"
5007,9589,5,1315,2665,63,0,0,173,0,35,29,168,0,1784,9408,6232,0,0,"5007"
5008,10175,5,111,865,17,0,0,3,0,7,8,4,0,908,2458,1923,0,0,"5008"
5009,9610,5,922,10329,199,0,0,198,0,314,213,679,0,16334,43742,29188,0,0,"5009"
5010,10181,5,9862,10383,219,0,0,321,0,138,52,2307,0,12507,61398,35789,0,0,"5010"
5011,12321,5,2927,2390,554,133,182,50,746,11,7,15,0,0,9384,7015,0,0,"5011"
5012,10282,5,293,867,2,0,0,2,0,3,0,0,0,118,1805,1285,0,0,"5012"
5013,10287,5,68,379,0,0,0,1,0,2,3,0,0,598,1303,1051,0,0,"5013"
5014,9140,5,137,1884,106,0,0,112,0,50,26,17,0,2632,8266,4964,0,0,"5014"
5015,10290,5,362,390,5,0,0,213,0,1,1,4,0,135,1401,1111,0,0,"5015"
5016,9691,5,399,592,9,0,0,17,0,5,4,2,0,330,1619,1358,0,0,"5016"
5017,11794,5,1112,24828,1756,0,0,863,0,530,270,3655,0,22623,83745,55637,0,0,"5017"
5018,10294,5,32990,28048,545,0,0,1615,0,382,363,5575,0,27929,174496,97447,0,0,"5018"
5019,9156,5,701,1523,14,0,0,49,0,12,25,84,0,1748,6873,4156,0,0,"5019"
5020,9695,5,1072,12662,140,0,0,435,0,169,168,96,0,19057,54855,33799,0,0,"5020"
5021,9792,5,935,1416,8,0,0,18,0,48,12,12,0,1233,5013,3682,0,0,"5021"
5022,9168,5,2704,3884,53,0,0,261,0,108,39,36,0,6071,23050,13156,0,0,"5022"
5023,9804,5,222,1555,32,0,0,120,0,332,15,1007,0,928,7105,4211,0,0,"5023"
5024,12341,5,675,7037,1272,256,765,1548,5529,430,283,3552,0,0,34398,21347,0,0,"5024"
5025,9207,5,10131,19780,393,0,0,970,0,966,594,1497,0,29667,133176,63998,0,0,"5025"
5026,10590,5,128,1574,5,0,0,3,0,3,8,2,0,394,2876,2117,0,0,"5026"
5027,9823,5,2707,18914,394,0,0,633,0,296,98,204,0,12220,72842,35466,0,0,"5027"
5028,10596,5,7876,11062,132,0,0,2704,0,491,41,582,0,6589,51057,29477,0,0,"5028"
5029,9912,5,127,849,13,0,0,155,0,33,46,13,0,458,1994,1694,0,0,"5029"
5030,10739,5,28388,153119,5665,2973,966,6501,54146,2006,869,2642,0,59444,608791,316719,0,0,"5030"
5031,9916,5,808,4508,82,0,0,482,0,234,34,86,0,4926,18728,11160,0,0,"5031"
5032,9393,5,2517,6972,61,0,0,276,0,70,61,173,0,9511,33828,19641,0,0,"5032"
5033,9949,5,8616,16278,772,0,0,543,0,334,199,839,0,22796,74118,50377,0,0,"5033"
5034,10088,5,432,1121,7,0,0,312,0,48,4,4,0,483,3730,2411,0,0,"5034"
5035,11937,5,63330,124625,1679,0,0,2862,0,1041,1006,2738,0,108173,518649,305454,0,0,"5035"
5036,12116,5,169,4463,37,0,0,51,0,35,50,454,0,5071,15109,10330,0,0,"5036"
5037,10689,5,158,1709,23,0,0,10,0,9,31,6,0,1465,5239,3411,0,0,"5037"
