"yr","pan","pri","left","efec","lisnom","ife","d.pan","d.pri","d.left","vhat.pan","vhat.pri","vhat.left","bhat.pan","bhat.left","dbackward","alphahat.pan","alphahat.pri","alphahat.left","betahat.pan","betahat.left"
2012,0.354,0.372,0.17,308485,556599,1001,0.04,-0.095,0.062,0.366,0.404,0.139,-0.029,0.002,0,0.251,0.572,0.108,1.391,1.161
2012,0.335,0.388,0.105,16621,29290,1002,-0.029,0.02,0.023,0.564,0.234,0.091,0.119,0.014,0,0.133,0.721,0.091,2.047,1.781
2012,0.383,0.394,0.11,20887,41859,1003,0.005,0.019,-0.022,0.458,0.269,0.179,0.021,0.095,0,0.293,0.577,0.078,1.419,1.322
2012,0.206,0.462,0.059,5782,10133,1004,-0.036,-0.109,0.009,0.337,0.426,0.1,0.003,0.069,0,0.216,0.694,0.053,1.054,1.322
2012,0.383,0.399,0.125,32422,60494,1005,-0.02,-0.061,0.061,0.483,0.37,0.082,0.028,0.021,0,0.27,0.627,0.059,1.27,1.352
2012,0.145,0.409,0.157,15347,26783,1006,-0.008,0.116,-0.038,0.185,0.273,0.219,0.003,0.11,0,0.209,0.583,0.119,0.837,0.803
2012,0.157,0.354,0.116,16978,32553,1007,-0.121,-0.023,0.021,0.37,0.32,0.112,0.023,0.026,0,0.233,0.602,0.092,1.105,1.209
2012,0.184,0.343,0.189,3785,6013,1008,-0.141,0.011,0.029,0.435,0.22,0.258,0.098,0.121,0,0.185,0.609,0.137,1.354,0.987
2012,0.299,0.389,0.133,7758,13264,1009,-0.019,0.027,0.038,0.448,0.289,0.117,0.048,0.058,0,0.157,0.735,0.071,2.057,1.732
2012,0.254,0.471,0.121,11805,22911,1010,-0.084,0.012,0.038,0.442,0.352,0.114,0.049,0.035,0,0.254,0.607,0.092,0.631,0.792
2012,0.181,0.442,0.27,7331,12774,1011,-0.142,-0.034,0.202,0.465,0.356,0.091,0.103,0.013,0,0.099,0.776,0.099,2.012,1.657
2012,0.233,0.419,0.312,180610,334322,2001,-0.15,0.02,0.161,0.387,0.36,0.204,-0.019,0.014,0,0.311,0.514,0.143,0.752,1.311
2012,0.347,0.421,0.182,361326,669241,2002,-0.089,0.045,0.092,0.457,0.335,0.109,0.017,0.013,0,0.324,0.557,0.082,0.958,1.649
2012,0.283,0.468,0.213,39256,76080,2003,-0.125,0.052,0.088,0.477,0.327,0.137,0.042,0.018,0,0.269,0.585,0.11,0.778,1.305
2012,0.293,0.371,0.288,591986,1169190,2004,-0.107,-0.039,0.19,0.421,0.362,0.131,-0.012,0.014,0,0.343,0.525,0.09,0.854,1.672
2012,0.282,0.373,0.296,35543,74402,2005,-0.062,-0.075,0.15,0.386,0.365,0.187,-0.009,0.028,0,0.314,0.548,0.104,0.993,1.74
2012,NA,NA,NA,1,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.477,0.299,0.204,27893,48197,3001,0.242,0.143,-0.289,0.209,0.108,0.591,0.064,0.135,0,0.228,0.513,0.226,1.434,1.293
2012,0.368,0.412,0.179,19269,35658,3002,0.239,0.149,-0.327,0.08,0.137,0.717,-0.008,0.194,0,0.219,0.594,0.153,1.313,1.401
2012,0.341,0.379,0.228,98870,173950,3003,0.162,0.048,-0.132,0.204,0.196,0.542,0.083,0.115,0,0.143,0.581,0.204,1.542,1.215
2012,0.414,0.345,0.203,75896,161770,3004,0.282,-0.03,-0.264,0.127,0.138,0.721,0.027,0.169,0,0.145,0.588,0.221,1.987,1.505
2012,0.453,0.44,0.086,6345,10767,3005,0.263,0.296,-0.405,0.069,0.037,0.781,0.033,0.384,0,0.336,0.551,0.092,1.165,1.308
2012,0.242,0.503,0.188,111613,182795,4001,-0.158,0.037,0.105,0.496,0.387,0.079,0.052,-0.078,0,0.354,0.461,0.147,-0.278,0.642
2012,0.286,0.479,0.124,26965,36367,4002,-0.109,0.003,0.084,0.678,0.26,0.021,0.191,-0.103,0,0.214,0.631,0.106,-0.067,0.98
2012,0.313,0.435,0.219,86899,153211,4003,-0.103,-0.089,0.175,0.641,0.312,0.036,0.128,-0.133,0,0.305,0.53,0.142,0.041,0.949
2012,0.354,0.488,0.123,40788,59889,4004,-0.106,-0.007,0.093,0.771,0.205,0.014,0.247,-0.181,0,0.228,0.609,0.136,0.012,0.879
2012,0.346,0.388,0.088,14480,19660,4005,-0.137,0.059,0.052,0.657,0.236,0.021,0.214,-0.095,0,0.266,0.568,0.12,-0.272,0.819
2012,0.379,0.453,0.128,23338,35807,4006,-0.108,0.023,0.076,0.691,0.252,0.035,0.193,-0.082,0,0.331,0.541,0.099,-0.545,0.768
2012,0.338,0.534,0.101,4941,6295,4007,0.116,0.029,-0.088,0.315,0.355,0.251,0.163,0.028,0,0.197,0.649,0.132,-0.303,0.789
2012,0.366,0.512,0.055,5315,7088,4008,-0.09,0.032,0.037,0.723,0.256,0.006,0.225,-0.212,0,0.24,0.667,0.055,0.06,1.203
2012,0.382,0.454,0.143,22679,35391,4009,-0.028,-0.016,0.042,0.687,0.217,0.077,0.229,-0.043,0,0.147,0.635,0.195,0.706,0.825
2012,0.36,0.445,0.177,16870,27309,4010,-0.123,-0.029,0.146,0.826,0.157,0.015,0.296,-0.159,0,0.206,0.649,0.127,0.794,1.057
2012,0.228,0.31,0.352,1,2,4011,0,0,0,0.228,0.31,0.352,0,0,0,0.364,0.315,0.256,-0.663,0.346
2012,NA,NA,NA,1,2,4012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,1,2,4013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.391,0.543,0.044,685,1067,5001,0.159,-0.161,0.029,0.267,0.581,0.03,-0.032,0.045,0,0.171,0.789,0.017,1.134,1.59
2012,0.307,0.469,0.188,45914,95960,5002,0.144,-0.276,0.125,0.156,0.659,0.156,-0.095,-0.009,0,0.189,0.643,0.103,0.704,0.923
2012,0.448,0.449,0.076,9075,16041,5003,0.244,-0.299,0.054,0.283,0.65,0.027,-0.059,-0.08,0,0.338,0.609,0.029,0.179,1.418
2012,0.361,0.548,0.075,9532,16501,5004,0.263,-0.318,0.051,0.153,0.782,0.049,-0.021,0.009,0,0.143,0.81,0.029,0.472,1.074
2012,0.411,0.533,0.036,1003,1580,5005,0.223,-0.265,0.03,0.223,0.751,0.012,-0.018,0.012,0,0.168,0.816,0.007,0.99,1.512
2012,0.317,0.473,0.187,10682,19183,5006,0.131,-0.238,0.118,0.283,0.582,0.07,0.016,-0.096,0,0.189,0.635,0.151,0.356,0.729
2012,0.427,0.472,0.073,5211,8425,5007,0.233,-0.245,0.035,0.203,0.669,0.085,-0.034,0.012,0,0.235,0.691,0.051,0.467,1.022
2012,0.407,0.532,0.054,1289,2217,5008,0.207,-0.248,0.038,0.319,0.638,0.035,0.043,0.032,0,0.211,0.759,0.021,0.196,1.381
2012,0.305,0.483,0.171,24154,37977,5009,0.17,-0.253,0.09,0.168,0.646,0.16,0.008,-0.046,0,0.133,0.655,0.156,0.271,0.888
2012,0.406,0.377,0.19,28300,52573,5010,0.193,-0.259,0.134,0.31,0.542,0.073,-0.032,-0.048,0,0.258,0.607,0.086,0.723,1.028
2012,0.511,0.435,0.045,5383,8488,5011,0.283,-0.26,0.002,0.331,0.584,0.057,0.039,-0.001,0,0.134,0.798,0.045,1.433,0.948
2012,0.32,0.617,0.048,964,1678,5012,0.076,-0.128,0.038,0.291,0.685,0.021,0.012,-0.05,0,0.168,0.794,0.033,0.716,0.674
2012,0.162,0.764,0.042,648,1061,5013,0.078,-0.119,0.01,0.175,0.77,0.054,0.048,-0.014,0,0.052,0.893,0.036,1.294,1.23
2012,0.32,0.602,0.066,4352,7548,5014,0.156,-0.145,-0.01,0.21,0.606,0.176,0.065,0.075,0,0.112,0.814,0.051,0.591,1.155
2012,0.265,0.505,0.199,878,1322,5015,0.076,-0.289,0.194,0.304,0.634,0.011,0.039,-0.021,0,0.111,0.861,0.016,1.451,1.364
2012,0.475,0.43,0.076,1078,1505,5016,0.065,-0.094,0.034,0.376,0.422,0.169,0.032,0.132,0,0.295,0.651,0.045,0.512,0.961
2012,0.357,0.413,0.185,43920,71523,5017,0.158,-0.275,0.111,0.219,0.633,0.122,-0.007,-0.069,0,0.267,0.552,0.156,-0.436,0.597
2012,0.431,0.37,0.175,85496,153823,5018,0.166,-0.27,0.12,0.323,0.536,0.082,-0.038,-0.002,0,0.347,0.553,0.073,0.498,0.985
2012,0.478,0.44,0.066,3551,5992,5019,0.277,-0.327,0.052,0.32,0.634,0.026,-0.01,-0.066,0,0.312,0.653,0.023,0.288,1.489
2012,0.407,0.445,0.121,28367,48626,5020,0.155,-0.23,0.075,0.237,0.66,0.083,-0.045,-0.032,0,0.361,0.546,0.056,-0.497,1.108
2012,0.351,0.479,0.134,2812,4639,5021,0.237,-0.347,0.099,0.189,0.731,0.053,-0.043,-0.071,0,0.151,0.754,0.072,0.953,1.061
2012,0.415,0.438,0.123,10161,16998,5022,0.135,-0.225,0.087,0.42,0.518,0.044,0.005,-0.03,0,0.333,0.602,0.044,0.382,1.301
2012,0.395,0.487,0.102,3736,6727,5023,0.277,-0.282,-0.005,0.137,0.695,0.162,-0.025,-0.096,0,0.14,0.63,0.221,0.069,0.355
2012,0.378,0.474,0.106,18804,30938,5024,0.079,-0.051,0.021,0.465,0.39,0.078,0.116,-0.051,0,0.177,0.684,0.113,0.466,0.827
2012,0.422,0.42,0.125,57956,114001,5025,0.182,-0.258,0.065,0.331,0.595,0.055,0,-0.089,0,0.277,0.607,0.09,0.328,0.97
2012,0.278,0.624,0.077,1722,2844,5026,0.136,-0.195,0.048,0.179,0.742,0.066,-0.023,0.024,0,0.239,0.706,0.034,-0.492,0.774
2012,0.425,0.418,0.13,23285,45669,5027,0.224,-0.333,0.099,0.283,0.651,0.047,-0.08,-0.045,0,0.268,0.65,0.047,0.481,1.031
2012,0.426,0.366,0.17,26014,43870,5028,0.207,-0.324,0.123,0.285,0.568,0.066,-0.039,-0.043,0,0.258,0.637,0.067,0.733,0.884
2012,0.358,0.543,0.065,1076,1726,5029,0.194,-0.047,0.054,0.099,0.36,0.042,-0.021,0.024,0,0.295,0.639,0.034,-0.261,1.112
2012,0.368,0.442,0.136,278675,486606,5030,0.198,-0.322,0.088,0.241,0.681,0.061,-0.065,-0.043,0,0.298,0.605,0.056,0.17,1
2012,0.385,0.431,0.132,9103,15986,5031,0.24,-0.225,0.099,0.217,0.488,0.052,-0.022,-0.019,0,0.295,0.609,0.057,0.061,1.172
2012,0.409,0.44,0.108,19765,32153,5032,0.211,-0.286,0.079,0.255,0.654,0.033,-0.044,-0.138,0,0.27,0.634,0.062,0.486,1.099
2012,0.314,0.425,0.224,43132,69474,5033,0.177,-0.252,0.077,0.093,0.604,0.271,-0.043,-0.029,0,0.112,0.583,0.267,0.604,0.519
2012,0.269,0.544,0.168,1824,3432,5034,-0.025,-0.108,0.124,0.399,0.521,0.068,0.068,0.011,0,0.132,0.787,0.066,1.007,0.889
2012,0.399,0.354,0.208,268816,443974,5035,0.128,-0.3,0.17,0.342,0.574,0.057,-0.055,-0.089,0,0.346,0.525,0.091,0.379,0.821
2012,0.373,0.487,0.124,8872,14048,5036,0.235,-0.261,0.041,0.159,0.721,0.096,0.006,-0.094,0,0.196,0.658,0.132,-0.413,0.662
2012,0.511,0.434,0.042,2786,4745,5037,0.212,-0.247,0.028,0.32,0.642,0.025,-0.038,-0.018,0,0.413,0.565,0.012,-0.242,1.663
2012,0.568,0.353,0.057,5514,9516,5038,0.237,-0.261,0.039,0.367,0.559,0.038,-0.029,0.007,0,0.394,0.573,0.021,0.186,1.387
2012,0.369,0.415,0.19,72088,114568,6001,-0.051,-0.046,0.102,0.403,0.482,0.091,-0.033,-0.075,0,0.396,0.45,0.122,0.112,0.844
2012,0.431,0.465,0.094,10914,15448,6002,-0.012,0.011,0.003,0.447,0.464,0.081,-0.012,-0.02,0,0.377,0.542,0.061,0.268,1.184
2012,0.446,0.453,0.094,10177,15020,6003,-0.032,0.033,0.011,0.375,0.46,0.146,-0.025,0.096,0,0.573,0.384,0.034,-0.656,1.228
2012,0.26,0.451,0.275,13813,21180,6004,-0.066,0.037,0.029,0.365,0.382,0.238,0.043,0.03,0,0.249,0.526,0.21,0.204,0.567
2012,0.329,0.421,0.219,50430,80687,6005,-0.095,0.011,0.096,0.387,0.447,0.132,-0.038,-0.031,0,0.414,0.429,0.122,-0.019,0.887
2012,0.359,0.508,0.114,12759,21032,6006,-0.182,0.097,0.069,0.503,0.433,0.061,0.064,-0.119,0,0.293,0.587,0.108,0.119,1.309
2012,0.35,0.55,0.092,3432,4841,6007,-0.027,0.058,-0.028,0.377,0.456,0.161,0.065,0.06,0,0.444,0.493,0.058,-1.095,1.109
2012,0.405,0.464,0.116,69291,116327,6008,-0.005,-0.066,0.073,0.508,0.44,0.038,-0.003,-0.086,0,0.389,0.535,0.052,0.383,1.658
2012,0.246,0.648,0.078,4397,6384,6009,-0.083,0.018,0.043,0.449,0.519,0.026,0.049,-0.156,0,0.248,0.691,0.044,0.181,1.505
2012,0.392,0.5,0.098,42642,76408,6010,-0.102,0.038,0.059,0.526,0.442,0.028,0.046,-0.173,0,0.38,0.515,0.089,-0.047,1.128
2012,0.198,0.621,0.164,6838,10601,7001,-0.202,0.234,-0.012,0.641,0.22,0.111,0.271,-0.019,0,0.06,0.733,0.19,1.533,1.265
