"yr","pan","pri","left","efec","lisnom","ife","d.pan","d.pri","d.left","vhat.pan","vhat.pri","vhat.left","bhat.pan","bhat.left","dbackward","alphahat.pan","alphahat.pri","alphahat.left","betahat.pan","betahat.left"
1988,NA,NA,NA,NA,NA,1001,NA,NA,NA,0.305,0.44,0.081,0.048,0.04,1,0.172,0.651,0.099,1.915,1.312
1988,NA,NA,NA,NA,NA,1002,NA,NA,NA,0.049,0.634,0.193,0.17,-0.012,1,0.071,0.798,0.072,2.801,2.017
1988,NA,NA,NA,NA,NA,1003,NA,NA,NA,0.425,0.457,0.044,0.019,0.042,1,0.205,0.667,0.069,1.938,1.505
1988,NA,NA,NA,NA,NA,1004,NA,NA,NA,0.137,0.654,0.076,0.107,-0.012,1,0.156,0.763,0.042,1.487,1.543
1988,NA,NA,NA,NA,NA,1005,NA,NA,NA,0.272,0.568,0.039,0.05,0.056,1,0.193,0.708,0.051,1.729,1.529
1988,NA,NA,NA,NA,NA,1006,NA,NA,NA,0.276,0.478,0.109,0.006,-0.036,1,0.162,0.636,0.108,1.189,0.928
1988,NA,NA,NA,NA,NA,1007,NA,NA,NA,0.161,0.393,0.116,0.056,-0.039,1,0.17,0.671,0.08,1.539,1.371
1988,NA,NA,NA,NA,NA,1008,NA,NA,NA,0.047,0.304,0.02,0.117,0.109,1,0.122,0.677,0.126,1.891,1.119
1988,NA,NA,NA,NA,NA,1009,NA,NA,NA,0.079,0.513,0.134,0.14,-0.038,1,0.087,0.816,0.058,2.775,1.951
1988,NA,NA,NA,NA,NA,1010,NA,NA,NA,0.164,0.549,0.061,0.073,0.039,1,0.214,0.651,0.085,0.886,0.906
1988,NA,NA,NA,NA,NA,1011,NA,NA,NA,0.034,0.633,0.101,0.172,0.022,1,0.053,0.841,0.08,2.74,1.864
1988,NA,NA,NA,NA,NA,2001,NA,NA,NA,0.312,0.394,0.112,0.031,0.018,1,0.265,0.575,0.124,1.034,1.49
1988,NA,NA,NA,NA,NA,2002,NA,NA,NA,0.296,0.5,0.084,0.043,0.02,1,0.27,0.624,0.066,1.266,1.878
1988,NA,NA,NA,NA,NA,2003,NA,NA,NA,0.172,0.64,0.121,0.094,0.025,1,0.221,0.646,0.093,1.082,1.487
1988,NA,NA,NA,NA,NA,2004,NA,NA,NA,0.373,0.424,0.072,0.024,0.03,1,0.29,0.592,0.072,1.152,1.916
1988,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,3001,NA,NA,NA,0.342,0.609,0.018,0.033,0.298,1,0.168,0.589,0.206,1.893,1.451
1988,NA,NA,NA,NA,NA,3002,NA,NA,NA,0.546,0.427,0.003,-0.069,0.367,1,0.157,0.676,0.13,1.792,1.604
1988,NA,NA,NA,NA,NA,3003,NA,NA,NA,0.228,0.663,0.008,0.014,0.341,1,0.089,0.651,0.18,2.151,1.381
1988,NA,NA,NA,NA,NA,3004,NA,NA,NA,0.261,0.658,0.005,0.04,0.395,1,0.084,0.673,0.192,2.689,1.698
1988,NA,NA,NA,NA,NA,3005,NA,NA,NA,0.447,0.551,0,0.024,0.554,1,0.265,0.638,0.074,1.561,1.556
1988,NA,NA,NA,NA,NA,4001,NA,NA,NA,0.128,0.359,0.292,0.062,-0.056,1,0.366,0.467,0.129,-0.3,0.741
1988,NA,NA,NA,NA,NA,4002,NA,NA,NA,0.007,0.42,0.288,0.267,-0.109,1,0.179,0.681,0.089,0.196,1.156
1988,NA,NA,NA,NA,NA,4003,NA,NA,NA,0.029,0.624,0.267,0.21,0.019,1,0.254,0.598,0.125,0.437,1.117
1988,NA,NA,NA,NA,NA,4004,NA,NA,NA,0.007,0.624,0.326,0.275,-0.008,1,0.174,0.671,0.126,0.395,1.015
1988,NA,NA,NA,NA,NA,4005,NA,NA,NA,0.001,0.27,0.431,0.366,-0.156,1,0.238,0.612,0.104,-0.078,0.97
1988,NA,NA,NA,NA,NA,4006,NA,NA,NA,0.006,0.528,0.329,0.294,-0.07,1,0.326,0.56,0.084,-0.484,0.91
1988,NA,NA,NA,NA,NA,4007,NA,NA,NA,0.008,0.942,0.031,0.246,0.229,1,0.182,0.683,0.112,-0.172,0.934
1988,NA,NA,NA,NA,NA,4008,NA,NA,NA,0.005,0.401,0.149,0.253,-0.051,1,0.204,0.714,0.042,0.298,1.437
1988,NA,NA,NA,NA,NA,4009,NA,NA,NA,0.002,0.565,0.377,0.38,-0.03,1,0.105,0.695,0.176,1.203,0.909
1988,NA,NA,NA,NA,NA,4010,NA,NA,NA,0.222,0.13,0.533,0,0,1,0.222,0.13,0.533,0,0
1988,NA,NA,NA,NA,NA,4011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,4012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,4013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,5001,NA,NA,NA,0.115,0.806,0.053,0.116,-0.087,1,0.114,0.85,0.011,1.632,1.912
1988,NA,NA,NA,NA,NA,5002,NA,NA,NA,0.125,0.23,0.009,-0.005,0.172,1,0.143,0.7,0.089,1.082,1.078
1988,NA,NA,NA,NA,NA,5003,NA,NA,NA,0.377,0.486,0.051,0.002,-0.036,1,0.314,0.641,0.02,0.309,1.686
1988,NA,NA,NA,NA,NA,5004,NA,NA,NA,0.093,0.683,0.011,0.047,0.093,1,0.117,0.842,0.023,0.721,1.266
1988,NA,NA,NA,NA,NA,5005,NA,NA,NA,0.311,0.665,0.012,-0.029,-0.058,1,0.117,0.869,0.005,1.428,1.805
1988,NA,NA,NA,NA,NA,5006,NA,NA,NA,0.104,0.354,0.487,0.037,-0.127,1,0.163,0.675,0.136,0.574,0.846
1988,NA,NA,NA,NA,NA,5007,NA,NA,NA,0.274,0.593,0.058,0.004,-0.003,1,0.203,0.731,0.042,0.676,1.194
1988,NA,NA,NA,NA,NA,5008,NA,NA,NA,0.034,0.674,0.059,0.159,-0.077,1,0.186,0.79,0.015,0.368,1.659
1988,NA,NA,NA,NA,NA,5009,NA,NA,NA,0.014,0.136,0.051,0.058,-0.002,1,0.117,0.691,0.135,0.466,1.024
1988,NA,NA,NA,NA,NA,5010,NA,NA,NA,0.185,0.326,0.161,0.035,-0.088,1,0.21,0.665,0.074,1.031,1.195
1988,NA,NA,NA,NA,NA,5011,NA,NA,NA,0.022,0.632,0.027,0.2,0.051,1,0.076,0.861,0.04,2.102,1.086
1988,NA,NA,NA,NA,NA,5012,NA,NA,NA,0.125,0.748,0.02,0.038,0.069,1,0.124,0.841,0.03,1.088,0.786
1988,NA,NA,NA,NA,NA,5013,NA,NA,NA,0.03,0.727,0.09,0.11,-0.032,1,0.029,0.926,0.027,1.947,1.46
1988,NA,NA,NA,NA,NA,5014,NA,NA,NA,0.031,0.404,0.005,0.048,0.198,1,0.084,0.854,0.04,0.942,1.361
1988,NA,NA,NA,NA,NA,5015,NA,NA,NA,0.093,0.858,0.038,0.089,-0.079,1,0.064,0.912,0.011,2.072,1.637
1988,NA,NA,NA,NA,NA,5016,NA,NA,NA,0.529,0.461,0.005,-0.062,0.187,1,0.254,0.7,0.037,0.741,1.143
1988,NA,NA,NA,NA,NA,5017,NA,NA,NA,0.205,0.362,0.183,-0.049,-0.007,1,0.293,0.548,0.135,-0.537,0.692
1988,NA,NA,NA,NA,NA,5018,NA,NA,NA,0.381,0.351,0.19,-0.006,-0.121,1,0.309,0.599,0.062,0.702,1.149
1988,NA,NA,NA,NA,NA,5019,NA,NA,NA,0.238,0.612,0.021,0.035,0.042,1,0.287,0.685,0.016,0.423,1.775
1988,NA,NA,NA,NA,NA,5020,NA,NA,NA,0.218,0.287,0.054,-0.025,-0.009,1,0.39,0.533,0.041,-0.603,1.3
1988,NA,NA,NA,NA,NA,5021,NA,NA,NA,0.099,0.502,0.31,0.065,-0.129,1,0.109,0.808,0.06,1.367,1.24
1988,NA,NA,NA,NA,NA,5022,NA,NA,NA,0.113,0.367,0.109,0.091,-0.104,1,0.302,0.643,0.034,0.554,1.535
1988,NA,NA,NA,NA,NA,5023,NA,NA,NA,0.076,0.598,0.262,0.054,0.045,1,0.129,0.654,0.208,0.188,0.424
1988,NA,NA,NA,NA,NA,5024,NA,NA,NA,0.066,0.607,0.06,0.101,0.093,1,0.142,0.732,0.1,0.765,0.959
1988,NA,NA,NA,NA,NA,5025,NA,NA,NA,0.143,0.32,0.279,0.013,-0.127,1,0.256,0.641,0.076,0.469,1.127
1988,NA,NA,NA,NA,NA,5026,NA,NA,NA,0.139,0.448,0.012,0.006,0.081,1,0.262,0.691,0.028,-0.609,0.915
1988,NA,NA,NA,NA,NA,5027,NA,NA,NA,0.085,0.262,0.04,0.088,-0.044,1,0.222,0.703,0.039,0.758,1.215
1988,NA,NA,NA,NA,NA,5028,NA,NA,NA,0.192,0.602,0.041,0.078,0.074,1,0.208,0.692,0.059,1.042,1.028
1988,NA,NA,NA,NA,NA,5029,NA,NA,NA,0.288,0.68,0.012,-0.013,0.126,1,0.312,0.634,0.024,-0.325,1.337
1988,NA,NA,NA,NA,NA,5030,NA,NA,NA,0.16,0.432,0.045,0.06,0.009,1,0.278,0.634,0.046,0.289,1.174
1988,NA,NA,NA,NA,NA,5031,NA,NA,NA,0.178,0.561,0.237,0.06,-0.116,1,0.281,0.637,0.044,0.158,1.384
1988,NA,NA,NA,NA,NA,5032,NA,NA,NA,0.151,0.392,0.129,0.05,-0.05,1,0.232,0.682,0.051,0.717,1.29
1988,NA,NA,NA,NA,NA,5033,NA,NA,NA,0.157,0.375,0.345,-0.043,-0.032,1,0.088,0.618,0.255,0.919,0.591
1988,NA,NA,NA,NA,NA,5034,NA,NA,NA,0.092,0.774,0.086,0.081,-0.008,1,0.091,0.836,0.057,1.448,1.028
1988,NA,NA,NA,NA,NA,5035,NA,NA,NA,0.255,0.301,0.142,0.015,-0.062,1,0.318,0.563,0.081,0.541,0.956
1988,NA,NA,NA,NA,NA,5036,NA,NA,NA,0.127,0.535,0.28,-0.025,-0.026,1,0.205,0.666,0.115,-0.449,0.77
1988,NA,NA,NA,NA,NA,5037,NA,NA,NA,0.445,0.525,0.005,-0.017,0.115,1,0.419,0.564,0.007,-0.261,2.011
1988,NA,NA,NA,NA,NA,5038,NA,NA,NA,0.381,0.495,0.015,-0.001,0.05,1,0.374,0.599,0.015,0.287,1.653
1988,NA,NA,NA,NA,NA,6001,NA,NA,NA,0.296,0.487,0.096,0.051,0.061,1,0.392,0.469,0.106,0.165,0.97
1988,NA,NA,NA,NA,NA,6002,NA,NA,NA,0.089,0.429,0.014,0.132,0.148,1,0.353,0.578,0.049,0.401,1.383
1988,NA,NA,NA,NA,NA,6003,NA,NA,NA,0.566,0.365,0.01,-0.038,0.127,1,0.631,0.34,0.022,-0.879,1.457
1988,NA,NA,NA,NA,NA,6004,NA,NA,NA,0.043,0.559,0.365,0.161,-0.046,1,0.23,0.555,0.199,0.342,0.641
1988,NA,NA,NA,NA,NA,6005,NA,NA,NA,0.311,0.497,0.065,0.052,0.092,1,0.419,0.442,0.104,-0.001,1.021
1988,NA,NA,NA,NA,NA,6006,NA,NA,NA,0.158,0.487,0.135,0.022,0.052,1,0.275,0.626,0.087,0.25,1.508
1988,NA,NA,NA,NA,NA,6007,NA,NA,NA,0.195,0.685,0.055,0.033,0.04,1,0.516,0.441,0.038,-1.367,1.316
1988,NA,NA,NA,NA,NA,6008,NA,NA,NA,0.164,0.581,0.157,0.112,-0.025,1,0.357,0.579,0.038,0.553,1.926
1988,NA,NA,NA,NA,NA,6009,NA,NA,NA,0.112,0.784,0.046,0.098,0.099,1,0.222,0.729,0.032,0.347,1.776
1988,NA,NA,NA,NA,NA,6010,NA,NA,NA,0.123,0.45,0.33,0.072,-0.044,1,0.382,0.532,0.07,-0.021,1.316
1988,NA,NA,NA,NA,NA,7001,NA,NA,NA,0.003,0.339,0.582,0.215,-0.1,1,0.03,0.788,0.164,2.303,1.42
1988,NA,NA,NA,NA,NA,7002,NA,NA,NA,0.368,0.317,0.287,-0.12,-0.058,1,0.109,0.67,0.189,1.166,1.4
1988,NA,NA,NA,NA,NA,7003,NA,NA,NA,0.001,0.143,0.805,0.276,-0.21,1,0.077,0.723,0.164,1.359,1.525
1988,NA,NA,NA,NA,NA,7004,NA,NA,NA,0.036,0.738,0.158,-0.039,0.039,1,0.022,0.861,0.106,1.298,1.469
1988,NA,NA,NA,NA,NA,7005,NA,NA,NA,0.001,0.658,0.303,0.451,-0.044,1,0.011,0.885,0.087,3.471,1.957
1988,NA,NA,NA,NA,NA,7006,NA,NA,NA,0.011,0.562,0.261,0.121,0.055,1,0.008,0.736,0.248,2.773,1.323
1988,NA,NA,NA,NA,NA,7007,NA,NA,NA,0.011,0.237,0.744,-0.045,-0.145,1,0.005,0.63,0.351,1.612,-0.243
1988,NA,NA,NA,NA,NA,7008,NA,NA,NA,0.002,0.574,0.346,0.306,-0.012,1,0.045,0.658,0.279,1.318,0.639
1988,NA,NA,NA,NA,NA,7009,NA,NA,NA,0.181,0.675,0.08,0.099,0.109,1,0.163,0.715,0.093,1.326,1.755
1988,NA,NA,NA,NA,NA,7010,NA,NA,NA,0,0.526,0.435,0.408,-0.067,1,0.001,0.778,0.216,4.152,0.893
