"CVE_ENT","CVE_MUN","SECCION_NUM","NOMBRE ENTIDAD","NOMBRE MUNICIPIO","tipo_seccion","n_localidades_en_seccion","n_localidades_cabecera_en_seccion","cabecera"
"09","007",5640,"CIUDAD DE MEXICO","IZTAPALAPA","URBANO A",1,1,NA
"09","007",5641,"CIUDAD DE MEXICO","IZTAPALAPA","URBANO A",1,1,NA
"09","007",5642,"CIUDAD DE MEXICO","IZTAPALAPA","URBANO A",1,1,NA
"09","007",5643,"CIUDAD DE MEXICO","IZTAPALAPA","URBANO A",1,1,NA
"09","010",5635,"CIUDAD DE MEXICO","ALVARO OBREGON","URBANO A",1,1,NA
"09","010",5636,"CIUDAD DE MEXICO","ALVARO OBREGON","URBANO A",1,1,NA
"09","010",5637,"CIUDAD DE MEXICO","ALVARO OBREGON","URBANO A",1,1,NA
"09","010",5638,"CIUDAD DE MEXICO","ALVARO OBREGON","URBANO A",1,1,NA
"09","010",5639,"CIUDAD DE MEXICO","ALVARO OBREGON","URBANO A",1,1,NA
"09","011",5631,"CIUDAD DE MEXICO","TLAHUAC","URBANO A",1,1,NA
"09","011",5632,"CIUDAD DE MEXICO","TLAHUAC","URBANO A",1,1,NA
"09","011",5633,"CIUDAD DE MEXICO","TLAHUAC","URBANO A",1,1,NA
"09","011",5634,"CIUDAD DE MEXICO","TLAHUAC","URBANO A",1,1,NA
