"CVE_ENT","CVE_MUN","SECCION_NUM","NOMBRE ENTIDAD","NOMBRE MUNICIPIO","tipo_seccion","n_localidades_en_seccion","n_localidades_cabecera_en_seccion","cabecera"
"13","047",1921,"HIDALGO","PACHUCA DE SOTO","URBANO A",1,1,1
"13","047",1922,"HIDALGO","PACHUCA DE SOTO","URBANO A",1,1,1
"13","047",1923,"HIDALGO","PACHUCA DE SOTO","URBANO A",1,1,1
"13","047",1924,"HIDALGO","PACHUCA DE SOTO","URBANO A",1,1,1
"13","047",1925,"HIDALGO","PACHUCA DE SOTO","URBANO A",1,1,1
"13","047",1926,"HIDALGO","PACHUCA DE SOTO","URBANO A",1,1,1
"13","056",1908,"HIDALGO","SANTIAGO TULANTEPEC DE LUGO GUERRERO","URBANO A",2,0,0
"13","056",1909,"HIDALGO","SANTIAGO TULANTEPEC DE LUGO GUERRERO","URBANO A",3,0,0
"13","056",1910,"HIDALGO","SANTIAGO TULANTEPEC DE LUGO GUERRERO","RURAL",4,0,0
"13","056",1911,"HIDALGO","SANTIAGO TULANTEPEC DE LUGO GUERRERO","RURAL",4,0,0
"13","056",1912,"HIDALGO","SANTIAGO TULANTEPEC DE LUGO GUERRERO","RURAL",4,0,0
"13","056",1913,"HIDALGO","SANTIAGO TULANTEPEC DE LUGO GUERRERO","RURAL",2,0,0
"13","068",1927,"HIDALGO","TIZAYUCA","RURAL",4,0,0
"13","068",1928,"HIDALGO","TIZAYUCA","RURAL",1,0,0
"13","068",1929,"HIDALGO","TIZAYUCA","RURAL",2,0,0
"13","068",1930,"HIDALGO","TIZAYUCA","URBANO A",2,0,0
"13","068",1931,"HIDALGO","TIZAYUCA","URBANO A",1,0,0
"13","068",1932,"HIDALGO","TIZAYUCA","URBANO A",1,0,0
"13","068",1933,"HIDALGO","TIZAYUCA","URBANO A",1,0,0
"13","076",1914,"HIDALGO","TULANCINGO DE BRAVO","RURAL",1,0,0
"13","076",1915,"HIDALGO","TULANCINGO DE BRAVO","RURAL",2,0,0
"13","076",1916,"HIDALGO","TULANCINGO DE BRAVO","URBANO A",2,0,0
"13","076",1917,"HIDALGO","TULANCINGO DE BRAVO","URBANO A",1,0,0
"13","076",1918,"HIDALGO","TULANCINGO DE BRAVO","URBANO A",2,0,0
"13","076",1919,"HIDALGO","TULANCINGO DE BRAVO","URBANO A",1,0,0
"13","076",1920,"HIDALGO","TULANCINGO DE BRAVO","URBANO A",2,0,0
"13","083",1934,"HIDALGO","ZEMPOALA","RURAL",1,0,0
"13","083",1935,"HIDALGO","ZEMPOALA","RURAL",4,0,0
"13","083",1936,"HIDALGO","ZEMPOALA","RURAL",4,0,0
"13","083",1937,"HIDALGO","ZEMPOALA","RURAL",1,0,0
"13","083",1938,"HIDALGO","ZEMPOALA","URBANO A",1,0,0
"13","083",1939,"HIDALGO","ZEMPOALA","RURAL",5,0,0
"13","083",1940,"HIDALGO","ZEMPOALA","URBANO A",2,0,0
"13","083",1941,"HIDALGO","ZEMPOALA","URBANO A",1,0,0
"13","083",1942,"HIDALGO","ZEMPOALA","RURAL",1,0,0
"13","083",1943,"HIDALGO","ZEMPOALA","URBANO A",5,0,0
"13","083",1944,"HIDALGO","ZEMPOALA","RURAL",6,0,0
"13","083",1945,"HIDALGO","ZEMPOALA","RURAL",2,0,0
"13","083",1946,"HIDALGO","ZEMPOALA","RURAL",1,0,0
"13","083",1947,"HIDALGO","ZEMPOALA","RURAL",1,0,0
"13","083",1948,"HIDALGO","ZEMPOALA","RURAL",1,0,0
