CVE_ENT,CVE_MUN,SECCION_NUM,NOMBRE ENTIDAD,NOMBRE MUNICIPIO,tipo_seccion,n_localidades_en_seccion,n_localidades_cabecera_en_seccion,cabecera
21,115,2984,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,2985,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,2986,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,2987,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,2988,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,2989,PUEBLA,PUEBLA,URBANO A,2,1,NA
21,115,2990,PUEBLA,PUEBLA,URBANO A,2,1,NA
21,115,2991,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,2992,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,2993,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,15,2994,PUEBLA,AMOZOC,URBANO A,4,1,NA
21,15,2995,PUEBLA,AMOZOC,URBANO A,1,1,NA
21,15,2996,PUEBLA,AMOZOC,URBANO A,1,1,NA
21,15,2997,PUEBLA,AMOZOC,URBANO A,1,1,NA
21,15,2998,PUEBLA,AMOZOC,URBANO A,4,1,NA
21,15,2999,PUEBLA,AMOZOC,URBANO A,2,1,NA
21,120,3000,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3001,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3002,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3003,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3004,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3005,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3006,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3007,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3008,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3009,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3010,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3011,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3012,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3013,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3014,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3015,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3016,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3017,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,120,3018,PUEBLA,SAN ANDRES CHOLULA,URBANO A,1,1,NA
21,115,3019,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3020,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3021,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3022,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3023,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3024,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3025,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3026,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3027,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3028,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3029,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3030,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3031,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3032,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3033,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3034,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3035,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3036,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3037,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3038,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3039,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3040,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3041,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3042,PUEBLA,PUEBLA,URBANO A,2,1,NA
21,115,3043,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,115,3044,PUEBLA,PUEBLA,URBANO A,2,1,NA
21,115,3045,PUEBLA,PUEBLA,URBANO A,1,1,NA
21,155,3046,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3047,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3048,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3049,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3050,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3051,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3052,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3053,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3054,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3055,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3056,PUEBLA,TEHUACAN,URBANO A,1,1,NA
21,155,3057,PUEBLA,TEHUACAN,URBANO A,1,1,NA
