ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE_MUNICIPIO,SECCION,TIPO_SECCION,TIPO_NOMBRE
2,7,1,ENSENADA,1,2,URBANO(A)
2,7,1,ENSENADA,2,2,URBANO(A)
2,7,1,ENSENADA,3,2,URBANO(A)
2,7,1,ENSENADA,4,2,URBANO(A)
2,7,1,ENSENADA,5,2,URBANO(A)
2,7,1,ENSENADA,6,2,URBANO(A)
2,7,1,ENSENADA,7,2,URBANO(A)
2,7,1,ENSENADA,8,2,URBANO(A)
2,7,1,ENSENADA,9,2,URBANO(A)
2,7,1,ENSENADA,10,2,URBANO(A)
2,7,1,ENSENADA,11,2,URBANO(A)
2,7,1,ENSENADA,12,2,URBANO(A)
2,3,1,ENSENADA,15,2,URBANO(A)
2,3,1,ENSENADA,16,2,URBANO(A)
2,3,1,ENSENADA,17,2,URBANO(A)
2,3,1,ENSENADA,18,2,URBANO(A)
2,3,1,ENSENADA,19,2,URBANO(A)
2,7,1,ENSENADA,20,2,URBANO(A)
2,7,1,ENSENADA,21,2,URBANO(A)
2,7,1,ENSENADA,22,2,URBANO(A)
2,7,1,ENSENADA,23,2,URBANO(A)
2,7,1,ENSENADA,24,2,URBANO(A)
2,7,1,ENSENADA,25,2,URBANO(A)
2,7,1,ENSENADA,26,2,URBANO(A)
2,3,1,ENSENADA,27,2,URBANO(A)
2,3,1,ENSENADA,28,2,URBANO(A)
2,3,1,ENSENADA,29,2,URBANO(A)
2,3,1,ENSENADA,30,2,URBANO(A)
2,3,1,ENSENADA,31,2,URBANO(A)
2,3,1,ENSENADA,32,2,URBANO(A)
2,3,1,ENSENADA,33,2,URBANO(A)
2,3,1,ENSENADA,34,2,URBANO(A)
2,3,1,ENSENADA,35,2,URBANO(A)
2,7,1,ENSENADA,36,2,URBANO(A)
2,3,1,ENSENADA,37,2,URBANO(A)
2,3,1,ENSENADA,38,2,URBANO(A)
2,3,1,ENSENADA,39,2,URBANO(A)
2,3,1,ENSENADA,40,2,URBANO(A)
2,3,1,ENSENADA,41,2,URBANO(A)
2,3,1,ENSENADA,42,2,URBANO(A)
2,3,1,ENSENADA,43,2,URBANO(A)
2,3,1,ENSENADA,44,2,URBANO(A)
2,3,1,ENSENADA,45,2,URBANO(A)
2,7,1,ENSENADA,46,2,URBANO(A)
2,7,1,ENSENADA,47,2,URBANO(A)
2,7,1,ENSENADA,48,2,URBANO(A)
2,7,1,ENSENADA,49,2,URBANO(A)
2,3,1,ENSENADA,50,2,URBANO(A)
2,3,1,ENSENADA,51,2,URBANO(A)
2,3,1,ENSENADA,52,2,URBANO(A)
2,3,1,ENSENADA,53,2,URBANO(A)
2,3,1,ENSENADA,54,2,URBANO(A)
2,3,1,ENSENADA,55,2,URBANO(A)
2,3,1,ENSENADA,56,2,URBANO(A)
2,3,1,ENSENADA,57,2,URBANO(A)
2,3,1,ENSENADA,58,2,URBANO(A)
2,3,1,ENSENADA,59,2,URBANO(A)
2,3,1,ENSENADA,60,2,URBANO(A)
2,3,1,ENSENADA,61,2,URBANO(A)
2,3,1,ENSENADA,62,2,URBANO(A)
2,3,1,ENSENADA,63,2,URBANO(A)
2,3,1,ENSENADA,64,2,URBANO(A)
2,3,1,ENSENADA,65,2,URBANO(A)
2,3,1,ENSENADA,66,2,URBANO(A)
2,3,1,ENSENADA,67,2,URBANO(A)
2,3,1,ENSENADA,68,2,URBANO(A)
2,3,1,ENSENADA,69,2,URBANO(A)
2,3,1,ENSENADA,70,2,URBANO(A)
2,3,1,ENSENADA,71,2,URBANO(A)
2,3,1,ENSENADA,72,2,URBANO(A)
2,3,1,ENSENADA,73,2,URBANO(A)
2,3,1,ENSENADA,74,2,URBANO(A)
2,3,1,ENSENADA,75,2,URBANO(A)
2,3,1,ENSENADA,76,2,URBANO(A)
2,3,1,ENSENADA,77,2,URBANO(A)
2,3,1,ENSENADA,78,2,URBANO(A)
2,3,1,ENSENADA,79,2,URBANO(A)
2,3,1,ENSENADA,80,2,URBANO(A)
