ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE_MUNICIPIO,SECCION,TIPO_SECCION,TIPO_NOMBRE
10,3,1,CANATLAN,1,2,URBANO(A)
10,3,1,CANATLAN,2,2,URBANO(A)
10,3,1,CANATLAN,3,2,URBANO(A)
10,3,1,CANATLAN,4,2,URBANO(A)
10,3,1,CANATLAN,5,2,URBANO(A)
10,3,1,CANATLAN,6,2,URBANO(A)
10,3,1,CANATLAN,7,2,URBANO(A)
10,3,1,CANATLAN,8,4,RURAL
10,3,1,CANATLAN,9,4,RURAL
10,3,1,CANATLAN,10,4,RURAL
10,3,1,CANATLAN,12,4,RURAL
10,3,1,CANATLAN,13,4,RURAL
10,3,1,CANATLAN,14,4,RURAL
10,3,1,CANATLAN,15,4,RURAL
10,3,1,CANATLAN,16,4,RURAL
10,3,1,CANATLAN,17,4,RURAL
10,3,1,CANATLAN,19,4,RURAL
10,3,1,CANATLAN,20,4,RURAL
10,3,1,CANATLAN,21,4,RURAL
10,3,1,CANATLAN,22,3,MIXTO(A)
10,3,1,CANATLAN,23,4,RURAL
10,3,1,CANATLAN,24,4,RURAL
10,3,1,CANATLAN,25,4,RURAL
10,3,1,CANATLAN,26,4,RURAL
10,3,1,CANATLAN,27,4,RURAL
10,3,1,CANATLAN,28,2,URBANO(A)
10,3,1,CANATLAN,29,3,MIXTO(A)
10,3,1,CANATLAN,30,4,RURAL
10,3,1,CANATLAN,31,4,RURAL
10,3,1,CANATLAN,32,4,RURAL
10,3,1,CANATLAN,33,4,RURAL
10,3,1,CANATLAN,34,4,RURAL
10,3,1,CANATLAN,35,4,RURAL
10,3,1,CANATLAN,37,4,RURAL
10,3,1,CANATLAN,38,4,RURAL
10,3,1,CANATLAN,39,4,RURAL
10,3,1,CANATLAN,40,4,RURAL
10,1,2,CANELAS,42,3,MIXTO(A)
10,1,2,CANELAS,43,4,RURAL
10,1,2,CANELAS,44,4,RURAL
10,1,2,CANELAS,46,4,RURAL
10,1,2,CANELAS,47,4,RURAL
10,1,2,CANELAS,48,4,RURAL
10,1,2,CANELAS,50,4,RURAL
10,1,2,CANELAS,51,4,RURAL
10,1,2,CANELAS,52,4,RURAL
10,1,2,CANELAS,53,4,RURAL
10,1,2,CANELAS,54,4,RURAL
10,1,2,CANELAS,55,4,RURAL
10,1,2,CANELAS,56,4,RURAL
10,3,3,CONETO DE COMONFORT,57,2,URBANO(A)
10,3,3,CONETO DE COMONFORT,58,4,RURAL
10,3,3,CONETO DE COMONFORT,59,4,RURAL
10,3,3,CONETO DE COMONFORT,60,4,RURAL
10,3,3,CONETO DE COMONFORT,61,4,RURAL
10,3,3,CONETO DE COMONFORT,62,4,RURAL
10,3,3,CONETO DE COMONFORT,63,4,RURAL
10,3,3,CONETO DE COMONFORT,64,4,RURAL
10,3,3,CONETO DE COMONFORT,65,4,RURAL
10,3,4,CUENCAME,66,2,URBANO(A)
10,3,4,CUENCAME,67,2,URBANO(A)
10,3,4,CUENCAME,68,2,URBANO(A)
10,3,4,CUENCAME,69,3,MIXTO(A)
10,3,4,CUENCAME,70,3,MIXTO(A)
10,3,4,CUENCAME,72,4,RURAL
10,3,4,CUENCAME,73,4,RURAL
10,3,4,CUENCAME,74,4,RURAL
10,3,4,CUENCAME,75,2,URBANO(A)
10,3,4,CUENCAME,76,3,MIXTO(A)
10,3,4,CUENCAME,77,4,RURAL
10,3,4,CUENCAME,78,4,RURAL
10,3,4,CUENCAME,79,4,RURAL
10,3,4,CUENCAME,80,4,RURAL
10,3,4,CUENCAME,81,4,RURAL
10,3,4,CUENCAME,82,4,RURAL
10,3,4,CUENCAME,83,4,RURAL
10,3,4,CUENCAME,84,4,RURAL
10,3,4,CUENCAME,85,4,RURAL
10,3,4,CUENCAME,86,4,RURAL
10,3,4,CUENCAME,87,4,RURAL
10,3,4,CUENCAME,89,4,RURAL
10,3,4,CUENCAME,90,4,RURAL
10,3,4,CUENCAME,91,4,RURAL
10,3,4,CUENCAME,94,2,URBANO(A)
10,3,4,CUENCAME,95,2,URBANO(A)
10,3,4,CUENCAME,96,4,RURAL
10,3,4,CUENCAME,97,4,RURAL
10,3,4,CUENCAME,99,2,URBANO(A)
10,3,4,CUENCAME,100,3,MIXTO(A)
10,3,4,CUENCAME,101,4,RURAL
10,3,4,CUENCAME,102,4,RURAL
10,3,4,CUENCAME,103,4,RURAL
10,3,4,CUENCAME,104,4,RURAL
10,3,4,CUENCAME,105,2,URBANO(A)
10,3,4,CUENCAME,106,3,MIXTO(A)
10,3,4,CUENCAME,107,4,RURAL
10,4,5,DURANGO,109,2,URBANO(A)
10,4,5,DURANGO,112,2,URBANO(A)
10,4,5,DURANGO,113,2,URBANO(A)
10,4,5,DURANGO,114,2,URBANO(A)
10,4,5,DURANGO,115,2,URBANO(A)
10,4,5,DURANGO,116,2,URBANO(A)
10,4,5,DURANGO,117,2,URBANO(A)
10,4,5,DURANGO,119,2,URBANO(A)
10,4,5,DURANGO,120,2,URBANO(A)
10,4,5,DURANGO,121,2,URBANO(A)
10,4,5,DURANGO,122,2,URBANO(A)
10,4,5,DURANGO,123,2,URBANO(A)
10,4,5,DURANGO,124,2,URBANO(A)
10,4,5,DURANGO,125,2,URBANO(A)
10,4,5,DURANGO,126,2,URBANO(A)
10,4,5,DURANGO,127,2,URBANO(A)
10,4,5,DURANGO,128,2,URBANO(A)
10,4,5,DURANGO,129,2,URBANO(A)
10,4,5,DURANGO,130,2,URBANO(A)
10,4,5,DURANGO,131,2,URBANO(A)
10,4,5,DURANGO,132,2,URBANO(A)
10,4,5,DURANGO,133,2,URBANO(A)
10,4,5,DURANGO,134,2,URBANO(A)
10,4,5,DURANGO,135,2,URBANO(A)
10,4,5,DURANGO,136,2,URBANO(A)
10,4,5,DURANGO,137,2,URBANO(A)
10,4,5,DURANGO,138,2,URBANO(A)
10,4,5,DURANGO,139,2,URBANO(A)
10,4,5,DURANGO,140,2,URBANO(A)
10,4,5,DURANGO,141,2,URBANO(A)
10,4,5,DURANGO,142,2,URBANO(A)
10,4,5,DURANGO,143,2,URBANO(A)
10,4,5,DURANGO,144,2,URBANO(A)
10,4,5,DURANGO,145,2,URBANO(A)
10,4,5,DURANGO,146,2,URBANO(A)
10,4,5,DURANGO,147,2,URBANO(A)
10,4,5,DURANGO,149,2,URBANO(A)
10,4,5,DURANGO,150,2,URBANO(A)
10,4,5,DURANGO,151,2,URBANO(A)
10,4,5,DURANGO,152,2,URBANO(A)
10,4,5,DURANGO,153,2,URBANO(A)
10,4,5,DURANGO,154,2,URBANO(A)
10,4,5,DURANGO,155,2,URBANO(A)
10,4,5,DURANGO,156,2,URBANO(A)
10,4,5,DURANGO,157,2,URBANO(A)
10,4,5,DURANGO,158,2,URBANO(A)
10,4,5,DURANGO,159,2,URBANO(A)
10,4,5,DURANGO,160,2,URBANO(A)
10,4,5,DURANGO,161,2,URBANO(A)
10,4,5,DURANGO,162,2,URBANO(A)
10,4,5,DURANGO,163,2,URBANO(A)
10,4,5,DURANGO,164,2,URBANO(A)
10,4,5,DURANGO,165,2,URBANO(A)
10,4,5,DURANGO,166,2,URBANO(A)
10,4,5,DURANGO,167,2,URBANO(A)
10,4,5,DURANGO,168,2,URBANO(A)
10,4,5,DURANGO,169,2,URBANO(A)
10,4,5,DURANGO,170,2,URBANO(A)
