edon,seccion,munn,escenario1,mc_clv1,panal_clv1,pan_clv1,prd_clv1,prd_cnv1,pri_clv1,escenario2,mc_clv2,panal_clv2,pan_clv2,pes_clv2,prd_clv2,pri_clv2,pt_clv2,pvem_clv2,escenario3
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,51,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,53,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,54,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,55,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,56,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,57,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,58,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,59,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,60,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,61,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,62,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,63,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,64,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,65,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,66,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,67,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,68,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,69,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,70,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,71,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,72,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,73,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,76,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,77,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,78,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,79,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,80,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,81,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,82,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,83,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,84,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,85,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,86,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,87,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,89,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,91,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,92,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,93,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,94,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,95,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,96,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,97,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,98,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,101,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,102,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,103,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,104,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,105,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,106,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,107,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,108,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,109,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,110,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,111,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,112,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,113,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,114,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,115,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,116,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,117,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,118,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,119,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,120,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,121,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,122,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,123,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,124,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,125,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,126,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,127,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,128,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,129,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,130,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
