"edon","seccion","munn","dis35.3.100","dis36.3.100","dis40.3.100","dis35.3.37","dis35.3.107","dis35.3.39","dis35.3.109","dis35.3.34","dis35.3.104","dis35.3.33","dis35.3.35","dis36.3.37","dis36.3.39","dis36.3.38","dis36.3.32","dis36.3.41","dis36.3.110","dis36.3.34","dis36.3.33","dis36.3.353","dis36.3.35","dis36.3.36"
3,1,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,2,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,4,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,5,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,6,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,7,1,4,4,4,2,2,2,2,2,2,8,2,4,4,4,2,2,2,2,4,2,4,4
3,8,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,9,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,10,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,11,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,12,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,13,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,14,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,15,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,16,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,17,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,18,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,19,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,20,1,2,2,2,1,1,1,1,1,1,13,1,2,2,2,1,1,1,1,2,1,2,2
3,21,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,22,1,2,2,2,1,1,1,1,1,1,13,1,2,2,2,1,1,1,1,2,1,2,2
3,23,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,24,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,25,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,26,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,27,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,28,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,29,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,30,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,31,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,32,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,33,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,34,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,35,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,36,1,4,2,2,1,1,1,1,1,1,13,1,2,2,2,1,1,1,1,2,1,2,2
3,37,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,38,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,39,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2
3,40,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,41,1,4,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4
3,42,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,43,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,44,1,4,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4
3,45,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4
3,46,1,4,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4
