edon,seccion,munn,escenario1,escenario2,escenario3,iee1,panal_cnv1,pri_clv1
28,1000,32,18,18,18,17,19,17
28,1001,32,18,18,18,17,19,17
28,1002,32,20,20,20,20,20,20
28,100,3,10,10,10,5,10,5
28,1003,32,20,20,20,20,20,20
28,1004,32,20,20,20,20,20,20
28,1005,32,20,20,20,20,20,20
28,1006,32,20,20,20,20,20,20
28,1007,32,18,18,18,17,19,17
28,1008,32,20,20,20,20,20,20
28,1009,32,20,20,20,20,20,20
28,10,1,3,3,3,1,3,1
28,1010,32,20,20,20,20,20,20
28,1011,32,20,20,20,20,20,20
28,1012,32,20,20,20,20,20,20
28,1013,32,20,20,20,20,20,20
28,101,4,1,1,1,22,1,22
28,1014,32,18,18,18,17,19,17
28,1015,32,18,18,18,17,19,17
28,1016,32,18,18,18,17,19,17
28,1017,32,18,18,18,17,19,17
28,1018,32,18,18,18,17,18,17
28,1019,32,18,18,18,17,18,17
28,1020,32,18,18,18,17,18,17
28,1021,32,19,19,19,21,19,21
28,102,4,1,1,1,22,1,22
28,1024,32,19,19,19,21,18,21
28,1025,32,19,19,19,21,18,21
28,1026,32,19,19,19,21,18,21
28,1027,32,18,18,18,17,19,17
28,1028,32,18,18,18,17,19,17
28,1029,32,18,18,18,17,19,17
28,1030,32,18,18,18,17,19,17
28,1031,32,18,18,18,17,19,17
28,1032,32,18,18,18,17,19,17
28,1033,32,18,18,18,17,19,17
28,103,4,1,1,1,22,1,22
28,1034,32,18,18,18,17,19,17
28,1035,32,18,18,18,21,19,21
28,1036,32,20,20,20,20,20,20
28,1037,32,20,20,20,20,20,20
28,1038,32,20,20,20,20,20,20
28,1039,32,20,20,20,20,20,20
28,1040,32,20,20,20,20,20,20
28,1041,32,20,20,20,20,20,20
28,1042,32,20,20,20,20,20,20
28,1043,32,20,20,20,20,20,20
28,104,4,1,1,1,22,1,22
28,1044,32,19,19,19,21,19,21
28,1045,32,19,19,19,21,19,21
28,1046,32,19,19,19,21,19,21
28,1047,32,19,19,19,21,19,21
