edon,seccion,munn,escenario1,escenario2,escenario3,mc_clv1,panal_cnv1,panal_cnv2,pan_clv2
29,100,7,14,14,3,3,14,14,3
29,101,7,14,14,3,3,14,14,3
29,10,2,7,7,1,1,5,1,1
29,102,7,14,14,3,3,14,14,3
29,103,7,14,14,3,3,14,14,3
29,104,7,14,14,3,3,14,14,3
29,105,7,14,14,3,3,14,14,3
29,106,7,14,14,3,3,14,14,3
29,107,8,14,14,3,3,14,14,3
29,108,8,14,14,3,3,14,14,3
29,109,8,14,14,3,3,14,14,3
29,1,1,10,10,1,1,5,1,1
29,110,8,14,14,3,3,14,14,3
29,111,8,14,14,3,3,14,14,3
29,11,2,7,7,1,1,5,1,1
29,112,8,14,14,3,3,14,14,3
29,113,8,14,14,3,3,14,14,3
29,114,8,14,14,3,3,14,14,3
29,115,8,14,14,3,3,14,14,3
29,116,8,14,14,3,3,14,14,3
29,117,9,5,5,14,14,1,5,14
29,118,9,5,5,14,14,1,5,14
29,119,9,5,5,14,14,1,5,14
29,120,9,5,5,14,14,1,5,14
29,121,9,5,5,14,14,1,5,14
29,122,10,7,7,15,15,7,6,15
29,12,3,8,8,11,11,8,3,11
29,123,10,7,7,15,15,7,6,15
29,124,10,7,7,15,15,7,6,15
29,125,10,7,7,15,15,7,6,15
29,126,10,7,7,15,15,7,6,15
29,127,10,7,7,15,15,7,6,15
29,128,10,7,7,15,15,7,6,15
29,129,10,7,7,15,15,7,6,15
29,130,10,7,7,15,15,7,6,15
29,131,10,7,7,15,15,7,6,15
29,132,10,7,7,15,15,7,6,15
29,13,3,8,8,11,11,8,3,11
29,133,10,7,7,15,15,7,6,15
29,134,10,7,7,15,15,7,6,15
29,135,10,7,7,15,15,7,6,15
29,136,10,7,7,15,15,7,6,15
29,137,10,7,7,15,15,7,6,15
29,138,10,7,7,15,15,7,6,15
29,139,10,7,7,15,15,7,6,15
29,140,10,7,7,15,15,7,6,15
29,141,10,7,7,15,15,7,6,15
29,142,10,7,7,15,15,7,6,15
29,14,3,8,8,11,11,8,3,11
29,143,10,7,7,15,15,7,6,15
29,144,10,7,7,15,15,7,6,15
29,145,10,7,7,15,15,7,6,15
29,146,10,7,7,15,15,7,6,15
29,147,10,7,7,15,15,7,6,15
29,148,10,7,7,15,15,7,6,15
29,149,10,7,7,15,15,7,6,15
29,150,52,6,6,15,15,7,6,15
29,151,52,6,6,15,15,7,6,15
29,152,52,6,6,15,15,7,6,15
29,15,3,8,8,11,11,8,3,11
29,153,52,6,6,15,15,7,6,15
29,154,52,6,6,15,15,7,6,15
29,155,52,6,6,15,15,7,6,15
29,156,10,7,7,15,15,7,6,15
29,157,10,7,7,15,15,7,6,15
29,158,51,6,6,7,7,11,9,7
29,159,51,6,6,7,7,11,9,7
29,160,51,6,6,7,7,11,9,7
29,161,11,4,4,12,12,4,2,12
29,162,11,4,4,12,12,4,2,12
29,16,3,8,8,11,11,8,3,11
29,163,11,4,4,12,12,4,2,12
29,164,11,4,4,12,12,4,2,12
29,165,12,3,3,12,12,10,7,12
29,166,12,3,3,12,12,10,7,12
29,167,12,3,3,12,12,10,7,12
29,168,12,3,3,12,12,10,7,12
29,169,12,3,3,12,12,10,7,12
29,170,12,3,3,12,12,10,7,12
29,171,12,3,3,12,12,10,7,12
29,172,12,3,3,12,12,10,7,12
29,17,3,8,8,11,11,8,3,11
29,173,12,3,3,12,12,10,7,12
29,174,12,3,3,12,12,10,7,12
29,175,12,3,3,12,12,10,7,12
29,176,12,3,3,12,12,10,7,12
29,177,12,3,3,12,12,10,7,12
29,178,13,15,15,2,2,15,15,2
29,179,13,15,15,2,2,14,14,2
29,180,13,14,14,3,3,14,14,3
29,181,13,15,15,2,2,15,15,2
29,182,13,15,15,2,2,15,15,2
29,18,3,8,8,11,11,8,3,11
29,183,13,15,15,2,2,15,15,2
29,184,13,15,15,2,2,15,15,2
29,185,13,15,15,2,2,15,15,2
29,186,13,15,15,2,2,15,15,2
29,187,13,15,15,2,2,15,15,2
29,188,13,14,14,3,3,15,15,3
29,189,13,15,15,2,2,15,15,2
29,190,13,15,15,2,2,15,15,2
29,191,13,15,15,2,2,15,15,2
29,192,13,15,15,2,2,15,15,2
29,19,3,8,8,11,11,8,3,11
29,193,13,15,15,2,2,15,15,2
29,194,13,15,15,2,2,15,15,2
29,195,13,15,15,2,2,15,15,2
29,196,13,14,14,3,3,14,14,3
29,197,13,14,14,3,3,14,14,3
29,198,13,14,14,3,3,14,14,3
29,199,13,14,14,3,3,14,14,3
29,200,13,14,14,3,3,14,14,3
29,201,13,14,14,3,3,14,14,3
29,202,13,14,14,3,3,14,14,3
29,20,3,8,8,11,11,8,3,11
29,203,13,14,14,3,3,14,14,3
29,204,13,14,14,3,3,14,14,3
29,205,13,15,15,2,2,15,15,2
