"","Estado","Sección","Municipio","Escenario 1","Morena CLV","PANAL CLV","PAN CNV","PRI CLV","PVEM CLV","Escenario 2","PANAL CLV","PAN CNV","PRD CNV","PRI CLV","PVEM CLV","Escenario 3"
"1",15,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"2",15,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"3",15,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"4",15,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"5",15,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"6",15,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"7",15,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"8",15,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"9",15,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"10",15,10,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"11",15,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"12",15,12,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"13",15,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"14",15,14,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"15",15,15,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"16",15,16,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"17",15,17,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"18",15,18,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"19",15,19,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"20",15,20,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"21",15,21,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"22",15,22,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"23",15,23,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"24",15,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"25",15,25,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"26",15,26,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"27",15,27,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"28",15,28,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"29",15,29,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"30",15,30,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"31",15,31,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"32",15,32,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"33",15,33,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"34",15,34,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"35",15,35,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"36",15,36,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"37",15,37,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"38",15,38,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"39",15,39,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"40",15,40,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"41",15,41,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"42",15,42,2,14,13,13,13,13,13,13,13,13,11,13,13,13
"43",15,43,2,14,13,13,13,13,13,13,13,13,11,13,13,13
