"","Estado","Sección","Municipio","Escenario 1","Escenario 2","Escenario 3","IEE","PANAL CNV","PAN CNV","PAN CLV","PAN CNV","PRI CLV"
"1",30,1000,46,10,12,12,10,10,12,12,12,12
"2",30,1001,46,10,12,12,10,10,12,12,12,12
"3",30,1002,46,10,12,12,10,10,12,12,12,12
"4",30,1003,46,10,12,12,10,10,12,12,12,12
"5",30,1004,46,10,12,12,10,10,12,12,12,12
"6",30,1005,46,10,12,12,10,10,12,12,12,12
"7",30,100,6,15,6,6,15,15,6,6,6,6
"8",30,1006,46,10,12,12,10,10,12,12,12,12
"9",30,1007,46,10,12,12,10,10,12,12,12,12
"10",30,1008,46,10,12,12,10,10,12,12,12,12
"11",30,1009,46,10,12,12,10,10,12,12,12,12
"12",30,1010,46,10,12,12,10,10,12,12,12,12
"13",30,1011,46,10,12,12,10,10,12,12,12,12
"14",30,1012,46,10,12,12,10,10,12,12,12,12
"15",30,1013,46,10,12,12,10,10,12,12,12,12
"16",30,1014,46,10,12,12,10,10,12,12,12,12
"17",30,1015,46,10,12,12,10,10,12,12,12,12
"18",30,101,6,15,6,6,15,15,6,6,6,6
"19",30,1016,46,10,12,12,10,10,12,12,12,12
"20",30,1017,46,10,12,12,10,10,12,12,12,12
"21",30,1018,46,10,12,12,10,10,12,12,12,12
"22",30,1019,46,10,12,12,10,10,12,12,12,12
"23",30,1020,46,10,12,12,10,10,12,12,12,12
"24",30,1021,46,10,12,12,10,10,12,12,12,12
"25",30,1022,46,10,12,12,10,10,12,12,12,12
"26",30,1023,46,10,12,12,10,10,12,12,12,12
"27",30,1024,46,10,12,12,10,10,12,12,12,12
"28",30,1025,46,10,12,12,10,10,12,12,12,12
"29",30,102,6,15,6,6,15,15,6,6,6,6
"30",30,1026,46,10,12,12,10,10,12,12,12,12
"31",30,1027,46,10,12,12,10,10,12,12,12,12
"32",30,1028,46,10,12,12,10,10,12,12,12,12
"33",30,1029,46,10,12,12,10,10,12,12,12,12
"34",30,10,3,13,3,3,13,13,3,3,3,3
"35",30,1030,46,10,12,12,10,10,12,12,12,12
"36",30,1031,46,10,12,12,10,10,12,12,12,12
"37",30,1032,46,10,12,12,10,10,12,12,12,12
"38",30,1033,46,10,12,12,10,10,12,12,12,12
"39",30,1034,46,10,12,12,10,10,12,12,12,12
"40",30,1035,46,10,12,12,10,10,12,12,12,12
"41",30,103,6,15,6,6,15,15,6,6,6,6
"42",30,1036,46,10,12,12,10,10,12,12,12,12
"43",30,1037,46,10,12,12,10,10,12,12,12,12
"44",30,1038,46,10,12,12,10,10,12,12,12,12
"45",30,1039,46,10,12,12,10,10,12,12,12,12
"46",30,1040,46,10,12,12,10,10,12,12,12,12
"47",30,1041,46,10,12,12,10,10,12,12,12,12
"48",30,1042,46,10,12,12,10,10,12,12,12,12
"49",30,1043,46,10,12,12,10,10,12,12,12,12
"50",30,1044,46,10,12,12,10,10,12,12,12,12
"51",30,1045,46,10,12,12,10,10,12,12,12,12
"52",30,104,6,15,6,6,15,15,6,6,6,6
"53",30,1046,46,10,12,12,10,10,12,12,12,12
"54",30,1047,46,10,12,12,10,10,12,12,12,12
"55",30,1048,46,10,12,12,10,10,12,12,12,12
"56",30,1049,46,10,12,12,10,10,12,12,12,12
"57",30,1050,46,10,12,12,10,10,12,12,12,12
"58",30,1051,46,10,12,12,10,10,12,12,12,12
"59",30,1052,46,10,12,12,10,10,12,12,12,12
"60",30,1053,46,10,12,12,10,10,12,12,12,12
"61",30,1054,46,10,12,12,10,10,12,12,12,12
"62",30,1055,46,10,12,12,10,10,12,12,12,12
"63",30,105,6,15,6,6,15,15,6,6,6,6
"64",30,1056,46,10,12,12,10,10,12,12,12,12
"65",30,1057,46,10,12,12,10,10,12,12,12,12
"66",30,1058,46,10,12,12,10,10,12,12,12,12
"67",30,1059,46,10,12,12,10,10,12,12,12,12
"68",30,1060,46,10,12,12,10,10,12,12,12,12
"69",30,1061,46,10,12,12,10,10,12,12,12,12
"70",30,1062,46,10,12,12,10,10,12,12,12,12
"71",30,1063,46,10,12,12,10,10,12,12,12,12
"72",30,1064,46,10,12,12,10,10,12,12,12,12
"73",30,1065,46,10,12,12,10,10,12,12,12,12
"74",30,1066,46,10,12,12,10,10,12,12,12,12
"75",30,106,7,14,7,7,14,14,7,7,7,7
"76",30,1067,46,10,12,12,10,10,12,12,12,12
"77",30,1068,46,10,12,12,10,10,12,12,12,12
"78",30,1069,46,10,12,12,10,10,12,12,12,12
"79",30,1070,46,10,12,12,10,10,12,12,12,12
"80",30,1071,46,10,12,12,10,10,12,12,12,12
"81",30,1072,46,10,12,12,10,10,12,12,12,12
"82",30,1073,46,10,12,12,10,10,12,12,12,12
"83",30,1074,46,10,12,12,10,10,12,12,12,12
"84",30,1075,46,10,12,12,10,10,12,12,12,12
"85",30,1076,46,10,12,12,10,10,12,12,12,12
"86",30,107,7,14,7,7,14,14,7,7,7,7
"87",30,1077,46,10,12,12,10,10,12,12,12,12
"88",30,1078,46,10,12,12,10,10,12,12,12,12
"89",30,1079,46,10,12,12,10,10,12,12,12,12
"90",30,1080,46,10,12,12,10,10,12,12,12,12
"91",30,1081,46,10,12,12,10,10,12,12,12,12
"92",30,1082,46,10,12,12,10,10,12,12,12,12
"93",30,1083,46,10,12,12,10,10,12,12,12,12
"94",30,1084,46,10,12,12,10,10,12,12,12,12
"95",30,1085,46,10,12,12,10,10,12,12,12,12
"96",30,1086,46,10,12,12,10,10,12,12,12,12
"97",30,108,7,14,7,7,14,14,7,7,7,7
"98",30,1087,46,10,12,12,10,10,12,12,12,12
"99",30,1088,46,10,12,12,10,10,12,12,12,12
"100",30,1089,46,10,12,12,10,10,12,12,12,12
"101",30,1090,46,10,12,12,10,10,12,12,12,12
"102",30,1091,46,10,12,12,10,10,12,12,12,12
"103",30,1092,46,10,12,12,10,10,12,12,12,12
"104",30,1093,46,10,12,12,10,10,12,12,12,12
"105",30,1094,47,18,23,23,18,18,24,23,23,23
"106",30,1095,47,18,23,23,18,18,24,23,23,23
"107",30,1096,47,18,23,23,18,18,24,23,23,23
"108",30,1097,47,18,23,23,18,18,24,23,23,23
"109",30,109,8,25,8,8,25,25,8,8,8,8
"110",30,1098,47,18,23,23,18,18,24,23,23,23
"111",30,1099,47,18,23,23,18,18,24,23,23,23
"112",30,1,1,20,1,1,20,20,1,1,1,1
"113",30,1100,47,18,23,23,18,18,24,23,23,23
"114",30,1101,47,18,23,23,18,18,24,23,23,23
"115",30,1102,47,18,23,23,18,18,24,23,23,23
"116",30,1103,47,18,23,23,18,18,24,23,23,23
"117",30,1104,47,18,23,23,18,18,24,23,23,23
"118",30,1105,47,18,23,23,18,18,24,23,23,23
"119",30,1106,47,18,23,23,18,18,24,23,23,23
"120",30,1107,47,18,23,23,18,18,24,23,23,23
"121",30,110,8,25,8,8,25,25,8,8,8,8
"122",30,1108,47,18,23,23,18,18,24,23,23,23
"123",30,1109,47,18,23,23,18,18,24,23,23,23
"124",30,1110,47,18,23,23,18,18,24,23,23,23
"125",30,1111,47,18,23,23,18,18,24,23,23,23
"126",30,1112,47,18,23,23,18,18,24,23,23,23
"127",30,1113,47,18,23,23,18,18,24,23,23,23
"128",30,1114,47,18,23,23,18,18,24,23,23,23
"129",30,1115,47,18,23,23,18,18,24,23,23,23
"130",30,1116,47,18,23,23,18,18,24,23,23,23
"131",30,1117,47,18,23,23,18,18,24,23,23,23
"132",30,111,8,25,8,8,25,25,8,8,8,8
"133",30,1118,208,22,5,5,22,22,5,5,5,5
"134",30,1119,208,22,5,5,22,22,5,5,5,5
"135",30,1120,208,22,5,5,22,22,5,5,5,5
"136",30,1121,208,22,5,5,22,22,5,5,5,5
"137",30,1122,208,22,5,5,22,22,5,5,5,5
"138",30,1123,208,22,5,5,22,22,5,5,5,5
"139",30,1124,208,22,5,5,22,22,5,5,5,5
"140",30,1125,208,22,5,5,22,22,5,5,5,5
"141",30,1126,208,22,5,5,22,22,5,5,5,5
"142",30,1127,208,22,5,5,22,22,5,5,5,5
"143",30,112,8,25,8,8,25,25,8,8,8,8
"144",30,1128,208,22,5,5,22,22,5,5,5,5
"145",30,1129,208,22,5,5,22,22,5,5,5,5
"146",30,11,3,13,3,3,13,13,3,3,3,3
"147",30,1130,208,22,5,5,22,22,5,5,5,5
"148",30,1131,208,22,5,5,22,22,5,5,5,5
"149",30,1132,208,22,5,5,22,22,5,5,5,5
"150",30,1133,47,18,23,23,18,18,24,23,23,23
"151",30,1134,47,18,23,23,18,18,24,23,23,23
"152",30,1135,47,18,23,23,18,18,24,23,23,23
"153",30,1136,47,18,23,23,18,18,24,23,23,23
"154",30,1137,47,18,23,23,18,18,24,23,23,23
"155",30,113,8,25,8,8,25,25,8,8,8,8
"156",30,1138,47,18,23,23,18,18,24,23,23,23
"157",30,1139,47,18,23,23,18,18,24,23,23,23
"158",30,1140,47,18,23,23,18,18,24,23,23,23
"159",30,1141,47,18,23,23,18,18,24,23,23,23
"160",30,1142,47,18,23,23,18,18,24,23,23,23
"161",30,1143,208,22,5,5,22,22,5,5,5,5
"162",30,1144,208,22,5,5,22,22,5,5,5,5
"163",30,1145,208,22,5,5,22,22,5,5,5,5
"164",30,1146,47,18,23,23,18,18,24,23,23,23
"165",30,1147,47,18,23,23,18,18,24,23,23,23
"166",30,114,8,25,8,8,25,25,8,8,8,8
"167",30,1148,47,18,23,23,18,18,24,23,23,23
"168",30,1149,47,18,23,23,18,18,24,23,23,23
"169",30,1150,47,18,23,23,18,18,24,23,23,23
"170",30,1151,47,18,23,23,18,18,24,23,23,23
"171",30,1152,47,18,23,23,18,18,24,23,23,23
"172",30,1153,48,20,1,1,20,20,1,1,1,1
"173",30,1154,48,20,1,1,20,20,1,1,1,1
"174",30,1155,48,20,1,1,20,20,1,1,1,1
"175",30,1156,48,20,1,1,20,20,1,1,1,1
"176",30,1157,48,20,1,1,20,20,1,1,1,1
"177",30,115,8,25,8,8,25,25,8,8,8,8
"178",30,1158,48,20,1,1,20,20,1,1,1,1
"179",30,1159,48,20,1,1,20,20,1,1,1,1
"180",30,1160,48,20,1,1,20,20,1,1,1,1
"181",30,1161,48,20,1,1,20,20,1,1,1,1
"182",30,1162,49,5,9,9,5,5,9,9,9,9
"183",30,1163,49,5,9,9,5,5,9,9,9,9
"184",30,1164,49,5,9,9,5,5,9,9,9,9
"185",30,1165,49,5,9,9,5,5,9,9,9,9
"186",30,1166,49,5,9,9,5,5,9,9,9,9
"187",30,1167,49,5,9,9,5,5,9,9,9,9
"188",30,116,8,25,8,8,25,25,8,8,8,8
"189",30,1168,49,5,9,9,5,5,9,9,9,9
"190",30,1169,49,5,9,9,5,5,9,9,9,9
"191",30,1170,49,5,9,9,5,5,9,9,9,9
"192",30,1171,49,5,9,9,5,5,9,9,9,9
"193",30,1172,49,5,9,9,5,5,9,9,9,9
"194",30,1173,49,5,9,9,5,5,9,9,9,9
"195",30,1174,49,5,9,9,5,5,9,9,9,9
"196",30,1175,49,5,9,9,5,5,9,9,9,9
"197",30,1176,49,5,9,9,5,5,9,9,9,9
"198",30,1177,49,5,9,9,5,5,9,9,9,9
"199",30,117,8,25,8,8,25,25,8,8,8,8
"200",30,1178,49,5,9,9,5,5,9,9,9,9
"201",30,1179,49,5,9,9,5,5,9,9,9,9
"202",30,1180,49,5,9,9,5,5,9,9,9,9
"203",30,1181,49,5,9,9,5,5,9,9,9,9
"204",30,1182,49,5,9,9,5,5,9,9,9,9
"205",30,1183,49,5,9,9,5,5,9,9,9,9
"206",30,1184,50,16,24,25,26,16,22,24,25,25
"207",30,1185,50,16,24,25,26,16,22,24,25,25
"208",30,1186,50,16,24,25,26,16,22,24,25,25
"209",30,1187,50,16,24,25,26,16,22,24,25,25
"210",30,118,8,25,8,8,25,25,8,8,8,8
"211",30,1188,50,16,24,25,26,16,22,24,25,25
"212",30,1189,50,16,24,25,26,16,22,24,25,25
"213",30,1190,50,16,24,25,26,16,22,24,25,25
"214",30,1191,50,16,24,25,26,16,22,24,25,25
"215",30,1192,50,16,24,25,26,16,22,24,25,25
"216",30,1193,50,16,24,25,26,16,22,24,25,25
"217",30,1194,50,16,24,25,26,16,22,24,25,25
"218",30,1195,50,16,24,25,26,16,22,24,25,25
"219",30,1196,50,16,24,25,26,16,22,24,25,25
"220",30,1197,50,16,24,25,26,16,22,24,25,25
"221",30,119,8,25,8,8,25,25,8,8,8,8
"222",30,1198,50,16,24,25,26,16,22,24,25,25
"223",30,1199,50,16,24,25,26,16,22,24,25,25
"224",30,1200,50,16,24,25,26,16,22,24,25,25
"225",30,1201,50,16,24,25,26,16,22,24,25,25
"226",30,1202,50,16,24,25,26,16,22,24,25,25
"227",30,1203,50,16,24,25,26,16,22,24,25,25
"228",30,1204,50,16,24,25,26,16,22,24,25,25
"229",30,1205,50,16,24,25,26,16,22,24,25,25
"230",30,1206,50,16,24,25,26,16,22,24,25,25
"231",30,1207,50,16,24,25,26,16,22,24,25,25
"232",30,120,8,25,8,8,25,25,8,8,8,8
"233",30,1208,50,16,24,25,26,16,22,24,25,25
"234",30,1209,50,16,24,25,26,16,22,24,25,25
"235",30,1210,50,16,24,25,26,16,22,24,25,25
"236",30,1211,50,16,24,25,26,16,22,24,25,25
"237",30,1212,50,16,24,25,26,16,22,24,25,25
"238",30,1213,50,16,24,25,26,16,22,24,25,25
"239",30,1214,50,16,24,25,26,16,22,24,25,25
"240",30,1215,50,16,24,25,26,16,22,24,25,25
"241",30,1216,50,16,24,25,26,16,22,24,25,25
"242",30,1217,50,16,24,25,26,16,22,24,25,25
"243",30,121,8,25,8,8,25,25,8,8,8,8
"244",30,1218,50,16,24,25,26,16,22,24,25,25
"245",30,1219,50,16,24,25,26,16,22,24,25,25
"246",30,1220,50,16,24,25,26,16,22,24,25,25
"247",30,1221,50,16,24,25,26,16,22,24,25,25
"248",30,1222,50,16,24,25,26,16,22,24,25,25
"249",30,1223,50,16,24,25,26,16,22,24,25,25
"250",30,1224,50,16,24,25,26,16,22,24,25,25
"251",30,1225,50,16,24,25,26,16,22,24,25,25
"252",30,1226,50,16,24,25,26,16,22,24,25,25
"253",30,1227,50,16,24,25,26,16,22,24,25,25
"254",30,122,8,25,8,8,25,25,8,8,8,8
"255",30,1228,50,16,24,25,26,16,22,24,25,25
"256",30,1229,50,16,24,25,26,16,22,24,25,25
"257",30,12,3,13,3,3,13,13,3,3,3,3
"258",30,1230,50,16,24,25,26,16,22,24,25,25
"259",30,1231,50,16,24,25,26,16,22,24,25,25
"260",30,1232,50,16,24,25,26,16,22,24,25,25
"261",30,1233,50,16,24,25,26,16,22,24,25,25
"262",30,1234,50,16,24,25,26,16,22,24,25,25
"263",30,1235,50,16,24,25,26,16,22,24,25,25
"264",30,1236,50,16,24,25,26,16,22,24,25,25
"265",30,1237,50,16,24,25,26,16,22,24,25,25
"266",30,123,8,25,8,8,25,25,8,8,8,8
"267",30,1238,50,16,24,25,26,16,22,24,25,25
"268",30,1239,50,16,24,25,26,16,22,24,25,25
"269",30,1240,50,16,24,25,26,16,22,24,25,25
"270",30,1241,50,16,24,25,26,16,22,24,25,25
"271",30,1242,50,16,24,25,26,16,22,24,25,25
"272",30,1243,50,16,24,25,26,16,22,24,25,25
"273",30,1244,50,16,24,25,26,16,22,24,25,25
"274",30,1245,50,16,24,25,26,16,22,24,25,25
"275",30,1246,50,16,24,25,26,16,22,24,25,25
"276",30,1247,50,16,24,25,26,16,22,24,25,25
