"edon","seccion","munn","dis76.17.157","dis78.17.157","dis79.17.157.x","dis79.17.157.y","dis76.17.37","dis76.17.102","dis76.17.33","dis78.17.32","dis78.17.34","dis78.17.44"
17,0,1,1,1,1,1,10,6,1,1,1,1
17,0,2,11,11,11,11,12,11,2,7,11,11
17,0,3,2,2,2,2,11,9,3,3,2,2
17,0,4,3,3,3,3,1,7,3,3,3,3
17,0,5,4,4,1,1,10,6,1,4,1,1
17,0,8,5,5,4,4,9,4,11,12,4,4
17,0,9,9,9,10,10,5,3,6,7,10,10
17,0,10,2,2,3,3,11,9,5,3,3,3
17,0,12,1,1,2,2,8,10,12,1,2,2
17,0,13,2,2,3,3,11,9,5,3,3,3
17,0,14,1,1,1,1,10,6,1,1,1,1
17,0,15,4,4,5,5,10,6,7,4,5,5
17,0,16,11,11,11,11,12,11,5,5,11,11
17,0,17,1,1,1,1,10,6,1,NA,1,1
17,0,18,4,4,5,5,4,5,7,4,5,5
17,0,19,2,2,2,2,11,9,3,3,2,2
17,0,20,9,9,10,10,7,12,8,7,10,10
17,0,21,1,1,1,1,10,6,1,1,1,1
17,0,22,11,11,11,11,12,11,5,5,11,11
17,0,23,9,9,10,10,12,11,2,7,10,10
17,0,24,3,3,3,3,8,10,12,2,3,3
17,0,25,2,2,2,2,11,9,1,2,2,2
17,0,26,9,9,10,10,12,11,2,7,10,10
17,0,27,11,11,10,10,12,11,2,7,10,10
17,0,28,5,5,4,4,9,5,11,12,4,4
17,0,29,7,7,7,7,7,12,2,NA,7,7
17,0,30,11,11,11,11,12,11,5,5,11,11
17,0,31,2,2,1,1,8,10,12,2,1,1
17,0,32,11,11,11,11,12,11,5,5,11,11
17,0,33,3,3,11,11,11,9,5,5,11,11
17,0,901,4,4,5,5,4,5,7,4,5,5
17,97,6,12,12,11,12,2,8,4,5,11,12
17,98,6,12,12,11,12,2,8,4,5,11,12
17,99,6,12,12,11,12,2,8,4,5,11,12
17,100,6,12,12,11,12,2,8,4,5,11,12
17,101,6,12,12,11,12,2,8,4,5,11,12
17,102,6,12,12,11,12,2,8,4,5,11,12
17,103,6,12,12,12,12,2,8,4,5,11,12
17,104,6,11,11,12,12,2,8,4,5,11,12
17,105,6,11,11,12,12,2,8,4,5,11,12
17,106,6,11,11,12,12,2,8,4,5,12,12
17,107,6,12,12,12,12,2,8,4,5,12,12
17,108,6,12,12,12,12,2,8,4,6,12,12
17,109,6,12,12,12,12,2,8,4,6,12,12
17,110,6,12,12,12,12,2,8,4,6,12,12
17,111,6,12,12,12,12,2,8,4,6,12,12
17,112,6,12,12,12,12,2,8,4,6,12,12
17,113,6,12,12,12,12,2,8,4,6,12,12
17,114,6,12,12,12,12,2,8,4,6,12,12
17,115,6,12,12,12,12,2,8,4,6,12,12
17,116,6,12,12,12,12,2,8,4,6,12,12
17,117,6,12,12,12,12,2,8,4,6,12,12
17,118,6,11,11,12,11,2,8,4,5,12,11
17,119,6,12,12,12,12,2,8,4,6,12,12
17,120,6,12,12,12,12,2,8,4,6,12,12
17,121,6,12,12,12,12,2,8,4,6,12,12
17,122,6,12,12,12,12,2,8,4,6,12,12
17,123,6,12,12,12,12,2,8,4,6,12,12
17,124,6,12,12,12,12,2,8,4,6,12,12
17,125,6,11,11,12,11,2,8,5,5,12,11
17,126,6,12,12,12,12,2,8,4,6,12,12
17,127,6,12,12,12,12,2,8,4,6,12,12
17,128,6,12,12,12,12,2,8,4,6,12,12
17,129,6,12,12,12,12,2,8,4,6,12,12
17,130,6,12,12,12,12,2,8,4,6,12,12
17,131,6,12,12,12,12,2,8,4,6,12,12
17,132,6,12,12,12,12,2,8,4,6,12,12
17,133,6,12,12,12,12,2,8,4,6,12,12
17,134,6,12,12,12,12,2,8,4,6,12,12
17,135,6,12,12,12,12,2,8,4,6,12,12
17,136,6,12,12,12,12,1,7,4,6,12,12
17,137,6,12,12,12,12,1,7,4,6,12,12
17,138,6,12,12,12,12,1,7,4,6,12,12
17,139,6,12,12,12,12,2,8,4,6,12,12
17,140,6,12,12,12,12,2,8,4,6,12,12
17,141,6,12,12,12,12,2,8,4,6,12,12
17,142,6,12,12,12,12,2,8,4,6,12,12
17,143,6,12,12,12,12,2,8,4,6,12,12
17,144,6,12,12,12,12,2,8,4,6,12,12
17,145,6,12,12,12,12,2,8,4,6,12,12
17,146,6,12,12,12,12,2,8,4,6,12,12
17,147,6,12,12,12,12,2,8,4,6,12,12
17,148,6,12,12,12,12,1,7,4,6,12,12
17,149,6,12,12,12,12,1,7,4,6,12,12
17,150,6,11,11,12,11,1,7,5,6,12,11
17,151,6,11,11,12,11,1,7,5,6,12,11
17,152,6,11,11,12,11,1,7,5,6,12,11
17,153,6,11,11,12,11,1,7,3,6,12,11
17,154,6,12,12,12,11,1,7,4,6,12,11
17,155,6,12,12,12,12,1,7,4,6,12,12
17,156,6,12,12,12,12,2,7,4,6,12,12
17,157,6,12,12,12,12,2,8,4,6,12,12
17,158,6,12,12,12,12,2,8,4,6,12,12
17,159,6,12,12,12,12,2,8,4,6,12,12
17,160,6,12,12,12,12,2,8,4,6,12,12
17,161,6,12,12,12,12,2,8,4,6,12,12
17,162,6,12,12,12,12,1,8,4,6,12,12
17,163,6,12,12,12,12,2,8,4,6,12,12
17,164,6,12,12,12,12,2,8,4,6,12,12
17,165,6,12,12,12,12,2,8,4,6,12,12
17,166,6,12,12,12,12,2,8,4,6,12,12
17,167,6,12,12,12,12,2,8,4,6,12,12
17,168,6,12,12,12,12,2,8,4,6,12,12
17,169,6,12,12,12,12,1,7,4,6,12,12
17,170,6,12,12,12,12,1,7,4,6,12,12
17,171,6,12,12,12,12,1,7,4,6,12,12
17,172,6,12,12,12,12,1,7,3,6,12,12
17,173,6,12,12,12,12,1,7,4,6,12,12
17,174,6,12,12,12,12,1,7,4,6,12,12
17,175,6,12,12,12,12,1,7,4,6,12,12
17,176,6,12,12,12,11,1,7,4,6,12,11
17,177,6,11,11,12,11,1,7,3,6,12,11
17,178,6,12,12,12,12,1,7,4,6,12,12
17,179,6,12,12,12,12,1,7,4,6,12,12
17,180,6,12,12,12,12,1,7,3,6,12,12
17,181,6,12,12,11,12,2,8,4,5,11,12
17,182,6,12,12,12,12,2,8,4,6,12,12
17,183,6,12,12,12,12,2,8,4,6,12,12
17,184,6,12,12,12,12,2,8,4,6,12,12
17,185,6,12,12,12,12,2,8,4,6,12,12
17,186,6,12,12,12,12,2,8,4,6,12,12
17,187,6,11,11,12,11,1,7,3,6,12,11
17,188,7,10,10,9,9,5,3,10,8,9,9
17,189,7,10,10,8,8,5,3,10,8,8,8
17,190,7,8,8,8,8,5,3,10,8,8,8
17,191,7,8,8,8,8,5,3,6,8,8,8
17,192,7,8,8,8,8,6,3,6,8,8,8
17,193,7,8,8,8,8,5,3,6,8,8,8
17,194,7,8,8,8,8,5,3,6,8,8,8
17,195,7,8,8,8,8,5,3,6,8,8,8
17,196,7,8,8,8,8,5,3,8,8,8,8
17,197,7,8,8,8,8,5,2,8,8,8,8
17,198,7,8,8,8,8,6,2,8,8,8,8
17,199,7,8,8,8,8,6,2,6,8,8,8
17,200,7,8,8,8,8,6,3,6,8,8,8
17,201,7,8,8,8,8,6,3,6,8,8,8
17,202,7,8,8,8,8,5,3,6,8,8,8
17,203,7,8,8,8,8,5,3,6,8,8,8
17,204,7,8,8,8,8,5,3,10,8,8,8
17,205,7,10,10,8,8,5,3,10,8,8,8
17,206,7,10,10,9,9,5,3,10,8,9,9
17,207,7,10,10,9,9,5,3,10,10,9,9
17,208,7,10,10,9,9,5,3,10,10,9,9
17,209,7,10,10,9,9,5,3,10,10,9,9
17,210,7,10,10,9,9,5,3,10,10,9,9
17,211,7,10,10,9,9,5,3,10,8,9,9
17,212,7,10,10,8,8,5,3,10,8,8,8
17,213,7,8,8,8,8,5,3,10,8,8,8
17,214,7,8,8,8,8,5,3,10,8,8,8
17,215,7,8,8,8,8,6,3,6,8,8,8
17,216,7,8,8,8,8,6,2,6,8,8,8
17,217,7,8,8,8,8,6,2,6,8,8,8
17,218,7,8,8,8,8,6,2,6,8,8,8
17,219,7,8,8,8,8,6,2,6,8,8,8
17,220,7,8,8,8,8,6,2,8,8,8,8
17,221,7,8,8,8,8,6,2,8,8,8,8
17,222,7,8,8,8,8,5,2,8,8,8,8
17,223,7,8,8,8,8,5,2,8,8,8,8
17,224,7,8,8,8,8,6,2,8,8,8,8
17,225,7,8,8,8,8,5,2,8,8,8,8
17,226,7,8,8,8,8,5,2,8,8,8,8
17,227,7,8,8,8,8,6,2,8,8,8,8
17,228,7,8,8,8,8,6,2,6,8,8,8
17,229,7,8,8,8,8,6,2,6,8,8,8
17,230,7,8,8,8,8,6,2,6,8,8,8
17,231,7,8,8,8,8,6,2,6,8,8,8
17,232,7,8,8,8,8,5,2,6,8,8,8
17,233,7,8,8,8,8,5,2,6,8,8,8
17,234,7,8,8,8,8,5,3,6,8,8,8
17,235,7,8,8,8,8,5,3,10,8,8,8
17,236,7,8,8,8,8,5,3,10,8,8,8
17,237,7,8,8,8,8,5,3,10,8,8,8
17,238,7,10,10,9,9,5,3,10,8,9,9
17,239,7,10,10,9,9,5,3,10,10,9,9
17,240,7,10,10,9,9,5,3,10,10,9,9
17,241,7,10,10,9,9,5,3,10,10,9,9
17,242,7,10,10,9,9,5,3,10,10,9,9
17,243,7,10,10,9,9,5,3,10,10,9,9
17,244,7,10,10,9,9,5,2,10,10,9,9
17,245,7,8,8,8,8,5,2,10,8,8,8
17,246,7,8,8,8,8,6,2,10,8,8,8
17,247,7,8,8,8,8,6,2,6,8,8,8
17,248,7,8,8,8,8,6,2,6,8,8,8
17,249,7,8,8,8,8,6,2,6,8,8,8
17,250,7,8,8,8,8,6,2,6,8,8,8
17,251,7,8,8,8,8,6,2,6,8,8,8
17,252,7,8,8,8,8,6,2,8,8,8,8
17,253,7,8,8,8,8,5,2,6,8,8,8
17,254,7,8,8,8,8,6,2,6,8,8,8
17,255,7,8,8,8,8,6,2,6,8,8,8
17,256,7,9,9,10,10,6,2,6,9,10,10
17,257,7,9,9,10,10,6,2,8,9,10,10
17,258,7,9,9,10,10,6,2,6,9,10,10
