"edon","dis","father","dsi"
1,1,1,0.994
1,2,2,0.996
1,3,3,1
2,1,1,0.918
2,2,2,0.898
2,3,3,0.955
2,4,4,0.86
2,5,5,0.95
2,6,6,0.918
2,7,7,0.955
2,8,8,0.964
3,1,1,0.92
3,2,2,0.876
4,1,1,0.989
4,2,2,0.941
5,1,1,0.854
5,2,2,0.823
5,3,3,0.811
5,4,4,1
5,5,5,0.984
5,6,6,1
5,7,7,0.757
6,1,1,1
6,2,2,1
7,1,1,0.409
7,2,2,0.559
7,3,3,0.506
7,4,4,0.39
7,5,5,0.656
7,6,1,0.238
7,7,7,0.465
7,8,6,0.554
7,9,9,0.634
7,10,10,0.365
7,11,11,0.407
7,12,12,0.347
7,13,13,0.636
8,1,1,0.862
8,2,2,0.883
8,3,3,0.657
8,4,4,0.694
8,5,5,0.674
8,6,6,0.715
8,7,7,1
8,8,8,1
8,9,9,1
9,1,2,0.358
9,2,1,0.452
9,3,3,1
9,4,4,1
9,5,5,0.94
9,6,6,0.961
9,7,7,1
9,8,8,1
9,9,9,1
9,10,10,1
9,11,11,1
9,12,12,0.401
9,13,12,0.34
9,14,14,0.693
9,15,15,0.733
9,16,16,0.738
9,17,17,0.733
9,18,18,0.699
9,19,19,0.407
9,20,20,0.839
9,21,21,0.525
9,22,22,0.918
9,23,23,0.946
9,24,24,1
10,1,1,0.704
10,2,2,1
10,3,3,0.619
10,4,4,0.742
11,1,1,0.986
11,2,2,0.96
11,3,3,0.932
11,4,4,0.93
11,5,5,1
11,6,6,1
11,7,7,1
11,8,8,1
11,9,9,1
11,10,10,0.494
11,11,11,0.494
11,12,12,0.853
11,13,13,0.943
11,14,14,0.845
11,15,15,0.951
12,1,1,0.982
12,2,2,0.976
12,3,3,1
12,4,4,1
12,5,5,1
12,6,6,1
12,7,7,1
12,8,8,1
12,9,9,1
13,1,1,1
13,2,2,0.629
13,3,2,0.173
13,4,3,0.526
13,5,4,1
13,6,6,0.651
13,7,5,0.467
14,1,1,0.953
14,2,2,0.974
14,3,3,0.991
14,4,4,0.983
14,5,5,0.987
14,6,6,0.951
14,7,7,0.937
14,8,8,1
14,9,9,1
14,10,10,1
14,11,11,0.424
14,12,12,0.686
14,13,13,0.654
14,14,14,1
14,15,15,1
14,16,16,0.96
14,17,17,1
14,18,18,0.964
14,19,19,0.938
14,20,20,0.929
15,1,1,0.79
15,2,3,0.807
15,3,2,0.838
15,4,4,0.244
15,5,5,0.711
15,6,6,0.601
15,7,7,0.586
15,8,8,0.952
15,9,9,1
15,10,10,1
15,11,11,1
15,12,12,1
15,13,13,1
15,14,14,1
15,15,15,1
15,16,16,1
15,17,17,1
15,18,18,1
15,19,19,0.535
15,20,20,0.963
15,21,21,0.744
15,22,22,0.495
15,23,23,0.688
15,24,24,0.519
15,25,25,1
15,26,26,0.342
15,27,27,1
15,28,28,1
15,29,29,0.647
15,30,30,1
15,31,31,0.657
15,32,32,1
15,33,33,1
15,34,34,0.679
15,35,35,1
15,36,36,1
15,37,37,1
15,38,38,0.673
15,39,39,0.984
15,40,40,0.992
15,41,41,1
16,1,1,0.832
16,2,2,0.896
16,3,3,1
16,4,4,0.954
16,5,5,0.459
16,6,6,0.363
16,7,5,0.303
16,8,8,0.898
16,9,9,1
16,10,10,0.445
16,11,11,0.566
16,12,12,0.498
17,1,1,0.775
17,2,2,1
17,3,3,0.581
17,4,4,0.637
17,5,5,1
18,1,1,1
18,2,2,1
18,3,3,1
19,1,1,0.981
19,2,2,0.951
19,3,3,0.963
19,4,4,1
19,5,5,1
19,6,6,1
19,7,7,1
19,8,8,0.971
19,9,9,1
19,10,10,1
19,11,11,0.977
19,12,12,0.983
20,1,1,1
20,2,2,1
20,3,3,0.988
20,4,4,0.987
20,5,5,1
20,6,6,1
20,7,7,1
20,8,8,1
20,9,9,0.995
20,10,10,0.994
21,1,1,0.843
21,2,2,0.522
21,3,3,0.793
21,4,4,0.616
21,5,5,0.697
21,6,6,0.362
21,7,7,1
21,8,8,0.74
21,9,9,1
21,10,10,1
21,11,11,0.387
21,12,12,0.757
21,13,13,0.648
21,14,14,0.647
21,15,15,0.952
21,NA,NA,0
22,1,1,1
22,2,2,1
22,3,3,0.848
22,4,4,0.994
22,5,5,0.895
23,1,1,0.432
23,2,2,0.52
23,3,3,1
23,4,4,1
24,1,1,0.916
24,2,2,0.853
24,3,3,1
24,4,6,0.392
24,5,5,0.822
24,6,6,0.283
24,7,7,0.636
25,1,1,0.922
25,2,2,0.902
25,3,3,1
25,4,4,1
25,5,5,1
25,6,6,0.825
25,7,7,0.728
26,1,1,0.939
26,2,2,0.933
26,3,3,1
26,4,4,1
26,5,5,1
26,6,6,1
26,7,7,1
27,1,1,1
27,2,2,1
27,3,3,1
27,4,4,1
27,5,5,0.972
27,6,6,0.979
28,1,1,0.929
28,2,2,1
28,3,3,0.989
28,4,4,1
28,5,5,0.824
28,6,6,1
28,7,7,0.815
28,8,8,0.801
28,9,9,0.99
29,1,1,1
29,2,2,1
29,3,3,1
30,1,1,1
30,2,2,1
30,3,3,1
30,4,4,0.764
30,5,5,0.539
30,6,6,1
30,7,7,0.872
30,8,8,1
30,9,9,0.875
30,10,10,0.578
30,11,11,0.394
30,12,12,0.988
30,13,13,1
30,14,14,1
30,15,15,0.581
30,16,16,1
30,17,17,0.786
30,18,18,0.628
30,19,19,0.952
30,20,20,0.987
31,1,1,0.634
31,2,2,0.654
31,3,3,1
31,4,4,1
31,5,5,1
32,1,1,1
32,2,2,1
32,3,3,1
32,4,4,1
