"Entidad","Distrito","Municipio","Seccion","Hog_tot","Ptoperhog","Ticlahog11","Ticlahog12","Ticlahog13","Ticlahog14","Ticlahog21","Ticlahog22","Ticlahog99"
7,3,59,833,466,5.46,318,76,0,13,8,0,0
7,3,59,832,344,5.58,241,77,1,7,5,0,0
7,3,59,831,362,6.14,275,72,0,4,4,0,0
7,3,59,830,412,6.38,262,84,0,11,10,0,0
7,3,59,821,183,5.86,58,14,0,3,1,0,0
7,3,59,822,308,6.31,200,43,0,13,5,0,0
7,3,59,823,354,6.15,311,26,0,8,8,0,0
7,3,59,829,414,6.10,321,58,1,8,9,0,1
7,3,59,824,383,5.95,266,71,2,14,4,0,0
7,3,59,825,497,4.57,328,47,0,11,10,0,0
7,3,59,827,505,6.95,369,81,0,5,3,0,0
7,3,59,849,691,6.02,425,74,1,35,5,0,1
7,3,59,826,658,5.09,479,126,0,10,9,0,0
7,3,59,834,555,7.02,408,81,0,20,4,0,0
7,3,59,835,784,5.07,522,124,0,13,20,0,1
7,3,59,845,525,5.19,284,75,0,8,7,0,0
7,3,59,842,1103,5.55,775,175,0,9,23,0,0
7,3,59,846,440,5.41,306,89,0,12,3,0,0
7,3,59,859,575,5.70,160,53,0,7,2,0,0
7,3,59,858,446,5.91,278,72,0,16,7,0,0
7,3,59,862,500,5.90,266,56,0,1,1,0,0
7,3,59,847,620,5.00,358,73,0,8,14,0,0
7,2,60,884,780,5.05,651,75,0,24,27,1,2
7,2,60,883,461,5.27,362,64,0,13,19,0,1
7,4,18,236,264,3.87,209,25,0,5,24,0,1
7,4,18,238,459,5.20,379,35,0,19,26,0,0
7,4,18,237,521,4.30,438,41,0,16,25,0,1
7,4,18,234,324,3.54,233,52,0,7,31,1,0
7,4,18,235,345,3.82,255,53,0,10,26,0,1
7,4,21,321,522,4.24,409,55,1,25,31,1,0
7,4,21,323,155,5.70,120,27,0,0,8,0,0
7,4,21,322,273,4.68,214,42,0,0,17,0,0
7,4,21,325,253,4.56,214,19,0,5,15,0,0
7,4,21,326,337,3.54,244,52,3,2,34,2,0
7,4,21,327,398,4.65,310,58,0,8,22,0,0
7,4,21,324,231,4.32,179,28,0,0,24,0,0
7,4,21,328,324,4.16,233,55,0,0,34,1,0
7,4,21,330,314,4.34,246,44,0,4,19,1,0
7,4,21,329,393,4.53,280,69,0,1,42,0,0
7,3,59,860,517,5.29,285,75,0,7,8,0,0
7,3,59,841,407,5.95,299,40,0,3,7,0,0
7,3,59,844,426,5.30,322,75,0,2,11,0,2
7,3,59,843,597,5.61,472,96,0,8,12,0,0
7,3,59,838,295,5.47,229,31,0,3,8,0,0
7,3,59,836,372,6.68,280,55,0,2,7,0,0
7,4,21,317,425,3.80,289,90,0,6,36,0,0
7,4,21,318,509,3.94,362,104,0,9,32,2,0
7,4,21,319,374,3.87,246,83,1,2,36,3,0
7,4,21,320,366,4.00,252,73,1,1,36,0,1
7,4,93,1424,493,4.19,404,57,0,1,31,0,0
7,4,93,1417,395,4.29,324,59,0,3,9,0,0
7,4,93,1416,310,5.53,245,44,1,0,14,0,0
7,4,93,1418,219,4.91,165,51,0,0,3,0,0
7,4,93,1423,236,4.72,191,36,0,1,8,0,0
7,4,93,1422,235,4.18,178,41,0,0,15,0,0
7,4,93,1425,200,3.70,165,23,0,0,11,1,0
7,4,93,1426,593,4.57,414,158,0,0,19,0,0
7,3,59,840,526,6.28,416,84,0,7,7,0,0
7,4,93,1436,139,4.95,112,22,0,0,5,0,0
7,4,93,1427,74,4.65,63,8,0,1,2,0,0
7,4,93,1428,271,4.57,210,46,0,1,14,0,0
7,4,93,1414,358,3.69,247,83,4,0,20,1,0
7,4,93,1415,21,6.19,16,5,0,0,0,0,0
7,4,93,1420,440,5.62,328,92,0,3,15,0,1
7,4,93,1419,309,5.71,219,79,0,3,6,0,0
7,4,93,1421,245,5.35,171,53,0,5,15,0,1
7,4,93,1433,316,4.55,224,70,2,2,18,0,0
7,3,59,848,686,5.93,541,82,0,34,5,0,3
7,3,59,857,810,5.81,633,57,0,29,2,0,1
7,3,59,861,501,6.21,249,77,0,9,1,0,0
7,3,59,856,392,6.28,326,39,0,20,0,0,1
7,3,59,864,487,6.20,238,52,0,19,2,0,0
7,3,59,850,547,5.83,332,78,0,29,10,0,2
7,2,13,148,406,4.90,356,40,0,0,10,0,0
7,2,13,149,492,4.71,419,53,0,2,17,1,0
7,2,13,150,338,5.83,308,19,0,0,11,0,0
7,2,13,151,613,5.10,556,41,0,1,14,0,0
7,2,13,152,532,4.93,482,33,0,1,16,0,0
7,2,13,153,314,4.93,275,24,0,3,12,0,0
7,3,59,869,513,4.97,378,100,5,6,23,0,0
7,3,59,875,333,5.31,198,47,0,2,8,0,0
7,3,59,852,150,4.82,98,26,0,8,5,0,0
7,2,13,154,537,5.91,404,92,0,1,11,0,0
7,4,93,1437,303,4.24,256,35,2,1,9,0,0
7,3,59,851,224,5.92,102,17,0,3,0,0,0
7,3,59,854,321,6.58,238,58,0,8,3,0,0
7,3,59,870,725,6.26,333,89,0,19,2,0,0
7,3,59,863,403,6.29,238,32,1,12,2,0,0
7,4,93,1429,506,3.89,368,88,2,9,33,1,0
7,4,93,1434,326,5.22,243,65,1,8,8,0,1
7,4,93,1435,276,5.52,213,47,0,5,10,0,0
7,3,59,871,453,5.99,171,35,0,13,4,0,0
7,3,59,872,618,5.95,427,107,1,27,4,0,0
7,3,59,881,363,5.27,286,59,0,4,10,0,1
7,4,61,896,378,5.17,307,38,0,19,14,0,0
7,4,61,897,671,4.99,552,95,1,7,16,0,0
7,4,61,898,693,5.10,574,85,1,12,20,0,1
7,4,61,900,996,4.81,823,141,0,9,23,0,0
7,3,59,873,262,6.16,196,58,1,3,3,0,1
7,3,59,876,669,4.54,499,131,1,16,20,0,1
7,3,59,880,136,5.67,118,14,1,2,1,0,0
7,3,59,878,481,5.84,356,100,1,11,9,0,0
7,4,61,901,950,4.46,759,133,2,9,46,1,0
7,4,61,902,186,4.01,136,40,2,1,6,1,0
7,4,61,885,744,4.49,541,143,3,3,37,2,0
7,4,61,887,1116,4.73,862,190,1,7,47,1,2
7,4,61,892,771,4.38,585,140,1,4,33,3,0
7,4,61,894,1226,4.41,940,201,4,6,53,1,1
7,4,61,904,222,4.46,176,33,0,1,12,0,0
7,4,61,906,255,3.79,203,38,0,2,12,0,0
7,4,61,905,433,3.49,346,71,0,2,14,0,0
7,4,61,909,536,3.19,403,95,0,3,34,0,1
7,4,61,903,390,4.46,331,39,0,4,16,0,0
7,4,61,908,199,5.76,153,35,0,3,8,0,0
7,4,61,907,333,4.68,269,42,0,4,17,1,0
7,4,61,890,432,3.64,313,89,1,1,19,1,0
7,4,61,910,359,4.16,297,47,0,5,9,0,1
7,4,61,911,331,6.23,269,39,0,4,19,0,0
7,3,59,815,955,4.95,616,244,14,8,55,1,0
7,3,59,818,800,4.35,526,189,7,18,45,9,0
7,3,59,819,1245,4.80,839,323,7,11,42,6,0
7,3,59,820,2104,4.63,1432,471,8,13,96,12,4
7,3,59,853,503,6.42,361,104,6,21,6,0,0
7,3,59,855,759,6.52,536,145,1,33,4,1,3
