seccion,disn2010
1,2
2,2
3,2
4,2
5,2
6,2
7,1
8,2
9,2
10,1
11,1
12,1
13,1
14,1
15,2
16,2
17,7
18,2
19,2
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,2
38,2
39,3
40,3
41,3
42,3
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,5
53,5
54,5
55,5
56,5
57,4
58,4
59,4
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,4
69,4
70,4
71,5
72,5
73,5
74,5
75,5
76,5
77,4
78,4
79,3
80,3
81,7
82,3
83,3
84,4
85,4
86,4
87,5
88,5
89,5
90,5
91,5
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,5
100,5
101,6
102,6
103,6
104,4
105,4
106,4
107,6
108,6
109,6
110,5
111,6
112,6
113,5
114,5
115,5
116,5
117,5
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,6
126,6
127,6
128,6
129,7
130,7
131,7
132,7
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,17
148,17
149,17
150,17
151,17
152,17
153,17
154,17
155,17
156,17
157,19
158,19
159,17
160,17
161,17
162,17
163,17
164,17
165,19
166,19
167,19
168,19
169,17
170,19
171,19
172,17
173,17
174,17
175,17
176,17
177,17
178,19
179,19
180,17
181,19
182,19
183,11
184,11
185,10
186,10
187,9
188,9
189,9
190,9
191,10
192,10
193,10
194,9
195,9
196,9
197,9
198,9
199,9
200,9
201,9
202,9
203,9
204,10
205,10
206,10
207,9
208,9
209,9
210,9
211,9
212,9
213,9
214,9
215,9
216,8
217,8
218,8
219,10
220,10
221,8
222,8
223,8
224,8
225,8
226,8
227,8
228,8
229,0
230,11
231,11
232,10
233,10
234,10
235,8
236,8
237,8
238,0
239,8
240,8
241,8
242,8
243,10
244,11
245,8
246,8
247,8
248,8
249,8
250,12
251,12
252,12
253,12
254,12
255,12
256,12
257,12
258,12
259,12
260,12
261,20
262,20
263,20
264,20
265,20
266,20
267,20
268,20
269,20
270,20
271,20
272,20
273,14
274,14
275,14
276,14
277,14
278,14
279,14
280,14
281,14
282,14
283,14
284,20
285,14
286,14
287,14
288,14
289,14
290,14
291,14
292,14
293,14
294,14
295,14
296,14
297,14
298,14
299,14
300,14
301,14
302,14
303,15
304,15
305,15
306,15
307,15
308,15
309,15
310,15
311,15
312,15
313,15
314,15
315,15
316,15
317,15
318,15
319,15
320,16
321,16
322,16
323,16
324,16
325,16
326,16
327,16
328,16
329,16
330,16
331,16
332,16
333,16
334,16
335,16
336,16
337,16
338,15
339,16
340,16
341,15
342,16
343,16
344,15
345,15
346,15
347,16
348,16
349,15
350,15
351,15
352,16
353,16
354,16
355,16
356,21
357,21
358,21
359,21
360,21
361,21
362,21
363,19
364,19
365,19
366,19
367,19
368,19
369,19
370,19
371,19
372,19
373,19
374,19
375,19
376,19
377,19
378,19
379,19
380,19
381,18
382,18
383,18
384,18
385,18
386,18
387,18
388,18
389,18
390,18
391,18
392,18
393,18
394,18
395,18
396,18
397,18
398,18
399,18
400,18
401,18
402,18
403,18
404,18
405,18
406,18
407,18
408,18
409,18
410,18
411,18
412,18
413,21
414,21
415,21
416,21
417,21
418,21
419,21
420,21
421,21
422,21
423,21
424,21
425,21
426,21
427,21
428,20
429,20
430,20
431,20
432,20
433,20
434,20
435,20
436,20
437,20
438,0
439,20
440,7
441,7
442,7
443,7
444,7
445,7
446,7
447,7
448,13
449,13
450,13
451,13
452,13
453,13
454,13
455,13
456,13
457,13
458,13
459,13
460,13
461,13
462,13
463,13
464,13
465,13
466,13
467,21
468,21
469,21
470,21
471,13
472,20
473,20
474,20
475,13
476,13
477,13
478,20
479,20
480,13
481,13
482,13
483,20
484,20
485,13
486,20
487,20
488,20
489,13
490,14
491,12
492,12
493,12
494,12
495,12
496,12
497,12
498,12
499,12
500,12
501,12
502,12
503,12
504,12
505,12
506,12
507,12
508,12
509,12
510,12
511,12
512,12
513,12
514,12
515,12
516,12
517,12
518,12
519,12
520,12
521,12
522,12
523,12
524,12
525,12
526,12
527,12
528,16
529,16
530,16
