edon,seccion,munn,disloc
6,1,1,6
6,2,1,6
6,3,1,3
6,4,1,3
6,5,1,5
6,6,1,6
6,7,1,3
6,8,1,10
6,9,1,5
6,10,1,5
6,11,1,6
6,12,1,6
6,13,1,6
6,14,1,4
6,15,1,4
6,16,1,4
6,17,1,5
6,18,1,5
6,19,1,5
6,20,1,5
6,21,1,6
6,22,1,6
6,23,1,7
6,24,1,15
6,25,1,4
6,26,1,4
6,27,1,4
6,28,1,4
6,29,1,5
6,30,1,5
6,31,1,5
6,32,1,5
6,33,1,6
6,34,1,6
6,35,1,6
6,36,1,7
6,37,1,7
6,38,1,4
6,39,1,4
6,40,1,4
6,41,1,5
6,42,1,5
6,43,1,5
6,44,1,6
6,45,1,6
6,46,1,6
6,47,1,4
6,48,1,4
6,49,1,4
6,50,1,7
6,51,1,5
6,52,1,6
6,53,1,6
6,54,1,7
6,55,1,4
6,56,1,7
6,57,1,4
6,58,1,6
6,59,1,7
6,60,1,7
6,61,1,7
6,62,1,7
6,63,1,7
6,64,1,7
6,65,1,7
6,66,1,6
6,67,1,7
6,68,1,10
6,69,1,16
6,70,1,15
6,71,1,4
6,72,1,7
6,73,1,7
6,74,1,7
6,75,1,4
6,76,1,9
6,77,1,2
6,78,1,2
6,79,1,2
6,80,1,6
6,81,1,1
6,82,1,8
6,83,1,16
6,84,1,8
6,85,1,5
6,86,1,2
6,87,1,8
6,88,1,2
6,89,1,3
6,90,1,5
6,91,1,5
6,92,2,15
6,93,2,2
6,94,2,16
6,95,2,2
6,96,2,2
6,97,2,2
6,98,2,1
6,99,2,8
6,100,2,16
6,101,2,1
6,102,2,2
6,103,2,2
6,104,2,1
6,105,3,2
6,106,3,2
6,107,3,10
6,108,3,5
6,109,3,3
6,110,3,2
6,111,3,2
6,112,3,11
6,113,3,2
6,114,3,2
6,115,3,14
6,116,3,2
6,117,3,2
6,118,3,2
6,119,3,2
6,120,4,2
6,121,4,2
6,122,4,2
6,123,4,1
6,124,4,1
6,125,4,2
6,126,4,2
6,127,4,2
6,128,4,2
6,129,4,2
6,130,4,2
6,131,4,2
6,132,4,1
6,133,4,2
6,134,4,2
6,135,4,2
6,136,4,2
6,137,4,2
6,138,5,3
6,139,5,5
6,140,5,2
6,141,5,5
6,142,5,3
6,143,5,5
6,144,5,5
6,145,5,2
6,146,5,9
6,147,5,5
6,148,5,3
6,149,5,3
6,150,5,3
6,151,5,5
6,152,5,8
6,153,5,1
6,154,5,5
6,155,5,5
6,156,5,1
6,157,5,1
6,158,5,3
6,159,5,3
6,160,5,1
6,161,5,15
6,162,5,3
6,163,5,
6,164,5,3
6,165,5,3
6,166,5,11
6,167,5,1
6,168,5,1
6,169,5,15
6,170,6,9
6,171,6,9
6,172,6,9
6,173,6,8
6,174,6,9
6,175,6,6
6,176,6,4
6,177,6,10
6,178,6,15
6,179,6,9
6,180,6,9
6,181,6,14
6,182,6,9
6,183,6,9
6,184,6,9
6,185,6,8
6,186,6,8
6,187,6,8
6,188,6,9
6,189,6,11
6,190,6,9
6,191,7,3
6,192,7,15
6,193,7,5
6,194,7,3
6,195,7,8
6,196,7,3
6,197,7,9
6,198,7,3
6,199,7,5
6,200,8,15
6,201,8,3
6,202,8,9
6,203,8,3
6,204,8,9
6,205,8,9
