"seccion","edon","munn","disn2018","disn2015"
1,6,1,6,1
2,6,1,6,1
3,6,1,2,2
4,6,1,2,2
5,6,1,2,2
6,6,1,6,1
7,6,1,2,2
8,6,1,2,2
9,6,1,2,2
10,6,1,2,2
11,6,1,2,2
12,6,1,6,1
13,6,1,6,1
14,6,1,2,2
15,6,1,2,2
16,6,1,2,2
17,6,1,2,2
18,6,1,2,2
19,6,1,2,2
20,6,1,1,2
21,6,1,1,2
22,6,1,6,1
23,6,1,3,1
24,6,1,3,1
25,6,1,2,2
26,6,1,2,2
27,6,1,2,2
28,6,1,2,2
29,6,1,2,2
30,6,1,2,2
31,6,1,2,2
32,6,1,1,2
33,6,1,1,2
34,6,1,1,2
35,6,1,1,2
36,6,1,1,1
37,6,1,3,1
38,6,1,2,2
39,6,1,2,2
40,6,1,2,2
41,6,1,2,2
42,6,1,1,2
43,6,1,1,2
44,6,1,1,2
45,6,1,1,2
46,6,1,1,2
47,6,1,2,2
48,6,1,2,2
49,6,1,2,5
50,6,1,1,3
51,6,1,1,2
52,6,1,1,2
53,6,1,1,2
54,6,1,2,5
55,6,1,2,5
56,6,1,2,5
57,6,1,1,3
58,6,1,1,2
59,6,1,1,2
60,6,1,1,1
61,6,1,3,3
62,6,1,3,3
63,6,1,2,5
64,6,1,2,5
65,6,1,2,5
66,6,1,2,5
67,6,1,2,5
68,6,1,1,3
69,6,1,1,3
70,6,1,1,3
71,6,1,1,3
72,6,1,1,3
73,6,1,2,5
74,6,1,2,5
75,6,1,3,5
76,6,1,3,5
77,6,1,6,1
78,6,1,6,1
79,6,1,6,1
80,6,1,6,1
81,6,1,3,5
82,6,1,3,3
83,6,1,3,3
84,6,1,3,3
85,6,1,3,3
86,6,1,3,3
87,6,1,3,3
88,6,1,3,3
89,6,1,3,3
90,6,1,3,3
91,6,1,3,3
92,6,2,4,4
93,6,2,4,4
94,6,2,4,4
95,6,2,4,4
96,6,2,4,4
97,6,2,4,4
98,6,2,4,4
99,6,2,4,4
100,6,2,4,4
101,6,2,4,4
102,6,2,4,4
103,6,2,4,4
104,6,2,4,4
105,6,3,5,5
106,6,3,5,5
107,6,3,5,5
108,6,3,5,5
109,6,3,5,5
110,6,3,5,5
111,6,3,5,5
112,6,3,5,5
113,6,3,5,5
114,6,3,5,5
115,6,3,5,5
116,6,3,5,5
117,6,3,5,5
118,6,3,5,5
119,6,3,5,5
120,6,4,6,6
121,6,4,6,6
122,6,4,6,6
123,6,4,6,6
124,6,4,6,6
125,6,4,6,6
126,6,4,6,6
127,6,4,6,6
128,6,4,6,6
129,6,4,6,6
130,6,4,6,6
131,6,4,6,6
132,6,4,6,6
133,6,4,6,6
134,6,4,6,6
135,6,4,6,6
136,6,4,6,6
137,6,4,6,6
138,6,5,7,7
139,6,5,7,7
140,6,5,7,4
141,6,5,7,4
142,6,5,7,7
143,6,5,7,7
144,6,5,7,7
145,6,5,4,6
146,6,5,5,4
147,6,5,7,7
148,6,5,7,7
149,6,5,4,7
150,6,5,4,7
151,6,5,7,7
152,6,5,5,4
153,6,5,8,7
154,6,5,8,7
155,6,5,7,7
156,6,5,7,7
157,6,5,7,7
158,6,5,4,7
159,6,5,4,7
160,6,5,8,8
161,6,5,8,8
162,6,5,8,8
164,6,5,8,8
165,6,5,8,8
166,6,5,4,6
167,6,5,5,4
168,6,5,5,4
169,6,5,4,6
170,6,6,9,9
171,6,6,9,9
172,6,6,9,9
173,6,6,9,9
174,6,6,9,9
175,6,6,9,9
176,6,6,9,9
177,6,6,9,9
178,6,6,9,9
179,6,6,9,9
180,6,6,9,9
181,6,6,9,9
182,6,6,9,9
183,6,6,9,9
184,6,6,9,9
185,6,6,9,9
186,6,6,9,9
187,6,6,9,9
188,6,6,9,9
189,6,6,9,9
190,6,6,9,9
191,6,7,16,3
192,6,7,16,3
193,6,7,16,3
194,6,7,16,3
195,6,7,16,3
196,6,7,16,3
197,6,7,16,3
198,6,7,16,3
199,6,7,16,3
200,6,8,13,13
