seccion,dist_old,dist_new,father,dsi
1,10,12,19,0.133
2,10,12,26,0.133
3,10,12,19,0.133
4,10,12,26,0.133
5,9,12,19,0.133
6,9,12,26,0.133
7,26,6,9,0.092
8,26,12,19,0.133
9,26,12,26,0.133
10,26,12,19,0.133
11,26,12,26,0.133
12,26,12,19,0.133
13,26,12,26,0.133
14,26,12,19,0.133
15,26,12,26,0.133
16,26,12,19,0.133
17,26,12,26,0.133
18,26,6,9,0.092
19,26,12,19,0.133
20,26,12,26,0.133
21,26,12,19,0.133
22,26,12,26,0.133
23,26,12,19,0.133
24,26,12,26,0.133
25,26,12,19,0.133
26,26,12,26,0.133
27,26,12,19,0.133
28,26,12,26,0.133
29,26,6,9,0.092
30,26,12,19,0.133
31,26,12,26,0.133
32,26,12,19,0.133
33,26,12,26,0.133
34,26,3,15,0.197
35,26,12,19,0.133
36,26,12,26,0.133
37,26,12,19,0.133
38,26,12,26,0.133
39,26,12,19,0.133
40,26,12,26,0.133
41,26,6,9,0.092
42,26,12,19,0.133
43,26,12,26,0.133
44,26,12,19,0.133
45,26,12,26,0.133
46,26,12,19,0.133
47,19,12,26,0.133
48,19,12,19,0.133
49,19,12,26,0.133
50,19,12,19,0.133
51,19,12,26,0.133
52,19,6,9,0.092
53,19,12,19,0.133
54,19,12,26,0.133
55,19,12,19,0.133
56,19,12,26,0.133
57,19,12,19,0.133
58,19,12,26,0.133
59,19,12,19,0.133
60,19,12,26,0.133
61,19,12,19,0.133
62,19,12,26,0.133
63,19,6,9,0.092
64,19,12,19,0.133
65,19,12,26,0.133
66,19,12,19,0.133
67,19,12,26,0.133
68,19,12,19,0.133
69,19,12,26,0.133
70,19,12,19,0.133
71,19,12,26,0.133
72,19,12,19,0.133
73,19,12,26,0.133
74,19,12,19,0.133
75,19,7,1,0.053
76,19,12,26,0.133
77,19,12,19,0.133
78,19,12,26,0.133
79,19,12,19,0.133
80,19,12,26,0.133
81,19,12,19,0.133
82,19,12,26,0.133
83,19,12,19,0.133
84,19,12,26,0.133
85,23,12,19,0.133
