"seccion","edon","munn","disn2016","cab","disn2012"
1,29,1,8,"contla",2
2,29,1,8,"contla",2
3,29,1,8,"contla",2
4,29,1,8,"contla",2
5,29,2,8,"contla",2
6,29,2,8,"contla",2
7,29,2,8,"contla",2
8,29,2,8,"contla",2
9,29,2,8,"contla",2
10,29,2,8,"contla",2
11,29,2,8,"contla",2
12,29,3,4,"apizaco",1
13,29,3,4,"apizaco",1
14,29,3,4,"apizaco",1
15,29,3,4,"apizaco",1
16,29,3,4,"apizaco",1
17,29,3,4,"apizaco",1
18,29,3,4,"apizaco",1
19,29,3,4,"apizaco",1
20,29,3,4,"apizaco",1
21,29,3,4,"apizaco",1
22,29,3,4,"apizaco",1
23,29,3,4,"apizaco",1
24,29,3,4,"apizaco",1
25,29,3,4,"apizaco",1
26,29,3,4,"apizaco",1
27,29,3,4,"apizaco",1
28,29,3,4,"apizaco",1
29,29,3,4,"apizaco",1
30,29,3,4,"apizaco",1
31,29,3,4,"apizaco",1
32,29,3,4,"apizaco",1
33,29,3,4,"apizaco",1
34,29,3,4,"apizaco",1
35,29,3,4,"apizaco",1
36,29,3,4,"apizaco",1
37,29,3,4,"apizaco",1
38,29,3,5,"yauhquemehcan",1
39,29,3,4,"apizaco",1
40,29,3,4,"apizaco",1
41,29,3,4,"apizaco",1
42,29,3,4,"apizaco",1
43,29,3,4,"apizaco",1
44,29,3,4,"apizaco",1
45,29,3,4,"apizaco",1
46,29,3,4,"apizaco",1
47,29,3,4,"apizaco",1
48,29,3,4,"apizaco",1
49,29,4,2,"tlaxco",1
50,29,4,2,"tlaxco",1
51,29,4,2,"tlaxco",1
52,29,4,2,"tlaxco",1
53,29,4,2,"tlaxco",1
54,29,4,2,"tlaxco",1
55,29,4,2,"tlaxco",1
56,29,4,2,"tlaxco",1
57,29,4,2,"tlaxco",1
58,29,34,2,"tlaxco",1
59,29,5,11,"huamantla",1
60,29,5,11,"huamantla",1
61,29,5,11,"huamantla",1
62,29,5,11,"huamantla",1
63,29,5,11,"huamantla",1
64,29,5,11,"huamantla",1
65,29,5,11,"huamantla",1
66,29,5,11,"huamantla",1
67,29,5,11,"huamantla",1
68,29,5,11,"huamantla",1
69,29,5,11,"huamantla",1
70,29,5,11,"huamantla",1
71,29,5,11,"huamantla",1
72,29,5,11,"huamantla",1
73,29,5,11,"huamantla",1
74,29,5,11,"huamantla",1
75,29,5,11,"huamantla",1
76,29,5,11,"huamantla",1
77,29,5,11,"huamantla",1
78,29,6,1,"san antonio calpulalpan",3
79,29,6,1,"san antonio calpulalpan",3
80,29,6,1,"san antonio calpulalpan",3
81,29,6,1,"san antonio calpulalpan",3
82,29,6,1,"san antonio calpulalpan",3
83,29,6,1,"san antonio calpulalpan",3
84,29,6,1,"san antonio calpulalpan",3
85,29,6,1,"san antonio calpulalpan",3
86,29,6,1,"san antonio calpulalpan",3
87,29,6,1,"san antonio calpulalpan",3
88,29,6,1,"san antonio calpulalpan",3
89,29,6,1,"san antonio calpulalpan",3
90,29,6,1,"san antonio calpulalpan",3
91,29,6,1,"san antonio calpulalpan",3
92,29,6,1,"san antonio calpulalpan",3
93,29,6,1,"san antonio calpulalpan",3
94,29,6,1,"san antonio calpulalpan",3
95,29,6,1,"san antonio calpulalpan",3
96,29,6,1,"san antonio calpulalpan",3
97,29,6,1,"san antonio calpulalpan",3
98,29,6,1,"san antonio calpulalpan",3
99,29,6,1,"san antonio calpulalpan",3
100,29,7,11,"huamantla",1
101,29,7,11,"huamantla",1
102,29,7,11,"huamantla",1
103,29,7,11,"huamantla",1
104,29,7,11,"huamantla",1
105,29,7,11,"huamantla",1
106,29,7,11,"huamantla",1
107,29,8,11,"huamantla",1
108,29,8,11,"huamantla",1
109,29,8,11,"huamantla",1
110,29,8,11,"huamantla",1
111,29,8,11,"huamantla",1
112,29,8,11,"huamantla",1
113,29,8,11,"huamantla",1
114,29,8,11,"huamantla",1
115,29,8,11,"huamantla",1
116,29,8,11,"huamantla",1
117,29,9,3,"xalostoc",1
118,29,9,3,"xalostoc",1
119,29,9,3,"xalostoc",1
120,29,9,3,"xalostoc",1
121,29,9,3,"xalostoc",1
122,29,10,9,"chiautempan",2
123,29,10,9,"chiautempan",2
124,29,10,9,"chiautempan",2
125,29,10,9,"chiautempan",2
126,29,10,9,"chiautempan",2
127,29,10,9,"chiautempan",2
128,29,10,9,"chiautempan",2
129,29,10,9,"chiautempan",2
130,29,10,9,"chiautempan",2
131,29,10,9,"chiautempan",2
132,29,10,9,"chiautempan",2
133,29,10,9,"chiautempan",2
134,29,10,9,"chiautempan",2
135,29,10,9,"chiautempan",2
136,29,10,9,"chiautempan",2
137,29,10,9,"chiautempan",2
