"seccion","munn","edon","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018"
1,1,19,"nl",6,2,12,7,"abasolo",20,20
2,1,19,"nl",6,2,12,7,"abasolo",20,20
3,2,19,"nl",6,2,12,7,"agualeguas",22,21
4,2,19,"nl",6,2,12,7,"agualeguas",22,21
5,2,19,"nl",6,2,12,7,"agualeguas",22,21
6,2,19,"nl",6,2,12,7,"agualeguas",22,21
7,2,19,"nl",6,2,12,7,"agualeguas",22,21
8,2,19,"nl",6,2,12,7,"agualeguas",22,21
9,2,19,"nl",6,2,12,7,"agualeguas",22,21
10,2,19,"nl",6,2,12,7,"agualeguas",22,21
11,2,19,"nl",6,2,12,7,"agualeguas",22,21
12,3,19,"nl",6,2,12,9,"los aldamas",22,24
13,3,19,"nl",6,2,12,9,"los aldamas",22,24
14,3,19,"nl",6,2,12,9,NA,22,24
15,3,19,"nl",6,2,12,9,"los aldamas",22,24
16,3,19,"nl",6,2,12,9,"los aldamas",22,24
17,3,19,"nl",6,2,12,9,"los aldamas",22,24
18,3,19,"nl",6,2,12,9,"los aldamas",22,24
19,3,19,"nl",6,2,12,9,"los aldamas",22,24
20,4,19,"nl",11,9,9,9,"allende",24,26
21,4,19,"nl",11,9,9,9,"allende",24,26
22,4,19,"nl",11,9,9,9,"allende",24,26
23,4,19,"nl",11,9,9,9,"allende",24,26
24,4,19,"nl",11,9,9,9,"allende",24,26
25,4,19,"nl",11,9,9,9,"allende",24,26
26,4,19,"nl",11,9,9,9,"allende",24,26
27,4,19,"nl",11,9,9,9,"allende",24,26
28,4,19,"nl",11,9,9,9,"allende",24,26
29,4,19,"nl",11,9,9,9,"allende",24,26
30,4,19,"nl",11,9,9,9,"allende",24,26
31,4,19,"nl",11,9,9,9,"allende",24,26
32,4,19,"nl",11,9,9,9,"allende",24,26
33,4,19,"nl",11,9,9,9,"allende",24,26
34,4,19,"nl",11,9,9,9,"allende",24,26
35,4,19,"nl",11,9,9,9,"allende",24,26
36,4,19,"nl",11,9,9,9,"allende",24,26
37,4,19,"nl",11,9,9,9,"allende",24,26
38,4,19,"nl",11,9,9,9,"allende",24,26
39,5,19,"nl",6,1,12,7,"anahuac",21,21
40,5,19,"nl",6,1,12,7,"anahuac",21,21
41,5,19,"nl",6,1,12,7,"anahuac",21,21
42,5,19,"nl",6,1,12,7,"anahuac",21,21
43,5,19,"nl",6,1,12,7,"anahuac",21,21
44,5,19,"nl",6,1,12,7,"anahuac",21,21
45,5,19,"nl",6,1,12,7,"anahuac",21,21
46,5,19,"nl",6,1,12,7,"anahuac",21,21
47,5,19,"nl",6,1,12,7,"anahuac",21,21
48,5,19,"nl",6,1,12,7,"anahuac",21,21
49,5,19,"nl",6,1,12,7,"anahuac",21,21
50,5,19,"nl",6,1,12,7,NA,21,21
