"seccion","munn","edon","edo","disfed1994","disfed1997","disfed2006","disfed2018","disloc2018","disloc2013","mun","lisnom13"
1,1,21,"pue",14,7,7,7,12,17,"Acajete",664
2,1,21,"pue",14,7,7,7,12,17,"Acajete",691
3,1,21,"pue",14,7,7,7,12,17,"Acajete",507
4,1,21,"pue",14,7,7,7,12,17,"Acajete",668
5,1,21,"pue",14,7,7,7,12,17,"Acajete",643
6,1,21,"pue",14,7,7,7,12,17,"Acajete",703
7,1,21,"pue",14,7,7,7,12,17,"Acajete",592
8,1,21,"pue",14,7,7,7,12,17,"Acajete",605
9,1,21,"pue",14,7,7,7,12,17,"Acajete",650
10,1,21,"pue",14,7,7,7,12,17,"Acajete",571
11,1,21,"pue",14,7,7,7,12,17,"Acajete",672
12,1,21,"pue",14,7,7,7,12,17,"Acajete",513
13,1,21,"pue",14,7,7,7,12,17,"Acajete",658
14,1,21,"pue",14,7,7,7,12,17,"Acajete",571
15,1,21,"pue",14,7,7,7,12,17,"Acajete",513
16,1,21,"pue",14,7,7,7,12,17,"Acajete",748
17,1,21,"pue",14,7,7,7,12,17,"Acajete",651
18,1,21,"pue",14,7,7,7,12,17,"Acajete",709
19,1,21,"pue",14,7,7,7,12,17,"Acajete",670
20,2,21,"pue",8,3,3,3,5,6,"Acateno",707
21,2,21,"pue",8,3,3,3,5,6,"Acateno",608
22,2,21,"pue",8,3,3,3,5,6,"Acateno",606
23,2,21,"pue",8,3,3,3,5,6,"Acateno",308
24,2,21,"pue",8,3,3,3,5,6,"Acateno",235
25,2,21,"pue",8,3,3,3,5,6,"Acateno",236
26,2,21,"pue",8,3,3,3,5,6,"Acateno",443
27,2,21,"pue",8,3,3,3,5,6,"Acateno",602
28,3,21,"pue",5,13,14,14,23,23,"Acatlán",664
29,3,21,"pue",5,13,14,14,23,23,"Acatlán",631
30,3,21,"pue",5,13,14,14,23,23,"Acatlán",743
31,3,21,"pue",5,13,14,14,23,23,"Acatlán",601
32,3,21,"pue",5,13,14,14,23,23,"Acatlán",639
33,3,21,"pue",5,13,14,14,23,23,"Acatlán",586
34,3,21,"pue",5,13,14,14,23,23,"Acatlán",628
35,3,21,"pue",5,13,14,14,23,23,"Acatlán",733
36,3,21,"pue",5,13,14,14,23,23,"Acatlán",528
37,3,21,"pue",5,13,14,14,23,23,"Acatlán",629
38,3,21,"pue",5,13,14,14,23,23,"Acatlán",639
39,3,21,"pue",5,13,14,14,23,23,"Acatlán",489
40,3,21,"pue",5,13,14,14,23,23,"Acatlán",604
41,3,21,"pue",5,13,14,14,23,23,"Acatlán",110
42,3,21,"pue",5,13,14,14,23,23,"Acatlán",271
43,3,21,"pue",5,13,14,14,23,23,"Acatlán",449
44,3,21,"pue",5,13,14,14,23,23,"Acatlán",647
45,4,21,"pue",14,7,7,7,13,18,"Acatzingo",653
46,4,21,"pue",14,7,7,7,13,18,"Acatzingo",641
47,4,21,"pue",14,7,7,7,13,18,"Acatzingo",673
48,4,21,"pue",14,7,7,7,13,18,"Acatzingo",631
49,4,21,"pue",14,7,7,7,13,18,"Acatzingo",562
50,4,21,"pue",14,7,7,7,13,18,"Acatzingo",657
51,4,21,"pue",14,7,7,7,13,18,"Acatzingo",618
52,4,21,"pue",14,7,7,7,13,18,"Acatzingo",673
53,4,21,"pue",14,7,7,7,13,18,"Acatzingo",654
54,4,21,"pue",14,7,7,7,13,18,"Acatzingo",639
55,4,21,"pue",14,7,7,7,13,18,"Acatzingo",535
56,4,21,"pue",14,7,7,7,13,18,"Acatzingo",472
57,4,21,"pue",14,7,7,7,13,18,"Acatzingo",604
58,4,21,"pue",14,7,7,7,13,18,"Acatzingo",599
59,4,21,"pue",14,7,7,7,13,18,"Acatzingo",665
60,4,21,"pue",14,7,7,7,13,18,"Acatzingo",706
61,5,21,"pue",4,14,13,13,22,22,"Acteopan",490
62,5,21,"pue",4,14,13,13,22,22,"Acteopan",665
63,5,21,"pue",4,14,13,13,22,22,"Acteopan",514
64,6,21,"pue",9,2,4,2,2,2,"Ahuacatlán",576
65,6,21,"pue",9,2,4,2,2,2,"Ahuacatlán",522
66,6,21,"pue",9,2,4,2,2,2,"Ahuacatlán",439
67,6,21,"pue",9,2,4,2,2,2,"Ahuacatlán",741
68,6,21,"pue",9,2,4,2,2,2,"Ahuacatlán",332
69,6,21,"pue",9,2,4,2,2,2,"Ahuacatlán",447
70,6,21,"pue",9,2,4,2,2,2,"Ahuacatlán",623
71,7,21,"pue",5,14,13,14,23,23,"Ahuatlán",579
72,7,21,"pue",5,14,13,14,23,23,"Ahuatlán",658
73,7,21,"pue",5,14,13,14,23,23,"Ahuatlán",411
74,7,21,"pue",5,14,13,14,23,23,"Ahuatlán",569
75,8,21,"pue",10,2,2,2,3,2,"Ahuazotepec",519
76,8,21,"pue",10,2,2,2,3,2,"Ahuazotepec",702
77,8,21,"pue",10,2,2,2,3,2,"Ahuazotepec",705
78,8,21,"pue",10,2,2,2,3,2,"Ahuazotepec",388
79,9,21,"pue",13,13,14,14,23,23,"Ahuehuetitla",668
80,10,21,"pue",6,15,16,4,26,26,"Ajalpan",729
81,10,21,"pue",6,15,16,4,26,26,"Ajalpan",683
82,10,21,"pue",6,15,16,4,26,26,"Ajalpan",581
83,10,21,"pue",6,15,16,4,26,26,"Ajalpan",612
84,10,21,"pue",6,15,16,4,26,26,"Ajalpan",698
85,10,21,"pue",6,15,16,4,26,26,"Ajalpan",616
86,10,21,"pue",6,15,16,4,26,26,"Ajalpan",523
87,10,21,"pue",6,15,16,4,26,26,"Ajalpan",693
88,10,21,"pue",6,15,16,4,26,26,"Ajalpan",748
89,10,21,"pue",6,15,16,4,26,26,"Ajalpan",502
90,10,21,"pue",6,15,16,4,26,26,"Ajalpan",576
91,10,21,"pue",6,15,16,4,26,26,"Ajalpan",510
92,10,21,"pue",6,15,16,4,26,26,"Ajalpan",211
93,10,21,"pue",6,15,16,4,26,26,"Ajalpan",98
94,10,21,"pue",6,15,16,4,26,26,"Ajalpan",739
95,10,21,"pue",6,15,16,4,26,26,"Ajalpan",437
96,10,21,"pue",6,15,16,4,26,26,"Ajalpan",603
97,10,21,"pue",6,15,16,4,26,26,"Ajalpan",589
98,10,21,"pue",6,15,16,4,26,26,"Ajalpan",258
99,10,21,"pue",6,15,16,4,26,26,"Ajalpan",474
100,10,21,"pue",6,15,16,4,26,26,"Ajalpan",573
101,10,21,"pue",6,15,16,4,26,26,"Ajalpan",377
102,11,21,"pue",13,14,14,14,22,23,"Albino Zertuche",745
103,12,21,"pue",7,8,8,8,14,20,"Aljojuca",614
104,12,21,"pue",7,8,8,8,14,20,"Aljojuca",580
105,12,21,"pue",7,8,8,8,14,20,"Aljojuca",602
106,12,21,"pue",7,8,8,8,14,20,"Aljojuca",471
107,13,21,"pue",6,15,16,4,26,26,"Altepexi",658
108,13,21,"pue",6,15,16,4,26,26,"Altepexi",656
109,13,21,"pue",6,15,16,4,26,26,"Altepexi",554
110,13,21,"pue",6,15,16,4,26,26,"Altepexi",703
111,13,21,"pue",6,15,16,4,26,26,"Altepexi",691
112,13,21,"pue",6,15,16,4,26,26,"Altepexi",680
113,14,21,"pue",9,2,4,1,2,2,"Amixtlán",531
114,14,21,"pue",9,2,4,1,2,2,"Amixtlán",717
115,14,21,"pue",9,2,4,1,2,2,"Amixtlán",381
116,15,21,"pue",14,7,7,7,12,17,"Amozoc",656
117,15,21,"pue",14,7,7,7,12,17,"Amozoc",592
118,15,21,"pue",14,7,7,7,12,17,"Amozoc",732
119,15,21,"pue",14,7,7,7,12,17,"Amozoc",559
120,15,21,"pue",14,7,7,7,12,17,"Amozoc",570
121,15,21,"pue",14,7,7,7,12,17,"Amozoc",687
122,15,21,"pue",14,7,7,7,12,17,"Amozoc",664
123,15,21,"pue",14,7,7,7,12,17,"Amozoc",661
124,15,21,"pue",14,7,7,7,12,17,"Amozoc",669
125,15,21,"pue",14,7,7,7,12,17,"Amozoc",547
126,15,21,"pue",14,7,7,7,12,17,"Amozoc",710
127,15,21,"pue",14,7,7,7,12,17,"Amozoc",677
128,15,21,"pue",14,7,7,7,12,17,"Amozoc",734
129,15,21,"pue",14,7,7,7,12,17,"Amozoc",744
130,15,21,"pue",14,7,7,7,12,17,"Amozoc",585
131,15,21,"pue",14,7,7,7,12,17,"Amozoc",712
132,15,21,"pue",14,7,7,7,12,17,"Amozoc",686
133,15,21,"pue",14,7,7,7,12,17,"Amozoc",506
134,16,21,"pue",9,2,2,2,3,3,"Aquixtla",618
135,16,21,"pue",9,2,2,2,3,3,"Aquixtla",482
136,16,21,"pue",9,2,2,2,3,3,"Aquixtla",564
137,16,21,"pue",9,2,2,2,3,3,"Aquixtla",601
138,16,21,"pue",9,2,2,2,3,3,"Aquixtla",712
139,17,21,"pue",8,3,4,3,5,5,"Atempan",605
140,17,21,"pue",8,3,4,3,5,5,"Atempan",665
141,17,21,"pue",8,3,4,3,5,5,"Atempan",269
142,17,21,"pue",8,3,4,3,5,5,"Atempan",69
143,17,21,"pue",8,3,4,3,5,5,"Atempan",393
144,17,21,"pue",8,3,4,3,5,5,"Atempan",596
145,17,21,"pue",8,3,4,3,5,5,"Atempan",695
146,17,21,"pue",8,3,4,3,5,5,"Atempan",618
147,17,21,"pue",8,3,4,3,5,5,"Atempan",399
148,18,21,"pue",5,13,16,15,24,23,"Atexcal",445
149,18,21,"pue",5,13,16,15,24,23,"Atexcal",282
150,18,21,"pue",5,13,16,15,24,23,"Atexcal",247
151,18,21,"pue",5,13,16,15,24,23,"Atexcal",341
152,18,21,"pue",5,13,16,15,24,23,"Atexcal",626
153,18,21,"pue",5,13,16,15,24,23,"Atexcal",274
154,19,21,"pue",4,10,13,13,21,21,"Atlixco",619
155,19,21,"pue",4,10,13,13,21,21,"Atlixco",337
156,19,21,"pue",4,10,13,13,21,21,"Atlixco",211
157,19,21,"pue",4,10,13,13,21,21,"Atlixco",711
158,19,21,"pue",4,10,13,13,21,21,"Atlixco",668
159,19,21,"pue",4,10,13,13,21,21,"Atlixco",619
160,19,21,"pue",4,10,13,13,21,21,"Atlixco",687
161,19,21,"pue",4,10,13,13,21,21,"Atlixco",748
162,19,21,"pue",4,10,13,13,21,21,"Atlixco",741
163,19,21,"pue",4,10,13,13,21,21,"Atlixco",747
164,19,21,"pue",4,10,13,13,21,21,"Atlixco",656
165,19,21,"pue",4,10,13,13,21,21,"Atlixco",649
166,19,21,"pue",4,10,13,13,21,21,"Atlixco",537
167,19,21,"pue",4,10,13,13,21,21,"Atlixco",625
168,19,21,"pue",4,10,13,13,21,21,"Atlixco",596
169,19,21,"pue",4,10,13,13,21,21,"Atlixco",662
170,19,21,"pue",4,10,13,13,21,21,"Atlixco",617
171,19,21,"pue",4,10,13,13,21,21,"Atlixco",638
172,19,21,"pue",4,10,13,13,21,21,"Atlixco",248
173,19,21,"pue",4,10,13,13,21,21,"Atlixco",507
174,19,21,"pue",4,10,13,13,21,21,"Atlixco",635
175,19,21,"pue",4,10,13,13,21,21,"Atlixco",621
176,19,21,"pue",4,10,13,13,21,21,"Atlixco",544
177,19,21,"pue",4,10,13,13,21,21,"Atlixco",573
178,19,21,"pue",4,10,13,13,21,21,"Atlixco",649
179,19,21,"pue",4,10,13,13,21,21,"Atlixco",375
180,19,21,"pue",4,10,13,13,21,21,"Atlixco",390
181,19,21,"pue",4,10,13,13,21,21,"Atlixco",477
182,19,21,"pue",4,10,13,13,21,21,"Atlixco",428
183,19,21,"pue",4,10,13,13,21,21,"Atlixco",371
184,19,21,"pue",4,10,13,13,21,21,"Atlixco",562
185,19,21,"pue",4,10,13,13,21,21,"Atlixco",685
186,19,21,"pue",4,10,13,13,21,21,"Atlixco",567
187,19,21,"pue",4,10,13,13,21,21,"Atlixco",676
188,19,21,"pue",4,10,13,13,21,21,"Atlixco",437
189,19,21,"pue",4,10,13,13,21,21,"Atlixco",572
190,19,21,"pue",4,10,13,13,21,21,"Atlixco",521
191,19,21,"pue",4,10,13,13,21,21,"Atlixco",551
192,19,21,"pue",4,10,13,13,21,21,"Atlixco",486
193,19,21,"pue",4,10,13,13,21,21,"Atlixco",503
194,19,21,"pue",4,10,13,13,21,21,"Atlixco",556
195,19,21,"pue",4,10,13,13,21,21,"Atlixco",688
196,19,21,"pue",4,10,13,13,21,21,"Atlixco",517
197,19,21,"pue",4,10,13,13,21,21,"Atlixco",552
198,19,21,"pue",4,10,13,13,21,21,"Atlixco",633
199,19,21,"pue",4,10,13,13,21,21,"Atlixco",696
200,19,21,"pue",4,10,13,13,21,21,"Atlixco",472
201,19,21,"pue",4,10,13,13,21,21,"Atlixco",563
202,19,21,"pue",4,10,13,13,21,21,"Atlixco",547
203,19,21,"pue",4,10,13,13,21,21,"Atlixco",696
204,19,21,"pue",4,10,13,13,21,21,"Atlixco",715
205,19,21,"pue",4,10,13,13,21,21,"Atlixco",661
206,19,21,"pue",4,10,13,13,21,21,"Atlixco",688
207,19,21,"pue",4,10,13,13,21,21,"Atlixco",528
208,19,21,"pue",4,10,13,13,21,21,"Atlixco",605
