"seccion","munn","edon","edo","disfed1994","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012"
1,1,27,"tab",2,1,1,1,6,1
2,1,27,"tab",2,1,1,1,6,1
3,1,27,"tab",2,1,1,1,6,1
4,1,27,"tab",2,1,1,1,6,1
5,1,27,"tab",2,1,1,1,6,1
6,1,27,"tab",2,1,1,1,6,1
7,1,27,"tab",2,1,1,1,6,1
8,1,27,"tab",2,1,1,1,6,1
9,1,27,"tab",2,1,1,1,6,1
10,1,27,"tab",2,1,1,1,6,1
11,1,27,"tab",2,1,1,1,6,1
12,1,27,"tab",2,1,1,1,6,1
13,1,27,"tab",2,1,1,1,6,1
14,1,27,"tab",2,1,1,1,6,1
15,1,27,"tab",2,1,1,1,6,1
16,1,27,"tab",2,1,1,1,6,1
17,1,27,"tab",2,1,1,1,6,1
18,1,27,"tab",2,1,1,1,6,1
19,1,27,"tab",2,1,1,1,6,1
20,1,27,"tab",2,1,1,1,6,1
21,1,27,"tab",2,1,1,1,6,1
22,1,27,"tab",2,1,1,1,6,1
23,1,27,"tab",2,1,1,1,6,1
24,1,27,"tab",2,1,1,1,6,1
25,1,27,"tab",2,1,1,1,6,1
26,1,27,"tab",2,1,1,1,6,1
26,NA,NA,NA,0,0,0,0,0,1
27,1,27,"tab",2,1,1,1,6,1
28,1,27,"tab",2,1,1,1,6,1
29,1,27,"tab",2,1,1,1,6,1
30,1,27,"tab",2,1,1,1,6,1
31,1,27,"tab",2,1,1,1,6,1
32,1,27,"tab",2,1,1,1,6,1
33,1,27,"tab",2,1,1,1,6,1
34,1,27,"tab",2,1,1,1,6,1
35,1,27,"tab",2,1,1,1,6,1
36,1,27,"tab",2,1,1,1,6,1
37,1,27,"tab",2,1,1,1,6,1
38,1,27,"tab",2,1,1,1,6,1
39,1,27,"tab",2,1,1,1,6,1
40,1,27,"tab",2,1,1,1,6,1
41,1,27,"tab",2,1,1,1,6,1
42,1,27,"tab",2,1,1,1,6,1
43,1,27,"tab",2,1,1,1,6,1
44,1,27,"tab",2,1,1,1,6,1
45,1,27,"tab",2,1,1,1,6,1
46,2,27,"tab",3,2,2,2,3,19
47,2,27,"tab",3,2,2,2,3,19
48,2,27,"tab",3,2,2,2,3,2
49,2,27,"tab",3,2,3,2,3,2
50,2,27,"tab",3,2,2,2,3,2
51,2,27,"tab",3,2,2,2,3,2
52,2,27,"tab",3,2,2,2,3,2
53,2,27,"tab",3,2,2,2,3,2
54,2,27,"tab",3,2,2,2,3,2
55,2,27,"tab",3,2,3,2,3,2
56,2,27,"tab",3,2,3,2,3,2
57,2,27,"tab",3,2,2,2,3,2
58,2,27,"tab",3,2,2,2,3,2
59,2,27,"tab",3,2,2,2,3,2
60,2,27,"tab",3,2,2,2,3,2
61,2,27,"tab",3,2,2,2,3,2
62,2,27,"tab",3,2,3,2,3,2
63,2,27,"tab",3,2,3,2,3,2
64,2,27,"tab",3,2,3,2,3,2
65,2,27,"tab",3,2,3,2,3,2
66,2,27,"tab",3,2,2,2,3,2
67,2,27,"tab",3,2,2,2,3,2
68,2,27,"tab",3,2,2,2,3,2
69,2,27,"tab",3,2,2,2,3,2
70,2,27,"tab",3,2,2,2,3,2
71,2,27,"tab",3,2,2,2,3,2
72,2,27,"tab",3,2,2,2,3,2
73,2,27,"tab",3,2,2,2,3,2
74,2,27,"tab",3,2,3,2,3,2
75,2,27,"tab",3,2,3,2,3,2
76,2,27,"tab",3,2,3,2,3,2
77,2,27,"tab",3,2,3,2,3,2
78,2,27,"tab",3,2,3,2,3,2
79,2,27,"tab",3,2,3,2,3,2
80,2,27,"tab",3,2,3,2,3,2
81,2,27,"tab",3,2,3,2,3,2
82,2,27,"tab",3,2,3,2,3,2
83,2,27,"tab",3,2,3,2,3,2
84,2,27,"tab",3,2,3,2,3,2
85,2,27,"tab",3,2,3,2,3,2
86,2,27,"tab",3,2,3,2,3,2
87,2,27,"tab",3,2,3,2,3,2
88,2,27,"tab",3,2,3,2,3,2
89,2,27,"tab",3,2,3,2,3,2
90,2,27,"tab",3,2,2,2,4,19
91,2,27,"tab",3,2,2,2,4,19
92,2,27,"tab",3,2,2,2,4,19
93,2,27,"tab",3,2,2,2,4,19
94,2,27,"tab",3,2,2,2,4,19
95,2,27,"tab",3,2,2,2,4,19
96,2,27,"tab",3,2,2,2,4,19
97,2,27,"tab",3,2,2,2,4,19
98,2,27,"tab",3,2,2,2,4,19
99,2,27,"tab",3,2,2,2,4,19
100,2,27,"tab",3,2,2,2,4,19
101,2,27,"tab",3,2,2,2,2,19
102,2,27,"tab",3,2,2,2,2,19
103,2,27,"tab",3,2,2,2,4,19
104,2,27,"tab",3,2,2,2,4,19
105,2,27,"tab",3,2,2,2,4,19
106,2,27,"tab",3,2,2,2,4,19
107,2,27,"tab",3,2,2,2,2,19
108,2,27,"tab",3,2,2,2,4,19
109,2,27,"tab",3,2,2,2,4,19
110,2,27,"tab",3,2,2,2,4,19
111,2,27,"tab",3,2,2,2,4,19
112,2,27,"tab",3,2,2,2,2,19
113,2,27,"tab",3,2,2,2,2,19
114,2,27,"tab",3,2,2,2,2,19
115,2,27,"tab",3,2,2,2,2,19
116,2,27,"tab",3,2,2,2,2,19
117,2,27,"tab",3,2,2,2,4,19
118,2,27,"tab",3,2,2,2,4,19
119,2,27,"tab",3,2,2,2,4,19
120,2,27,"tab",3,2,2,2,4,19
121,2,27,"tab",3,2,2,2,4,19
122,2,27,"tab",3,2,2,2,4,19
123,2,27,"tab",3,2,2,2,4,19
124,2,27,"tab",3,2,2,2,4,19
125,2,27,"tab",3,2,2,2,4,19
126,2,27,"tab",3,2,2,2,2,19
127,2,27,"tab",3,2,2,2,4,19
128,2,27,"tab",3,2,2,2,2,19
129,2,27,"tab",3,2,2,2,4,19
130,2,27,"tab",3,2,2,2,4,19
131,2,27,"tab",3,2,2,2,4,19
132,2,27,"tab",3,2,2,2,4,19
133,2,27,"tab",3,2,2,2,4,19
134,2,27,"tab",3,2,2,2,4,19
135,2,27,"tab",3,2,2,2,2,19
136,2,27,"tab",3,2,2,2,4,19
137,2,27,"tab",3,2,2,2,4,2
138,2,27,"tab",3,2,2,2,4,2
139,2,27,"tab",3,2,2,2,4,2
140,2,27,"tab",3,2,2,2,4,19
141,2,27,"tab",3,2,2,2,2,19
142,2,27,"tab",3,2,2,2,2,19
143,2,27,"tab",3,2,2,2,2,19
144,2,27,"tab",3,2,2,2,4,19
145,2,27,"tab",3,2,2,2,4,19
146,2,27,"tab",3,2,2,2,4,19
147,2,27,"tab",3,2,2,2,4,2
148,2,27,"tab",3,2,2,2,4,19
149,2,27,"tab",3,2,2,2,4,2
150,2,27,"tab",3,2,3,2,4,2
151,2,27,"tab",3,2,2,2,4,2
152,2,27,"tab",3,2,2,2,4,2
153,2,27,"tab",3,2,2,2,4,19
154,2,27,"tab",3,2,2,2,4,19
155,2,27,"tab",3,2,2,2,2,19
156,2,27,"tab",3,2,2,2,2,19
157,2,27,"tab",3,2,2,2,2,19
158,2,27,"tab",3,2,2,2,2,19
159,2,27,"tab",3,2,2,2,2,19
160,2,27,"tab",3,2,3,2,3,2
161,2,27,"tab",3,2,2,2,3,2
162,2,27,"tab",3,2,3,2,3,2
163,2,27,"tab",3,2,2,2,2,19
164,2,27,"tab",3,2,3,2,3,2
165,2,27,"tab",3,2,3,2,3,2
166,2,27,"tab",3,2,3,2,3,2
167,2,27,"tab",3,2,2,2,2,19
168,3,27,"tab",2,1,5,5,21,3
169,3,27,"tab",2,1,5,5,21,3
170,3,27,"tab",2,1,5,5,21,3
171,3,27,"tab",2,1,5,5,21,3
172,3,27,"tab",2,1,5,5,21,3
173,3,27,"tab",2,1,5,5,21,3
174,3,27,"tab",2,1,5,5,21,3
175,3,27,"tab",2,1,5,5,21,3
176,3,27,"tab",2,1,5,5,21,3
177,3,27,"tab",2,1,5,5,21,3
178,3,27,"tab",2,1,5,5,21,3
179,3,27,"tab",2,1,5,5,21,3
180,3,27,"tab",2,1,5,5,21,3
181,3,27,"tab",2,1,5,5,21,3
182,3,27,"tab",2,1,5,5,21,3
183,3,27,"tab",2,1,5,5,21,3
184,3,27,"tab",2,1,5,5,21,3
185,3,27,"tab",2,1,5,5,21,3
186,3,27,"tab",2,1,5,5,21,3
187,3,27,"tab",2,1,5,5,21,3
188,3,27,"tab",2,1,5,5,21,3
189,3,27,"tab",2,1,5,5,21,3
190,3,27,"tab",2,1,5,5,21,3
191,3,27,"tab",2,1,5,5,21,3
192,3,27,"tab",2,1,5,5,21,3
193,3,27,"tab",2,1,5,5,21,3
194,3,27,"tab",2,1,5,5,21,3
195,3,27,"tab",2,1,5,5,21,3
196,3,27,"tab",2,1,5,5,21,3
197,3,27,"tab",2,1,5,5,21,3
198,3,27,"tab",2,1,5,5,21,3
199,3,27,"tab",2,1,5,5,21,3
200,3,27,"tab",2,1,5,5,21,3
201,3,27,"tab",2,1,5,5,21,3
202,3,27,"tab",2,1,5,5,21,3
203,3,27,"tab",2,1,5,5,21,3
204,3,27,"tab",2,1,5,5,21,3
205,3,27,"tab",2,1,5,5,21,3
206,3,27,"tab",2,1,5,5,21,3
207,3,27,"tab",2,1,5,5,21,3
208,3,27,"tab",2,1,5,5,21,3
209,3,27,"tab",2,1,5,5,21,3
210,3,27,"tab",2,1,5,5,21,3
211,3,27,"tab",2,1,5,5,21,3
212,3,27,"tab",2,1,5,5,21,3
213,3,27,"tab",2,1,5,5,21,3
214,3,27,"tab",2,1,5,5,21,3
215,3,27,"tab",2,1,5,5,21,3
216,3,27,"tab",2,1,5,5,21,3
217,3,27,"tab",2,1,5,5,21,3
218,3,27,"tab",2,1,5,5,21,3
219,3,27,"tab",2,1,5,5,21,3
220,3,27,"tab",2,1,5,5,21,3
221,3,27,"tab",2,1,5,5,21,3
222,3,27,"tab",2,1,5,5,21,3
223,3,27,"tab",2,1,5,5,21,3
