seccion,munn,edon,edo,disfed1979,disfed1997,disfed2006,disfed2018,disloc2007,disloc2016
1,1,30,ver,5,9,9,9,10,1
2,1,30,ver,5,9,9,9,10,1
3,1,30,ver,5,9,9,9,10,1
4,1,30,ver,5,9,9,9,10,1
5,2,30,ver,6,8,8,8,10,2
6,2,30,ver,6,8,8,8,10,2
7,3,30,ver,13,20,20,17,10,3
8,3,30,ver,13,20,20,17,20,3
9,3,30,ver,13,20,20,17,,3
10,3,30,ver,13,20,20,17,10,3
11,3,30,ver,13,20,20,17,10,3
12,3,30,ver,13,20,20,17,10,3
13,3,30,ver,13,20,20,17,10,3
14,3,30,ver,13,20,20,17,10,3
15,3,30,ver,13,20,20,17,8,3
16,3,30,ver,13,20,20,17,12,3
17,3,30,ver,13,20,20,17,10,3
18,3,30,ver,13,20,20,17,10,3
19,3,30,ver,13,20,20,17,10,3
20,3,30,ver,13,20,20,17,10,3
21,3,30,ver,13,20,20,17,10,3
22,3,30,ver,13,20,20,17,10,3
23,3,30,ver,13,20,20,17,8,3
24,3,30,ver,13,20,20,17,10,3
25,3,30,ver,13,20,20,17,10,3
26,3,30,ver,13,20,20,17,10,3
27,3,30,ver,13,20,20,17,10,3
28,3,30,ver,13,20,20,17,12,3
29,3,30,ver,13,20,20,17,10,3
30,3,30,ver,13,20,20,17,10,3
31,3,30,ver,13,20,20,17,10,3
32,3,30,ver,13,20,20,17,10,3
33,3,30,ver,13,20,20,17,10,3
34,3,30,ver,13,20,20,17,10,3
35,3,30,ver,13,20,20,17,,3
36,3,30,ver,13,20,20,17,10,3
37,3,30,ver,13,20,20,17,10,3
38,3,30,ver,13,20,20,17,28,3
39,3,30,ver,13,20,20,17,28,3
40,3,30,ver,13,20,20,17,10,3
41,3,30,ver,13,20,20,17,10,3
42,3,30,ver,13,20,20,17,10,3
43,3,30,ver,13,20,20,17,10,3
44,3,30,ver,13,20,20,17,10,3
45,3,30,ver,13,20,20,17,10,3
46,3,30,ver,13,20,20,17,10,3
