"seccion","munn","edon","edo","disfed1994","disfed1997","disfed2006","disfed2018","disloc2018","disloc2013"
1,1,32,"zac",3,5,2,2,7,14
2,1,32,"zac",3,5,2,2,7,14
3,1,32,"zac",3,5,2,2,7,14
4,1,32,"zac",3,5,2,2,7,14
5,1,32,"zac",3,5,2,2,7,14
6,1,32,"zac",3,5,2,2,7,14
7,1,32,"zac",3,5,2,2,7,14
8,1,32,"zac",3,5,2,2,7,14
9,1,32,"zac",3,5,2,2,7,14
10,1,32,"zac",3,5,2,2,7,14
11,1,32,"zac",3,5,2,2,7,14
12,1,32,"zac",3,5,2,2,7,14
13,1,32,"zac",3,5,2,2,7,14
14,2,32,"zac",3,5,2,2,2,14
15,2,32,"zac",3,5,2,2,2,14
16,2,32,"zac",3,5,2,2,2,14
17,2,32,"zac",3,5,2,2,2,14
18,2,32,"zac",3,5,2,2,2,14
19,2,32,"zac",3,5,2,2,2,14
20,2,32,"zac",3,5,2,2,2,14
21,2,32,"zac",3,5,2,2,2,14
22,3,32,"zac",3,5,2,2,7,15
23,3,32,"zac",3,5,2,2,7,15
24,3,32,"zac",3,5,2,2,7,15
25,3,32,"zac",3,5,2,2,7,15
26,3,32,"zac",3,5,2,2,7,15
27,3,32,"zac",3,5,2,2,7,15
28,3,32,"zac",3,5,2,2,7,15
29,3,32,"zac",3,5,2,2,7,15
30,3,32,"zac",3,5,2,2,7,15
31,4,32,"zac",3,5,2,2,7,15
32,4,32,"zac",3,5,2,2,7,15
33,4,32,"zac",3,5,2,2,7,15
34,4,32,"zac",3,5,2,2,7,15
35,4,32,"zac",3,5,2,2,7,15
36,4,32,"zac",3,5,2,2,7,15
37,4,32,"zac",3,5,2,2,7,15
38,4,32,"zac",3,5,2,2,7,15
39,4,32,"zac",3,5,2,2,7,15
40,5,32,"zac",2,3,1,1,14,3
41,5,32,"zac",2,3,1,1,14,3
42,5,32,"zac",2,3,1,1,14,3
43,5,32,"zac",2,3,1,1,14,3
44,5,32,"zac",2,3,1,1,14,3
45,5,32,"zac",2,3,1,1,14,3
46,5,32,"zac",2,3,1,1,14,3
47,5,32,"zac",2,3,1,1,14,3
48,5,32,"zac",2,3,1,1,14,3
49,5,32,"zac",2,3,1,1,14,3
50,5,32,"zac",2,3,1,1,14,3
51,5,32,"zac",2,3,1,1,14,3
52,5,32,"zac",2,3,1,1,14,3
53,5,32,"zac",2,3,1,1,14,3
54,5,32,"zac",2,3,1,1,14,3
55,5,32,"zac",2,3,1,1,14,3
56,5,32,"zac",2,3,1,1,14,3
57,5,32,"zac",2,3,1,1,14,3
58,5,32,"zac",2,3,1,1,14,3
59,5,32,"zac",2,3,1,1,14,3
60,5,32,"zac",2,3,1,1,14,3
61,6,32,"zac",4,2,3,1,17,12
62,6,32,"zac",4,2,3,1,17,12
63,6,32,"zac",4,2,3,1,17,12
64,6,32,"zac",4,2,3,1,17,12
65,6,32,"zac",4,2,3,1,17,12
66,6,32,"zac",4,2,3,1,17,12
67,6,32,"zac",4,2,3,1,17,12
68,6,32,"zac",4,2,3,1,17,12
69,6,32,"zac",4,2,3,1,17,12
70,6,32,"zac",4,2,3,1,17,12
71,6,32,"zac",4,2,3,1,17,12
72,6,32,"zac",4,2,3,1,17,12
73,7,32,"zac",4,1,3,3,15,18
74,7,32,"zac",4,1,3,3,15,18
75,7,32,"zac",4,1,3,3,15,18
76,7,32,"zac",4,1,3,3,15,18
77,7,32,"zac",4,1,3,3,15,18
78,7,32,"zac",4,1,3,3,15,18
79,7,32,"zac",4,1,3,3,15,18
80,7,32,"zac",4,1,3,3,15,18
81,7,32,"zac",4,1,3,3,15,18
82,7,32,"zac",4,1,3,3,15,18
83,7,32,"zac",4,1,3,3,15,18
84,7,32,"zac",4,1,3,3,15,18
85,7,32,"zac",4,1,3,3,15,18
86,7,32,"zac",4,1,3,3,15,18
87,7,32,"zac",4,1,3,3,15,18
88,7,32,"zac",4,1,3,3,15,18
89,7,32,"zac",4,1,3,3,15,18
90,7,32,"zac",4,1,3,3,15,18
91,7,32,"zac",4,1,3,3,15,18
92,7,32,"zac",4,1,3,3,15,18
93,7,32,"zac",4,1,3,3,15,18
94,7,32,"zac",4,1,3,3,15,18
95,7,32,"zac",4,1,3,3,15,18
96,7,32,"zac",4,1,3,3,15,18
97,7,32,"zac",4,1,3,3,15,18
98,7,32,"zac",4,1,3,3,15,18
99,7,32,"zac",4,1,3,3,15,18
100,7,32,"zac",4,1,3,3,15,18
101,7,32,"zac",4,1,3,3,15,18
102,7,32,"zac",4,1,3,3,15,18
103,8,32,"zac",5,3,2,2,6,6
104,8,32,"zac",5,3,2,2,6,6
105,8,32,"zac",5,3,2,2,6,6
106,8,32,"zac",5,3,2,2,6,6
107,8,32,"zac",5,3,2,2,6,6
108,8,32,"zac",5,3,2,2,6,6
109,8,32,"zac",5,3,2,2,6,6
110,8,32,"zac",5,3,2,2,6,6
111,8,32,"zac",5,3,2,2,6,6
112,8,32,"zac",5,3,2,2,6,6
113,8,32,"zac",5,3,2,2,6,6
114,9,32,"zac",2,2,1,1,18,16
115,9,32,"zac",2,2,1,1,18,16
116,9,32,"zac",2,2,1,1,18,16
117,9,32,"zac",2,2,1,1,18,16
118,9,32,"zac",2,2,1,1,18,16
119,9,32,"zac",2,2,1,1,18,16
120,9,32,"zac",2,2,1,1,18,16
121,9,32,"zac",2,2,1,1,18,16
122,9,32,"zac",2,2,1,1,18,16
123,9,32,"zac",2,2,1,1,18,16
124,9,32,"zac",2,2,1,1,18,16
125,9,32,"zac",2,2,1,1,18,16
126,9,32,"zac",2,2,1,1,18,16
127,9,32,"zac",2,2,1,1,18,16
128,9,32,"zac",2,2,1,1,18,16
129,9,32,"zac",2,2,1,1,18,16
130,9,32,"zac",2,2,1,1,18,16
131,9,32,"zac",2,2,1,1,18,16
132,9,32,"zac",2,2,1,1,18,16
133,9,32,"zac",2,2,1,1,18,16
134,9,32,"zac",2,2,1,1,18,16
135,10,32,"zac",2,1,1,1,12,11
136,10,32,"zac",2,1,1,1,12,11
137,10,32,"zac",2,1,1,1,10,11
138,10,32,"zac",2,1,1,1,10,8
139,10,32,"zac",2,1,1,1,10,8
140,10,32,"zac",2,1,1,1,10,8
141,10,32,"zac",2,1,1,1,10,8
142,10,32,"zac",2,1,1,1,10,8
143,10,32,"zac",2,1,1,1,10,8
144,10,32,"zac",2,1,1,1,10,8
145,10,32,"zac",2,1,1,1,10,8
146,10,32,"zac",2,1,1,1,10,11
147,10,32,"zac",2,1,1,1,10,11
148,10,32,"zac",2,1,1,1,12,11
149,10,32,"zac",2,1,1,1,11,11
150,10,32,"zac",2,1,1,1,11,11
151,10,32,"zac",2,1,1,1,11,11
152,10,32,"zac",2,1,1,1,11,8
153,10,32,"zac",2,1,1,1,10,8
154,10,32,"zac",2,1,1,1,10,8
155,10,32,"zac",2,1,1,1,10,8
156,10,32,"zac",2,1,1,1,11,8
157,10,32,"zac",2,1,1,1,10,8
158,10,32,"zac",2,1,1,1,11,8
159,10,32,"zac",2,1,1,1,11,11
160,10,32,"zac",2,1,1,1,11,11
161,10,32,"zac",2,1,1,1,11,11
162,10,32,"zac",2,1,1,1,11,11
163,10,32,"zac",2,1,1,1,12,11
164,10,32,"zac",2,1,1,1,11,11
165,10,32,"zac",2,1,1,1,11,11
166,10,32,"zac",2,1,1,1,11,11
167,10,32,"zac",2,1,1,1,11,8
168,10,32,"zac",2,1,1,1,11,8
169,10,32,"zac",2,1,1,1,11,8
170,10,32,"zac",2,1,1,1,11,8
171,10,32,"zac",2,1,1,1,11,8
172,10,32,"zac",2,1,1,1,11,8
173,10,32,"zac",2,1,1,1,11,8
174,10,32,"zac",2,1,1,1,11,8
175,10,32,"zac",2,1,1,1,11,8
176,10,32,"zac",2,1,1,1,11,8
177,10,32,"zac",2,1,1,1,11,11
178,10,32,"zac",2,1,1,1,11,11
179,10,32,"zac",2,1,1,1,11,11
180,10,32,"zac",2,1,1,1,11,11
181,10,32,"zac",2,1,1,1,11,11
182,10,32,"zac",2,1,1,1,11,11
183,10,32,"zac",2,1,1,1,11,11
184,10,32,"zac",2,1,1,1,11,8
185,10,32,"zac",2,1,1,1,11,8
186,10,32,"zac",2,1,1,1,11,8
187,10,32,"zac",2,1,1,1,11,8
188,10,32,"zac",2,1,1,1,11,8
189,10,32,"zac",2,1,1,1,11,8
190,10,32,"zac",2,1,1,1,11,8
191,10,32,"zac",2,1,1,1,11,8
192,10,32,"zac",2,1,1,1,11,8
193,10,32,"zac",2,1,1,1,11,8
194,10,32,"zac",2,1,1,1,11,8
195,10,32,"zac",2,1,1,1,11,8
196,10,32,"zac",2,1,1,1,11,8
197,10,32,"zac",2,1,1,1,11,8
198,10,32,"zac",2,1,1,1,11,8
199,10,32,"zac",2,1,1,1,11,8
200,10,32,"zac",2,1,1,1,11,8
201,10,32,"zac",2,1,1,1,11,8
202,10,32,"zac",2,1,1,1,11,8
203,10,32,"zac",2,1,1,1,11,11
204,10,32,"zac",2,1,1,1,11,11
205,10,32,"zac",2,1,1,1,11,11
206,10,32,"zac",2,1,1,1,11,11
207,10,32,"zac",2,1,1,1,11,11
208,10,32,"zac",2,1,1,1,11,11
209,10,32,"zac",2,1,1,1,11,11
210,10,32,"zac",2,1,1,1,11,11
211,10,32,"zac",2,1,1,1,11,11
212,10,32,"zac",2,1,1,1,12,11
213,10,32,"zac",2,1,1,1,11,11
214,10,32,"zac",2,1,1,1,11,11
215,10,32,"zac",2,1,1,1,11,11
216,10,32,"zac",2,1,1,1,11,11
217,10,32,"zac",2,1,1,1,11,8
218,10,32,"zac",2,1,1,1,10,11
219,10,32,"zac",2,1,1,1,10,11
220,10,32,"zac",2,1,1,1,10,11
221,10,32,"zac",2,1,1,1,10,11
222,10,32,"zac",2,1,1,1,10,11
223,10,32,"zac",2,1,1,1,10,11
224,10,32,"zac",2,1,1,1,10,11
225,10,32,"zac",2,1,1,1,10,11
226,10,32,"zac",2,1,1,1,10,11
227,10,32,"zac",2,1,1,1,10,11
228,10,32,"zac",2,1,1,1,10,11
229,10,32,"zac",2,1,1,1,10,11
230,10,32,"zac",2,1,1,1,10,11
231,10,32,"zac",2,1,1,1,10,11
232,10,32,"zac",2,1,1,1,10,11
233,10,32,"zac",2,1,1,1,12,11
234,10,32,"zac",2,1,1,1,12,11
235,10,32,"zac",2,1,1,1,12,11
236,10,32,"zac",2,1,1,1,12,11
237,10,32,"zac",2,1,1,1,12,11
238,10,32,"zac",2,1,1,1,12,11
239,10,32,"zac",2,1,1,1,12,11
240,10,32,"zac",2,1,1,1,12,11
241,10,32,"zac",2,1,1,1,12,11
242,10,32,"zac",2,1,1,1,10,11
243,10,32,"zac",2,1,1,1,10,11
244,10,32,"zac",2,1,1,1,10,11
245,10,32,"zac",2,1,1,1,10,11
246,10,32,"zac",2,1,1,1,10,11
247,10,32,"zac",2,1,1,1,10,11
248,10,32,"zac",2,1,1,1,10,11
249,10,32,"zac",2,1,1,1,10,11
250,10,32,"zac",2,1,1,1,10,11
251,10,32,"zac",2,1,1,1,10,11
252,10,32,"zac",2,1,1,1,10,11
253,10,32,"zac",2,1,1,1,12,11
254,10,32,"zac",2,1,1,1,12,11
255,10,32,"zac",2,1,1,1,12,11
256,10,32,"zac",2,1,1,1,12,11
257,10,32,"zac",2,1,1,1,12,8
258,10,32,"zac",2,1,1,1,12,8
259,10,32,"zac",2,1,1,1,12,8
260,10,32,"zac",2,1,1,1,12,8
261,10,32,"zac",2,1,1,1,10,11
262,10,32,"zac",2,1,1,1,10,11
263,10,32,"zac",2,1,1,1,12,11
264,10,32,"zac",2,1,1,1,12,11
265,10,32,"zac",2,1,1,1,10,11
266,10,32,"zac",2,1,1,1,10,11
267,10,32,"zac",2,1,1,1,12,11
268,10,32,"zac",2,1,1,1,10,11
269,10,32,"zac",2,1,1,1,10,11
270,10,32,"zac",2,1,1,1,10,11
271,10,32,"zac",2,1,1,1,10,11
272,10,32,"zac",2,1,1,1,10,11
273,10,32,"zac",2,1,1,1,10,11
274,10,32,"zac",2,1,1,1,10,11
275,10,32,"zac",2,1,1,1,10,8
276,10,32,"zac",2,1,1,1,10,8
277,10,32,"zac",2,1,1,1,10,8
278,10,32,"zac",2,1,1,1,10,8
279,10,32,"zac",2,1,1,1,12,8
280,10,32,"zac",2,1,1,1,12,8
281,10,32,"zac",2,1,1,1,12,11
282,10,32,"zac",2,1,1,1,12,8
283,10,32,"zac",2,1,1,1,12,8
284,10,32,"zac",2,1,1,1,12,8
