Entidad|Distrito|Distrito_nuevo|Municipio|MUNICIPIO_VIRTUAL|Seccion|SECCION_VIRTUAL
23|1|3|1||1|
23|1|3|1||2|
23|1|3|1||3|
23|1|2|1||4|
23|1|2|1||5|
23|1|2|1||6|
23|1|2|1||7|
23|1|2|1||8|
23|1|2|1||9|
23|1|2|1||10|
23|1|3|1||11|
23|1|2|1||12|
23|1|2|1||13|
23|1|2|1||14|
23|1|2|1||15|
23|1|2|1||16|
23|1|2|1||17|
23|1|3|1||18|
23|1|3|1||19|
23|1|3|1||20|
23|1|3|1||21|
23|1|3|1||22|
23|1|3|1||23|
23|1|3|1||24|
23|1|3|1||25|
23|1|3|1||26|
23|1|3|1||27|
23|1|3|1||28|
23|1|3|1||29|
23|1|3|1||30|
23|1|3|1||31|
23|1|3|1||32|
23|1|2|1||33|
23|1|2|1||34|
23|1|2|1||35|
23|1|2|1||36|
23|1|2|1||37|
23|1|2|1||38|
23|1|2|1||39|
23|1|2|1||40|
23|1|3|1||41|
23|1|3|1||42|
23|1|3|1||43|
23|1|3|1||44|
23|1|3|1||45|
23|1|3|1||46|
23|1|2|1||47|
23|1|2|1||48|
23|1|2|1||49|
23|1|2|1||50|
23|1|2|1||51|
23|1|2|1||52|
23|1|2|1||53|
23|1|2|1||54|
23|1|3|1||55|
23|1|3|1||56|
23|1|3|1||57|
23|1|3|1||58|
23|1|3|1||59|
23|1|3|1||60|
23|1|3|1||61|
23|1|3|1||62|
23|1|3|1||63|
23|1|3|1||64|
23|1|3|1||65|
23|1|3|1||66|
23|1|3|1||67|
23|1|3|1||68|
23|1|3|1||69|
23|1|2|1||70|
23|1|2|1||71|
23|1|2|1||72|
23|1|3|1||73|
23|1|3|1||74|
23|1|3|1||75|
23|1|3|1||76|
23|1|3|1||77|
23|1|3|1||78|
23|1|3|1||79|
23|1|3|1||80|
23|1|3|1||81|
23|1|3|1||82|
23|1|3|1||83|
23|1|3|1||84|
23|1|2|1||85|
23|1|2|1||86|
23|1|2|1||87|
23|1|2|1||88|
23|1|2|1||89|
23|1|2|1||90|
23|1|2|1||91|
23|1|2|1||92|
23|1|2|1||93|
23|1|2|1||94|
23|1|2|1||95|
23|1|2|1||96|
23|1|2|1||97|
23|1|3|1||98|
23|1|3|1||99|
23|1|3|1||100|
23|1|3|1||101|
23|1|3|1||102|
23|1|3|1||103|
23|1|3|1||104|
23|1|3|1||105|
23|1|3|1||106|
23|1|3|1||107|
23|1|3|1||108|
23|1|3|1||109|
23|1|3|1||110|
23|1|2|1||111|
23|1|2|1||112|
23|1|2|1||113|
23|1|2|1||114|
23|1|2|1||115|
23|1|2|1||116|
23|1|2|1||117|
23|1|2|1||118|
23|1|2|1||119|
23|1|2|1||120|
23|1|2|1||121|
23|1|3|1||122|
23|1|3|1||123|
23|1|3|1||124|
23|1|3|1||125|
23|1|3|1||126|
23|1|3|1||127|
23|1|3|1||128|
23|1|3|1||129|
23|1|3|1||130|
23|1|3|1||131|
23|1|3|1||132|
23|1|3|1||133|
23|1|3|1||134|
23|1|2|1||135|
23|1|2|1||136|
23|1|2|1||137|
23|1|3|1||138|
23|1|3|1||139|
23|1|3|1||140|
23|1|3|1||141|
23|1|3|1||142|
23|1|3|1||143|
23|1|2|1||144|
23|1|3|1||145|
23|1|3|1||146|
23|1|3|1||147|
23|1|3|1||148|
23|1|3|1||149|
23|1|3|1||150|
23|1|3|1||151|
