EDO;DTO;POB00;FACT
 9 ;01;360478;13.10
 9 ;02;319174;.14
 9 ;03;318477;-.07
 9 ;04;319612;.28
 9 ;05;319438;.23
 9 ;06;320985;.71
 9 ;07;309309;-2.95
 9 ;08;309828;-2.79
 9 ;09;309697;-2.83
 9 ;10;306708;-3.77
 9 ;11;298889;-6.22
 9 ;12;333863;4.75
 9 ;13;333486;4.64
 9 ;14;319870;.36
 9 ;15;295119;-7.40
 9 ;16;323061;1.36
 9 ;17;310576;-2.55
 9 ;18;322508;1.19
 9 ;19;337410;5.87
 9 ;20;357761;12.25
 9 ;21;365639;14.72
 9 ;22;292620;-8.19
 9 ;23;293964;-7.77
 9 ;24;352640;10.65
 9 ;25;293263;-7.99
 9 ;26;290206;-8.94
 9 ;27;290658;-8.80
