EDO;DTO;MPO;NOMBRE;FCTMPAL;POB00
 20 ; 1 ; 9 ;ASUNCION TLACOLULITA;0.00296; 918 
 20 ; 1 ; 14 ;CANDELARIA LOXICHA;0.03088; 9566 
 20 ; 1 ; 59 ;MIAHUATLAN DE PORFIRIO DIAZ;0.10508; 32555 
 20 ; 1 ; 61 ;MONJAS;0.00772; 2392 
 20 ; 1 ; 64 ;NEJAPA DE MADERO;0.02455; 7607 
 20 ; 1 ; 70 ;PLUMA HIDALGO;0.01236; 3828 
 20 ; 1 ; 82 ;SAN AGUSTIN LOXICHA;0.07261; 22495 
 20 ; 1 ; 92 ;SAN ANDRES PAXTLAN;0.01202; 3723 
 20 ; 1 ; 110 ;SAN BALTAZAR LOXICHA;0.00927; 2873 
 20 ; 1 ; 114 ;SAN BARTOLO YAUTEPEC;0.00243; 752 
 20 ; 1 ; 116 ;SAN BARTOLOME LOXICHA;0.00811; 2512 
 20 ; 1 ; 122 ;SAN CARLOS YAUTEPEC;0.03512; 10882 
 20 ; 1 ; 123 ;SAN CRISTOBAL AMATLAN;0.01367; 4236 
 20 ; 1 ; 143 ;SAN FRANCISCO LOGUECHE;0.00603; 1868 
 20 ; 1 ; 145 ;SAN FRANCISCO OZOLOTEPEC;0.00643; 1991 
 20 ; 1 ; 151 ;SAN ILDEFONSO AMATLAN;0.00626; 1938 
 20 ; 1 ; 165 ;SAN JOSE DEL PE\ASCO;0.00611; 1892 
 20 ; 1 ; 168 ;SAN JOSE LACHIGUIRI;0.01017; 3151 
 20 ; 1 ; 205 ;SAN JUAN LAJARCIA;0.00218; 675 
 20 ; 1 ; 209 ;SAN JUAN MIXTEPEC;0.00301; 932 
 20 ; 1 ; 211 ;SAN JUAN OZOLOTEPEC;0.01009; 3125 
 20 ; 1 ; 235 ;SAN LUIS AMATLAN;0.01168; 3618 
 20 ; 1 ; 236 ;SAN MARCIAL OZOLOTEPEC;0.00562; 1741 
 20 ; 1 ; 251 ;SAN MATEO PI\AS;0.01339; 4148 
 20 ; 1 ; 252 ;SAN MATEO RIO HONDO;0.01128; 3495 
 20 ; 1 ; 264 ;SAN MIGUEL COATLAN;0.01012; 3134 
 20 ; 1 ; 265 ;SAN MIGUEL DEL PUERTO;0.02771; 8584 
