edon,seccion,munn,escenario1,morena_clv1,pan_clv1,pri_clv1,pvem_clv1,escenario2,mc_clv2,morena_clv2,pan_clv2,prd_cnv2,pri_clv2,pri_cnv2,pvem_clv2,pvem_cnv2,escenario3_derfe,escenario3
14,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,2,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,3,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,4,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,5,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,6,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,7,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,8,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,9,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,10,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,11,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,12,1,1,1,1,1,1,1,1,1,1,1,1,19,1,15,1,1
14,13,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,14,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,15,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,16,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,17,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,18,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,19,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,20,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,21,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,22,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,23,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2
14,24,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,25,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,26,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,27,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,28,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,29,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,30,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,31,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,32,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,33,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,34,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,35,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
14,36,4,3,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4
14,37,4,3,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4
14,38,4,3,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4
14,39,4,3,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4
