edon,seccion,munn,escenario1,panal_clv1,pan_clv1,pes_clv1,pri_clv1,pt_clv1,pvem_clv1,escenario2,mc_clv2,panal_clv2,pan_clv2,pes_clv2,prd_clv2,pri_clv2,pt_clv2,pvem_clv2,escenario3
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,31,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,32,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,37,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,38,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,39,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,40,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,41,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
26,42,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
26,43,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
26,44,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
26,45,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
26,46,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,47,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,48,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,49,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,50,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,51,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,52,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,53,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,54,10,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
26,55,10,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
26,56,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,57,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,58,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,59,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,60,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,61,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,62,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,63,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
