edon,seccion,munn,escenario1,escenario2,escenario3,morena_clv,pan_clv1,prd_clv1,pri_clv1,pt_iee1,panal_cnv2,pan_clv2,pvem_clv2
11,1000,17,14,13,14,14,13,13,14,13,13,14,14
11,1001,17,14,13,14,14,13,13,14,13,13,14,14
11,100,2,8,1,2,2,1,8,9,2,1,2,2
11,1002,17,14,13,14,14,13,13,14,13,13,14,14
11,1003,17,14,13,14,14,13,13,14,13,13,14,14
11,1004,17,14,13,14,14,13,13,14,13,13,14,14
11,1005,17,14,13,14,14,13,13,14,13,13,14,14
11,1006,17,13,14,13,13,14,14,13,14,14,13,13
11,1007,17,13,14,13,13,14,14,13,14,14,13,13
11,1008,17,13,14,13,13,14,14,13,14,14,13,13
11,1009,17,14,13,14,13,13,13,13,14,13,14,14
11,10,1,4,6,1,1,6,2,2,4,6,1,1
11,1010,17,14,13,14,13,13,13,13,14,13,14,14
11,1011,17,14,13,14,13,13,13,13,14,13,14,14
11,101,2,8,1,2,2,1,8,9,2,1,2,2
11,1012,17,14,13,14,13,13,13,13,14,13,14,14
11,1013,17,14,13,14,13,13,13,14,13,13,14,14
11,1014,17,14,13,14,14,13,13,14,13,13,14,14
11,1015,17,14,13,14,14,13,13,14,13,13,14,14
11,1016,17,14,13,14,14,13,13,14,13,13,14,14
11,1017,17,14,13,14,14,13,13,14,13,13,14,14
11,1018,17,14,13,14,13,13,13,13,14,13,14,14
11,1019,17,14,13,14,13,13,13,13,14,13,14,14
11,1020,17,14,13,14,13,13,13,13,14,13,14,14
11,1021,17,14,13,14,13,13,13,13,14,13,14,14
11,102,2,8,1,2,2,1,8,9,2,1,2,2
11,1022,17,14,13,14,13,13,13,13,14,13,14,14
11,1023,17,14,13,14,13,13,13,13,14,13,14,14
11,1024,17,14,13,14,14,13,13,14,13,13,14,14
11,1025,17,14,13,14,14,13,13,13,14,13,14,14
11,1026,17,14,13,14,14,13,13,13,14,13,14,14
11,1027,17,14,13,14,14,13,13,13,14,13,14,14
11,1028,17,14,13,14,14,13,13,14,13,13,14,14
11,1029,17,14,13,14,14,13,13,14,13,13,14,14
11,1030,17,14,13,14,14,13,13,14,13,13,14,14
11,1031,17,14,13,14,14,13,13,14,13,13,14,14
11,103,2,8,1,2,2,1,8,9,2,1,2,2
11,1032,17,14,13,14,14,13,13,14,13,13,14,14
11,1033,17,14,13,14,14,13,13,14,13,13,14,14
11,1034,17,14,13,14,14,13,13,14,13,13,14,14
11,1035,17,14,13,14,13,13,13,13,14,13,14,14
11,1036,17,13,14,13,13,14,14,13,14,14,13,13
11,1037,17,13,14,13,13,14,14,13,14,14,13,13
11,1038,17,14,13,14,13,13,13,13,14,13,14,14
11,1039,17,14,13,14,13,13,13,13,14,13,14,14
11,1040,17,14,13,14,13,13,13,13,14,13,14,14
11,1041,17,14,13,14,13,13,13,13,14,13,14,14
11,104,2,8,1,2,2,1,8,9,2,1,2,2
11,1042,17,14,13,14,13,13,13,13,14,13,14,14
11,1043,17,14,13,14,14,13,13,14,13,13,14,14
11,1044,17,14,13,14,14,13,13,14,13,13,14,14
11,1045,17,14,13,14,14,13,13,14,13,13,14,14
11,1046,17,14,13,14,14,13,13,14,13,13,14,14
11,1047,17,14,13,14,14,13,13,14,13,13,14,14
11,1048,17,14,13,14,14,13,13,13,14,13,14,14
11,1049,17,14,13,14,14,13,13,13,14,13,14,14
11,1050,17,14,13,14,14,13,13,13,14,13,14,14
11,1051,17,14,13,14,13,13,13,13,14,13,14,14
11,105,2,8,1,2,2,1,8,9,2,1,2,2
11,1052,17,14,13,14,13,13,13,13,14,13,14,14
11,1053,17,14,13,14,13,13,13,13,14,13,14,14
11,1054,17,14,13,14,13,13,13,13,14,13,14,14
11,1055,17,14,13,14,14,13,13,13,14,13,14,14
11,1056,17,14,13,14,14,13,13,13,14,13,14,14
11,1057,17,14,13,14,14,13,13,13,14,13,14,14
11,1058,17,14,13,14,14,13,13,13,14,13,14,14
11,1059,17,14,13,14,14,13,13,13,14,13,14,14
11,1060,17,14,13,14,14,13,13,13,14,13,14,14
11,1061,17,14,13,14,14,13,13,13,14,13,14,14
11,106,2,8,1,2,2,1,8,9,2,1,2,2
11,1062,17,14,13,14,14,13,13,13,14,13,14,14
11,1063,17,14,13,14,14,13,13,13,14,13,14,14
11,1064,17,14,13,14,13,13,13,13,14,13,14,14
11,1065,17,14,13,14,13,13,13,13,14,13,14,14
11,1066,17,14,13,14,13,13,13,13,14,13,14,14
11,1067,17,14,13,14,13,13,13,13,14,13,14,14
11,1068,17,14,13,14,13,13,13,13,14,13,14,14
11,1069,17,14,13,14,13,13,13,13,14,13,14,14
11,1070,17,14,13,14,14,13,13,13,14,13,14,14
11,1071,17,14,13,14,14,13,13,13,14,13,14,14
11,107,2,8,1,2,2,1,8,9,2,1,2,2
11,1072,17,14,13,14,14,13,13,13,14,13,14,14
11,1073,17,14,13,14,14,13,13,13,14,13,14,14
11,1074,17,14,13,14,13,13,13,13,14,13,14,14
11,1075,17,14,13,14,13,13,13,13,14,13,14,14
11,1076,17,14,13,14,13,13,13,13,14,13,14,14
