edon,seccion,munn,escenario1,escenario2,escenario3,panal_cnv1,pan_clv1,pan_clv2,prd_clv2,prd_iee2
21,1000,115,26,26,26,26,26,26,26,26
21,100,10,18,19,19,18,19,19,19,19
21,1001,115,26,26,26,26,26,26,26,26
21,1002,115,26,26,26,26,26,26,26,26
21,1003,115,26,26,26,26,26,26,26,26
21,1004,115,22,20,20,20,20,20,20,20
21,1005,115,22,20,20,20,20,20,20,20
21,1006,115,22,20,20,20,20,20,20,20
21,1007,115,22,20,20,20,20,20,20,20
21,1008,115,22,20,20,20,20,20,20,20
21,1009,115,22,20,20,20,20,20,20,20
21,10,1,12,1,1,1,1,1,1,1
21,1010,115,22,20,20,20,20,20,20,20
21,101,10,18,19,19,18,19,19,19,19
21,1011,115,22,20,20,20,20,20,20,20
21,1012,115,26,26,26,26,26,26,26,26
21,1013,115,26,26,26,26,26,26,26,26
21,1014,115,26,26,26,26,26,26,26,26
21,1015,115,26,26,26,26,26,26,26,26
21,1016,115,26,26,26,26,26,26,26,26
21,1017,115,26,26,26,26,26,26,26,26
21,1018,115,26,26,26,26,26,26,26,26
21,1019,115,26,26,26,26,26,26,26,26
21,1020,115,26,26,26,26,26,26,26,26
21,102,11,3,5,5,5,5,5,5,5
21,1021,115,26,26,26,26,26,26,26,26
21,1022,115,26,26,26,26,26,26,26,26
21,1023,115,26,26,26,26,26,26,26,26
21,1024,115,26,26,26,26,26,26,26,26
21,1025,115,26,26,26,26,26,26,26,26
21,1026,115,26,26,26,26,26,26,26,26
21,1027,115,22,20,20,20,20,20,20,20
21,1028,115,22,20,20,20,20,20,20,20
21,1029,115,22,20,20,20,20,20,20,20
21,1030,115,22,20,20,20,20,20,20,20
21,1031,115,22,20,20,20,20,20,20,20
21,103,12,10,8,8,7,8,8,8,8
21,1032,115,22,20,20,20,20,20,20,20
21,1033,115,22,20,20,20,20,20,20,20
21,1034,115,26,26,26,26,26,26,26,26
21,1035,115,26,26,26,26,26,26,26,26
21,1036,115,26,26,26,26,26,26,26,26
21,1037,115,26,26,26,26,26,26,26,26
21,1038,115,26,26,26,26,26,26,26,26
21,1039,115,26,26,26,26,26,26,26,26
21,1040,115,26,26,26,26,26,26,26,26
21,1041,115,24,24,24,24,24,24,24,24
21,104,12,10,8,8,7,8,8,8,8
21,1042,115,24,24,24,24,24,24,24,24
21,1043,115,24,24,24,24,24,24,24,24
21,1044,115,22,20,20,20,20,20,20,20
21,1045,115,22,20,20,20,20,20,20,20
21,1046,115,22,20,20,20,20,20,20,20
21,1047,115,22,20,20,20,20,20,20,20
21,1048,115,22,20,20,20,20,20,20,20
21,1049,115,22,20,20,20,20,20,20,20
21,1050,115,22,20,20,20,20,20,20,20
21,1051,115,22,20,20,20,20,20,20,20
21,105,12,10,8,8,7,8,8,8,8
21,1052,115,22,20,20,20,20,20,20,20
21,1053,115,22,20,20,20,20,20,20,20
21,1054,115,24,24,24,24,24,24,24,24
21,1055,115,22,20,20,20,20,20,20,20
21,1056,115,22,20,20,20,20,20,20,20
21,1057,115,22,20,20,20,20,20,20,20
21,1058,115,22,20,20,20,20,20,20,20
21,1059,115,22,20,20,20,20,20,20,20
21,1060,115,22,20,20,20,20,20,20,20
21,1061,115,22,20,20,20,20,20,20,20
21,106,12,10,8,8,7,8,8,8,8
21,1062,115,22,20,20,20,20,20,20,20
21,1063,115,24,24,24,24,24,24,24,24
21,1064,115,24,24,24,24,24,24,24,24
21,1065,115,24,24,24,24,24,24,24,24
21,1066,115,24,24,24,24,24,24,24,24
21,1067,115,24,24,24,24,24,24,24,24
21,1068,115,24,24,24,24,24,24,24,24
21,1069,115,22,20,20,20,20,20,20,20
21,1070,115,22,20,20,20,20,20,20,20
21,1071,115,22,20,20,20,20,20,20,20
21,107,13,18,19,19,18,19,19,19,19
21,1072,115,24,24,24,24,24,24,24,24
21,1073,115,24,24,24,24,24,24,24,24
21,1074,115,24,24,24,24,24,24,24,24
21,1075,115,24,24,24,24,24,24,24,24
21,1076,115,24,24,24,24,24,24,24,24
21,1077,115,24,24,24,24,24,24,24,24
21,1078,115,24,24,24,24,24,24,24,24
21,1079,115,22,20,20,20,20,20,20,20
21,1080,115,26,26,26,26,26,26,26,26
21,1081,115,26,26,26,26,26,26,26,26
21,108,13,18,19,19,18,19,19,19,19
21,1082,115,26,26,26,26,26,26,26,26
21,1083,115,26,26,26,26,26,26,26,26
21,1084,115,26,26,26,26,26,26,26,26
21,1085,115,26,26,26,26,26,26,26,26
21,1086,115,26,26,26,26,26,26,26,26
21,1087,115,26,26,26,26,26,26,26,26
21,1088,115,26,26,26,26,26,26,26,26
21,1089,115,26,26,26,26,26,26,26,26
21,1090,115,26,26,26,26,26,26,26,26
21,1091,115,26,26,26,26,26,26,26,26
21,109,13,18,19,19,18,19,19,19,19
21,1092,115,22,20,20,20,20,20,20,20
21,1093,115,22,20,20,20,20,20,20,20
21,1094,115,22,20,20,20,20,20,20,20
21,1095,115,22,20,20,20,20,20,20,20
21,1096,115,22,20,20,20,20,20,20,20
21,1097,115,26,26,26,26,26,26,26,26
21,1098,115,26,26,26,26,26,26,26,26
21,1099,115,26,26,26,26,26,26,26,26
21,1,1,12,1,1,1,1,1,1,1
21,1100,115,26,26,26,26,26,26,26,26
21,1101,115,26,26,26,26,26,26,26,26
21,110,13,18,19,19,18,19,19,19,19
21,1102,115,26,26,26,26,26,26,26,26
21,1103,115,26,26,26,26,26,26,26,26
21,1104,115,26,26,26,26,26,26,26,26
21,1105,115,26,26,26,26,26,26,26,26
21,1106,115,26,26,26,26,26,26,26,26
21,1107,115,26,26,26,26,26,26,26,26
21,1108,115,26,26,26,26,26,26,26,26
21,1109,115,26,26,26,26,26,26,26,26
21,11,1,12,1,1,1,1,1,1,1
21,1110,115,26,26,26,26,26,26,26,26
21,1111,115,26,26,26,26,26,26,26,26
21,111,13,18,19,19,18,19,19,19,19
21,1112,115,26,26,26,26,26,26,26,26
21,1113,115,26,26,26,26,26,26,26,26
21,1114,115,26,26,26,26,26,26,26,26
21,1115,115,26,26,26,26,26,26,26,26
21,1116,115,26,26,26,26,26,26,26,26
21,1117,115,26,26,26,26,26,26,26,26
21,1118,115,26,26,26,26,26,26,26,26
21,1119,115,26,26,26,26,26,26,26,26
21,1120,115,26,26,26,26,26,26,26,26
21,1121,115,26,26,26,26,26,26,26,26
21,112,13,18,19,19,18,19,19,19,19
21,1122,115,26,26,26,26,26,26,26,26
21,1123,115,26,26,26,26,26,26,26,26
21,1124,115,26,26,26,26,26,26,26,26
21,1125,115,26,26,26,26,26,26,26,26
21,1126,115,26,26,26,26,26,26,26,26
21,1127,115,26,26,26,26,26,26,26,26
21,1128,115,22,20,20,20,20,20,20,20
21,1129,115,26,26,26,26,26,26,26,26
21,1130,115,26,26,26,26,26,26,26,26
21,1131,115,26,26,26,26,26,26,26,26
21,113,14,19,6,6,19,6,6,6,6
21,1132,115,26,26,26,26,26,26,26,26
21,1133,115,26,26,26,26,26,26,26,26
21,1134,115,26,26,26,26,26,26,26,26
21,1135,115,26,26,26,26,26,26,26,26
21,1136,115,26,26,26,26,26,26,26,26
21,1137,115,26,26,26,26,26,26,26,26
21,1138,115,26,26,26,26,26,26,26,26
21,1139,115,26,26,26,26,26,26,26,26
21,1140,115,26,26,26,26,26,26,26,26
21,1141,115,26,26,26,26,26,26,26,26
21,114,14,19,6,6,19,6,6,6,6
21,1142,115,26,26,26,26,26,26,26,26
21,1143,115,26,26,26,26,26,26,26,26
21,1144,115,26,26,26,26,26,26,26,26
21,1145,115,26,26,26,26,26,26,26,26
21,1146,115,26,26,26,26,26,26,26,26
21,1147,115,26,26,26,26,26,26,26,26
21,1148,115,26,26,26,26,26,26,26,26
21,1149,115,26,26,26,26,26,26,26,26
21,1150,115,26,26,26,26,26,26,26,26
21,1151,115,26,26,26,26,26,26,26,26
21,115,14,19,6,6,19,6,6,6,6
21,1152,115,26,26,26,26,26,26,26,26
21,1153,115,26,26,26,26,26,26,26,26
21,1154,115,26,26,26,26,26,26,26,26
21,1155,115,26,26,26,26,26,26,26,26
21,1156,115,26,26,26,26,26,26,26,26
21,1157,115,26,26,26,26,26,26,26,26
21,1158,115,26,26,26,26,26,26,26,26
21,1159,115,26,26,26,26,26,26,26,26
21,1160,115,26,26,26,26,26,26,26,26
21,1161,115,26,26,26,26,26,26,26,26
21,116,15,12,1,1,1,1,1,1,1
21,1162,115,26,26,26,26,26,26,26,26
21,1163,115,26,26,26,26,26,26,26,26
21,1164,115,26,26,26,26,26,26,26,26
21,1165,115,26,26,26,26,26,26,26,26
21,1166,115,26,26,26,26,26,26,26,26
21,1167,115,26,26,26,26,26,26,26,26
21,1168,115,26,26,26,26,26,26,26,26
21,1169,115,26,26,26,26,26,26,26,26
21,1170,115,26,26,26,26,26,26,26,26
21,1171,115,26,26,26,26,26,26,26,26
21,117,15,12,1,1,1,1,1,1,1
21,1172,115,26,26,26,26,26,26,26,26
21,1173,115,26,26,26,26,26,26,26,26
21,1174,115,26,26,26,26,26,26,26,26
21,1175,115,26,26,26,26,26,26,26,26
21,1176,115,25,25,25,25,25,25,25,25
21,1177,115,25,25,25,25,25,25,25,25
21,1178,115,25,25,25,25,25,25,25,25
21,1179,115,25,25,25,25,25,25,25,25
21,1180,115,25,25,25,25,25,25,25,25
21,1181,115,25,25,25,25,25,25,25,25
21,118,15,12,1,1,1,1,1,1,1
21,1182,115,25,25,25,25,25,25,25,25
21,1183,115,25,25,25,25,25,25,25,25
21,1184,115,25,25,25,25,25,25,25,25
21,1185,115,25,25,25,25,25,25,25,25
21,1186,115,25,25,25,25,25,25,25,25
21,1187,115,25,25,25,25,25,25,25,25
21,1188,115,25,25,25,25,25,25,25,25
21,1189,115,25,25,25,25,25,25,25,25
21,1190,115,25,25,25,25,25,25,25,25
21,1191,115,25,25,25,25,25,25,25,25
21,119,15,12,1,1,1,1,1,1,1
21,1192,115,25,25,25,25,25,25,25,25
21,1193,115,25,25,25,25,25,25,25,25
21,1194,115,25,25,25,25,25,25,25,25
21,1195,115,25,25,25,25,25,25,25,25
21,1196,115,25,25,25,25,25,25,25,25
21,1197,115,25,25,25,25,25,25,25,25
21,1198,115,25,25,25,25,25,25,25,25
21,1199,115,25,25,25,25,25,25,25,25
21,1200,115,25,25,25,25,25,25,25,25
21,1201,115,25,25,25,25,25,25,25,25
21,120,15,12,1,1,1,1,1,1,1
21,1202,115,25,25,25,25,25,25,25,25
21,1203,115,25,25,25,25,25,25,25,25
21,1204,115,25,25,25,25,25,25,25,25
21,1205,115,25,25,25,25,25,25,25,25
21,1206,115,25,25,25,25,25,25,25,25
21,1207,115,25,25,25,25,25,25,25,25
21,1208,115,25,25,25,25,25,25,25,25
21,1209,115,25,25,25,25,25,25,25,25
21,12,1,12,1,1,1,1,1,1,1
21,1210,115,25,25,25,25,25,25,25,25
21,1211,115,25,25,25,25,25,25,25,25
21,121,15,12,1,1,1,1,1,1,1
21,1212,115,25,25,25,25,25,25,25,25
21,1213,115,25,25,25,25,25,25,25,25
21,1214,115,25,25,25,25,25,25,25,25
21,1215,115,25,25,25,25,25,25,25,25
21,1216,115,25,25,25,25,25,25,25,25
21,1217,115,25,25,25,25,25,25,25,25
21,1218,115,25,25,25,25,25,25,25,25
21,1219,115,25,25,25,25,25,25,25,25
21,1220,115,25,25,25,25,25,25,25,25
21,1221,115,25,25,25,25,25,25,25,25
21,122,15,12,1,1,1,1,1,1,1
21,1222,115,25,25,25,25,25,25,25,25
21,1223,115,25,25,25,25,25,25,25,25
21,1224,115,25,25,25,25,25,25,25,25
21,1225,115,25,25,25,25,25,25,25,25
21,1226,115,25,25,25,25,25,25,25,25
21,1227,115,25,25,25,25,25,25,25,25
21,1228,115,25,25,25,25,25,25,25,25
21,1229,115,25,25,25,25,25,25,25,25
21,1230,115,25,25,25,25,25,25,25,25
21,1231,115,25,25,25,25,25,25,25,25
21,123,15,12,1,1,1,1,1,1,1
21,1232,115,25,25,25,25,25,25,25,25
21,1233,115,25,25,25,25,25,25,25,25
21,1235,115,25,25,25,25,25,25,25,25
21,1236,115,25,25,25,25,25,25,25,25
21,1237,115,20,21,21,22,21,21,21,21
21,1238,115,20,21,21,22,21,21,21,21
21,1239,115,25,25,25,25,25,25,25,25
21,1240,115,25,25,25,25,25,25,25,25
21,1241,115,25,25,25,25,25,25,25,25
21,124,15,12,1,1,1,1,1,1,1
21,1242,115,25,25,25,25,25,25,25,25
21,1243,115,20,21,21,22,21,21,21,21
21,1244,115,20,21,21,22,21,21,21,21
21,1245,115,20,21,21,22,21,21,21,21
21,1246,115,20,21,21,22,21,21,21,21
21,1248,115,20,21,21,22,21,21,21,21
21,1249,115,20,21,21,22,21,21,21,21
21,1251,115,25,25,25,25,25,25,25,25
21,125,15,12,1,1,1,1,1,1,1
21,1252,115,25,25,25,25,25,25,25,25
21,1253,115,20,21,21,22,21,21,21,21
21,1254,115,20,21,21,22,21,21,21,21
21,1255,115,20,21,21,22,21,21,21,21
21,1256,115,20,21,21,22,21,21,21,21
21,1257,115,20,21,21,22,21,21,21,21
21,1258,115,20,21,21,22,21,21,21,21
21,1259,115,20,21,21,22,21,21,21,21
21,1260,115,20,21,21,22,21,21,21,21
21,1261,115,26,26,26,26,26,26,26,26
21,126,15,12,1,1,1,1,1,1,1
21,1262,115,26,26,26,26,26,26,26,26
21,1263,115,26,26,26,26,26,26,26,26
21,1264,115,26,26,26,26,26,26,26,26
21,1265,115,26,26,26,26,26,26,26,26
21,1266,115,26,26,26,26,26,26,26,26
21,1267,115,26,26,26,26,26,26,26,26
21,1268,115,26,26,26,26,26,26,26,26
21,1269,115,26,26,26,26,26,26,26,26
21,1270,115,26,26,26,26,26,26,26,26
21,1271,115,26,26,26,26,26,26,26,26
21,127,15,12,1,1,1,1,1,1,1
21,1272,115,26,26,26,26,26,26,26,26
21,1273,115,26,26,26,26,26,26,26,26
21,1274,115,26,26,26,26,26,26,26,26
21,1275,115,24,24,24,24,24,24,24,24
21,1276,115,24,24,24,24,24,24,24,24
21,1277,115,24,24,24,24,24,24,24,24
21,1278,115,24,24,24,24,24,24,24,24
21,1279,115,24,24,24,24,24,24,24,24
21,1280,115,24,24,24,24,24,24,24,24
21,1281,115,24,24,24,24,24,24,24,24
21,128,15,12,1,1,1,1,1,1,1
21,1282,115,24,24,24,24,24,24,24,24
21,1283,115,24,24,24,24,24,24,24,24
21,1284,115,26,26,26,26,26,26,26,26
21,1285,115,26,26,26,26,26,26,26,26
21,1286,115,26,26,26,26,26,26,26,26
21,1287,115,24,24,24,24,24,24,24,24
21,1288,115,24,24,24,24,24,24,24,24
21,1289,115,24,24,24,24,24,24,24,24
21,1290,115,24,24,24,24,24,24,24,24
21,1291,115,24,24,24,24,24,24,24,24
21,129,15,12,1,1,1,1,1,1,1
21,1292,115,24,24,24,24,24,24,24,24
21,1293,115,24,24,24,24,24,24,24,24
21,1294,115,24,24,24,24,24,24,24,24
21,1295,115,24,24,24,24,24,24,24,24
21,1296,115,24,24,24,24,24,24,24,24
21,1297,115,24,24,24,24,24,24,24,24
21,1298,115,24,24,24,24,24,24,24,24
21,1299,115,24,24,24,24,24,24,24,24
21,1300,115,26,26,26,26,26,26,26,26
21,1301,115,24,24,24,24,24,24,24,24
21,130,15,12,1,1,1,1,1,1,1
21,1302,115,23,23,23,23,23,23,23,23
21,1303,115,23,23,23,23,23,23,23,23
21,1304,115,24,24,24,24,24,24,24,24
21,1305,115,24,24,24,24,24,24,24,24
21,1306,115,24,24,24,24,24,24,24,24
21,1307,115,24,24,24,24,24,24,24,24
21,1308,115,24,24,24,24,24,24,24,24
21,1309,115,24,24,24,24,24,24,24,24
21,13,1,12,1,1,1,1,1,1,1
21,1310,115,24,24,24,24,24,24,24,24
21,1311,115,24,24,24,24,24,24,24,24
21,131,15,12,1,1,1,1,1,1,1
21,1312,115,24,24,24,24,24,24,24,24
21,1313,115,24,24,24,24,24,24,24,24
21,1314,115,24,24,24,24,24,24,24,24
21,1315,115,24,24,24,24,24,24,24,24
21,1316,115,24,24,24,24,24,24,24,24
21,1317,115,24,24,24,24,24,24,24,24
21,1318,115,23,23,23,23,23,23,23,23
21,1319,115,23,23,23,23,23,23,23,23
21,1320,115,24,24,24,24,24,24,24,24
21,1321,115,24,24,24,24,24,24,24,24
21,132,15,12,1,1,1,1,1,1,1
21,1322,115,24,24,24,24,24,24,24,24
21,1323,115,24,24,24,24,24,24,24,24
21,1324,115,24,24,24,24,24,24,24,24
21,1325,115,24,24,24,24,24,24,24,24
21,1326,115,24,24,24,24,24,24,24,24
21,1327,115,24,24,24,24,24,24,24,24
21,1328,115,24,24,24,24,24,24,24,24
21,1329,115,24,24,24,24,24,24,24,24
21,1330,115,24,24,24,24,24,24,24,24
21,1331,115,24,24,24,24,24,24,24,24
21,133,15,12,1,1,1,1,1,1,1
21,1332,115,24,24,24,24,24,24,24,24
21,1333,115,24,24,24,24,24,24,24,24
21,1334,115,24,24,24,24,24,24,24,24
21,1335,115,24,24,24,24,24,24,24,24
21,1336,115,24,24,24,24,24,24,24,24
21,1337,115,24,24,24,24,24,24,24,24
21,1338,115,23,23,23,23,23,23,23,23
21,1339,115,23,23,23,23,23,23,23,23
21,1340,115,23,23,23,23,23,23,23,23
21,1341,115,23,23,23,23,23,23,23,23
21,134,16,7,7,7,8,7,7,7,7
21,1342,115,23,23,23,23,23,23,23,23
21,1343,115,24,24,24,24,24,24,24,24
21,1344,115,24,24,24,24,24,24,24,24
21,1345,115,24,24,24,24,24,24,24,24
21,1346,115,24,24,24,24,24,24,24,24
21,1347,115,24,24,24,24,24,24,24,24
21,1348,115,24,24,24,24,24,24,24,24
21,1349,115,24,24,24,24,24,24,24,24
21,1350,115,24,24,24,24,24,24,24,24
21,1351,115,24,24,24,24,24,24,24,24
21,135,16,7,7,7,8,7,7,7,7
21,1352,115,24,24,24,24,24,24,24,24
21,1353,115,24,24,24,24,24,24,24,24
21,1354,115,23,23,23,23,23,23,23,23
21,1355,115,21,22,22,21,22,22,22,22
21,1356,115,21,22,22,21,22,22,22,22
21,1357,115,21,22,22,21,22,22,22,22
21,1358,115,21,22,22,21,22,22,22,22
21,1359,115,21,22,22,21,22,22,22,22
21,1360,115,24,24,24,24,24,24,24,24
21,1361,115,24,24,24,24,24,24,24,24
21,136,16,7,7,7,8,7,7,7,7
21,1362,115,24,24,24,24,24,24,24,24
21,1363,115,24,24,24,24,24,24,24,24
21,1364,115,24,24,24,24,24,24,24,24
21,1365,115,24,24,24,24,24,24,24,24
21,1366,115,24,24,24,24,24,24,24,24
21,1367,115,24,24,24,24,24,24,24,24
21,1368,115,24,24,24,24,24,24,24,24
21,1369,115,24,24,24,24,24,24,24,24
21,1370,115,24,24,24,24,24,24,24,24
21,1371,115,21,22,22,21,22,22,22,22
21,137,16,7,7,7,8,7,7,7,7
21,1372,115,21,22,22,21,22,22,22,22
21,1373,115,21,22,22,21,22,22,22,22
21,1374,115,21,22,22,21,22,22,22,22
21,1375,115,21,22,22,21,22,22,22,22
21,1376,115,24,24,24,24,24,24,24,24
21,1377,115,24,24,24,24,24,24,24,24
21,1378,115,24,24,24,24,24,24,24,24
21,1379,115,24,24,24,24,24,24,24,24
21,1380,115,24,24,24,24,24,24,24,24
21,1381,115,24,24,24,24,24,24,24,24
21,138,16,7,7,7,8,7,7,7,7
21,1382,115,24,24,24,24,24,24,24,24
21,1383,115,21,22,22,21,22,22,22,22
21,1384,115,21,22,22,21,22,22,22,22
21,1385,115,21,22,22,21,22,22,22,22
21,1386,115,21,22,22,21,22,22,22,22
21,1387,115,24,24,24,24,24,24,24,24
21,1388,115,24,24,24,24,24,24,24,24
21,1389,115,24,24,24,24,24,24,24,24
21,1390,115,24,24,24,24,24,24,24,24
21,1391,115,24,24,24,24,24,24,24,24
21,139,17,16,2,2,2,2,2,2,2
21,1392,115,24,24,24,24,24,24,24,24
21,1393,115,24,24,24,24,24,24,24,24
21,1394,115,24,24,24,24,24,24,24,24
21,1395,115,24,24,24,24,24,24,24,24
21,1396,115,21,22,22,21,22,22,22,22
21,1397,115,21,22,22,21,22,22,22,22
21,1398,115,21,22,22,21,22,22,22,22
21,1399,115,21,22,22,21,22,22,22,22
21,1400,115,21,22,22,21,22,22,22,22
21,1401,115,21,22,22,21,22,22,22,22
21,140,17,16,2,2,2,2,2,2,2
21,1402,115,21,22,22,21,22,22,22,22
21,1403,115,21,22,22,21,22,22,22,22
21,1404,115,21,22,22,21,22,22,22,22
21,1405,115,21,22,22,21,22,22,22,22
21,1406,115,24,24,24,24,24,24,24,24
21,1408,115,24,24,24,24,24,24,24,24
21,1409,115,21,22,22,21,22,22,22,22
21,14,1,12,1,1,1,1,1,1,1
21,1410,115,21,22,22,21,22,22,22,22
21,1411,115,21,22,22,21,22,22,22,22
21,141,17,16,2,2,2,2,2,2,2
21,1412,115,21,22,22,21,22,22,22,22
21,1413,115,21,22,22,21,22,22,22,22
21,1414,115,21,22,22,21,22,22,22,22
21,1415,115,21,22,22,21,22,22,22,22
21,1416,115,21,22,22,21,22,22,22,22
21,1417,115,21,22,22,21,22,22,22,22
21,1418,115,21,22,22,21,22,22,22,22
21,1419,115,21,22,22,21,22,22,22,22
21,1420,115,21,22,22,21,22,22,22,22
21,1421,115,21,22,22,21,22,22,22,22
21,142,17,16,2,2,2,2,2,2,2
21,1422,115,21,22,22,21,22,22,22,22
21,1423,115,26,26,26,26,26,26,26,26
21,1424,115,26,26,26,26,26,26,26,26
21,1425,115,26,26,26,26,26,26,26,26
21,1426,115,26,26,26,26,26,26,26,26
21,1427,115,26,26,26,26,26,26,26,26
21,1428,115,26,26,26,26,26,26,26,26
21,1429,115,26,26,26,26,26,26,26,26
21,1430,115,26,26,26,26,26,26,26,26
21,1431,115,26,26,26,26,26,26,26,26
21,143,17,16,2,2,2,2,2,2,2
21,1432,115,26,26,26,26,26,26,26,26
21,1433,115,26,26,26,26,26,26,26,26
21,1434,115,26,26,26,26,26,26,26,26
21,1435,115,26,26,26,26,26,26,26,26
21,1436,115,26,26,26,26,26,26,26,26
21,1437,115,26,26,26,26,26,26,26,26
21,1438,115,26,26,26,26,26,26,26,26
21,1439,115,26,26,26,26,26,26,26,26
21,1440,115,26,26,26,26,26,26,26,26
21,1441,115,26,26,26,26,26,26,26,26
21,144,17,16,2,2,2,2,2,2,2
21,1442,115,26,26,26,26,26,26,26,26
21,1443,115,26,26,26,26,26,26,26,26
21,1444,115,23,23,23,23,23,23,23,23
21,1445,115,23,23,23,23,23,23,23,23
21,1446,115,23,23,23,23,23,23,23,23
21,1447,115,26,26,26,26,26,26,26,26
21,1448,115,23,23,23,23,23,23,23,23
21,1449,115,26,26,26,26,26,26,26,26
21,1450,115,26,26,26,26,26,26,26,26
21,1451,115,26,26,26,26,26,26,26,26
21,145,17,16,2,2,2,2,2,2,2
21,1452,115,26,26,26,26,26,26,26,26
21,1453,115,26,26,26,26,26,26,26,26
21,1454,115,26,26,26,26,26,26,26,26
21,1455,115,23,23,23,23,23,23,23,23
21,1456,115,23,23,23,23,23,23,23,23
21,1457,115,23,23,23,23,23,23,23,23
21,1458,115,23,23,23,23,23,23,23,23
21,1459,115,23,23,23,23,23,23,23,23
21,1460,115,23,23,23,23,23,23,23,23
21,1461,115,23,23,23,23,23,23,23,23
21,146,17,16,2,2,2,2,2,2,2
21,1462,115,23,23,23,23,23,23,23,23
21,1463,115,23,23,23,23,23,23,23,23
21,1464,115,23,23,23,23,23,23,23,23
21,1465,115,23,23,23,23,23,23,23,23
21,1466,115,23,23,23,23,23,23,23,23
21,1467,115,23,23,23,23,23,23,23,23
21,1468,115,23,23,23,23,23,23,23,23
21,1469,115,23,23,23,23,23,23,23,23
21,1470,115,23,23,23,23,23,23,23,23
21,1471,115,26,26,26,26,26,26,26,26
21,147,17,16,2,2,2,2,2,2,2
21,1472,115,26,26,26,26,26,26,26,26
21,1473,115,26,26,26,26,26,26,26,26
21,1474,115,26,26,26,26,26,26,26,26
21,1475,115,26,26,26,26,26,26,26,26
21,1476,115,26,26,26,26,26,26,26,26
21,1477,115,26,26,26,26,26,26,26,26
21,1478,115,26,26,26,26,26,26,26,26
21,1479,115,23,23,23,23,23,23,23,23
21,1480,115,23,23,23,23,23,23,23,23
21,1481,115,23,23,23,23,23,23,23,23
21,148,18,17,9,9,9,9,9,9,3
21,1482,115,23,23,23,23,23,23,23,23
21,1483,115,23,23,23,23,23,23,23,23
21,1484,115,23,23,23,23,23,23,23,23
21,1485,115,23,23,23,23,23,23,23,23
21,1486,115,23,23,23,23,23,23,23,23
21,1487,115,23,23,23,23,23,23,23,23
21,1488,115,23,23,23,23,23,23,23,23
21,1489,115,23,23,23,23,23,23,23,23
21,1490,115,23,23,23,23,23,23,23,23
21,1491,115,23,23,23,23,23,23,23,23
21,149,18,17,9,9,9,9,9,9,3
21,1492,115,23,23,23,23,23,23,23,23
21,1493,115,23,23,23,23,23,23,23,23
21,1494,115,23,23,23,23,23,23,23,23
21,1495,115,23,23,23,23,23,23,23,23
21,1496,115,23,23,23,23,23,23,23,23
21,1497,115,23,23,23,23,23,23,23,23
21,1498,115,23,23,23,23,23,23,23,23
21,1499,115,23,23,23,23,23,23,23,23
21,1500,115,23,23,23,23,23,23,23,23
21,1501,115,23,23,23,23,23,23,23,23
21,150,18,17,9,9,9,9,9,9,3
21,1502,115,23,23,23,23,23,23,23,23
21,1503,115,23,23,23,23,23,23,23,23
21,1504,115,26,26,26,26,26,26,26,26
21,1505,115,26,26,26,26,26,26,26,26
21,1506,115,23,23,23,23,23,23,23,23
21,1507,115,23,23,23,23,23,23,23,23
21,1508,115,23,23,23,23,23,23,23,23
21,1509,115,23,23,23,23,23,23,23,23
21,15,1,12,1,1,1,1,1,1,1
21,1510,115,23,23,23,23,23,23,23,23
21,1511,115,23,23,23,23,23,23,23,23
21,151,18,17,9,9,9,9,9,9,3
21,1512,115,23,23,23,23,23,23,23,23
21,1513,115,23,23,23,23,23,23,23,23
21,1514,115,23,23,23,23,23,23,23,23
21,1515,115,23,23,23,23,23,23,23,23
21,1516,115,23,23,23,23,23,23,23,23
21,1517,115,23,23,23,23,23,23,23,23
21,1518,115,23,23,23,23,23,23,23,23
21,1519,115,23,23,23,23,23,23,23,23
21,1520,115,23,23,23,23,23,23,23,23
21,1521,115,23,23,23,23,23,23,23,23
21,152,18,17,9,9,9,9,9,9,3
21,1522,115,23,23,23,23,23,23,23,23
21,1523,115,23,23,23,23,23,23,23,23
21,1524,115,23,23,23,23,23,23,23,23
21,1525,115,23,23,23,23,23,23,23,23
21,1526,115,23,23,23,23,23,23,23,23
21,1527,115,23,23,23,23,23,23,23,23
21,1528,115,23,23,23,23,23,23,23,23
21,1529,115,23,23,23,23,23,23,23,23
21,1530,115,23,23,23,23,23,23,23,23
21,1531,115,23,23,23,23,23,23,23,23
21,153,18,17,9,9,9,9,9,9,3
