edon,seccion,munn,escenario1,escenario2,escenario3,morena_clv1,pt_clv1,pri_clv2
22,100,5,12,12,12,6,6,9
22,10,1,14,14,14,2,2,14
22,101,5,9,9,9,6,6,6
22,102,5,9,9,9,6,6,6
22,103,5,9,9,9,6,6,6
22,104,5,12,12,12,6,6,9
22,105,5,9,9,9,6,6,6
22,106,5,12,12,12,6,6,9
22,107,5,12,12,12,6,6,9
22,108,5,12,12,12,6,6,9
22,109,5,12,12,12,6,6,9
22,1,1,14,14,14,2,2,14
22,110,5,9,9,9,12,12,6
22,11,1,14,14,14,2,2,14
22,111,5,9,9,9,12,12,6
22,113,5,12,12,12,6,6,9
22,114,5,9,9,9,6,6,6
22,115,5,12,12,12,6,6,9
22,116,5,9,9,9,6,6,6
22,117,5,12,12,12,6,6,9
22,118,5,12,12,12,6,6,9
22,119,5,12,12,12,6,6,9
22,120,5,12,12,12,6,6,9
22,12,1,14,14,14,2,2,14
22,121,5,12,12,12,6,6,9
22,122,6,1,1,1,13,13,2
22,123,6,1,1,1,13,13,2
22,124,6,1,1,1,13,13,2
22,125,6,1,1,1,13,13,2
22,126,6,1,1,1,13,13,2
22,127,6,1,1,1,13,13,2
22,128,6,1,1,1,13,13,2
22,129,6,1,1,1,13,13,2
22,130,6,1,1,1,13,13,2
22,13,1,14,14,14,2,2,14
22,131,6,1,1,1,13,13,2
22,132,6,1,1,1,13,13,2
22,133,6,1,1,1,13,13,2
22,134,6,1,1,1,13,13,2
22,135,6,1,1,1,13,13,2
22,136,6,1,1,1,13,13,2
22,137,6,1,1,1,13,13,2
22,138,6,1,1,1,13,13,2
22,139,7,12,12,12,2,2,9
22,140,7,12,12,12,2,2,9
22,14,1,14,14,14,2,2,14
22,141,7,12,12,12,2,2,9
22,142,7,12,12,12,2,2,9
22,143,7,12,12,12,2,2,9
22,144,7,12,12,12,2,2,9
22,145,7,12,12,12,2,2,9
22,146,7,12,12,12,2,2,9
22,147,7,12,12,12,2,2,9
22,148,7,12,12,12,2,2,9
22,149,7,12,12,12,2,2,9
22,150,7,12,12,12,2,2,9
22,15,1,14,14,14,2,2,14
22,151,7,12,12,12,2,2,9
22,152,7,12,12,12,2,2,9
22,153,8,3,3,3,1,1,3
22,154,8,3,3,3,1,1,3
22,155,8,3,3,3,1,1,3
22,156,8,3,3,3,1,1,3
22,157,8,3,3,3,1,1,3
22,158,8,3,3,3,1,1,3
22,159,8,3,3,3,1,1,3
22,160,8,3,3,3,1,1,3
22,16,1,14,14,14,2,2,14
22,161,8,3,3,3,1,1,3
22,162,8,3,3,3,1,1,3
22,163,8,3,3,3,1,1,3
22,164,8,3,3,3,1,1,3
22,165,8,3,3,3,1,1,3
22,166,8,3,3,3,1,1,3
22,167,8,3,3,3,1,1,3
22,168,9,3,3,3,1,1,3
22,169,9,3,3,3,1,1,3
22,170,9,3,3,3,1,1,3
22,17,1,14,14,14,2,2,14
22,171,9,3,3,3,1,1,3
22,172,9,3,3,3,1,1,3
22,173,9,3,3,3,1,1,3
22,174,9,3,3,3,1,1,3
22,175,9,3,3,3,1,1,3
22,176,9,3,3,3,1,1,3
22,177,9,3,3,3,1,1,3
22,178,9,3,3,3,1,1,3
22,179,9,3,3,3,1,1,3
22,180,9,3,3,3,1,1,3
22,18,1,14,14,14,2,2,14
22,181,9,3,3,3,1,1,3
22,182,10,4,4,4,4,4,4
22,183,10,4,4,4,4,4,4
22,184,10,4,4,4,4,4,4
22,185,10,4,4,4,4,4,4
22,186,10,4,4,4,4,4,4
22,187,10,4,4,4,4,4,4
22,188,10,4,4,4,4,4,4
22,189,10,4,4,4,4,4,4
22,190,10,4,4,4,4,4,4
22,19,1,14,14,14,2,2,14
22,191,10,4,4,4,4,4,4
22,192,10,4,4,4,4,4,4
22,193,10,4,4,4,4,4,4
22,194,10,4,4,4,4,4,4
22,195,10,4,4,4,4,4,4
22,196,10,4,4,4,4,4,4
22,197,10,4,4,4,4,4,4
22,198,10,4,4,4,4,4,4
22,199,10,4,4,4,4,4,4
22,200,10,4,4,4,4,4,4
22,20,1,14,14,14,2,2,14
22,201,10,4,4,4,4,4,4
22,202,10,4,4,4,4,4,4
22,203,10,4,4,4,4,4,4
22,204,10,4,4,4,4,4,4
22,205,10,4,4,4,4,4,4
22,206,10,4,4,4,4,4,4
22,207,10,4,4,4,4,4,4
22,208,10,4,4,4,4,4,4
22,209,10,4,4,4,4,4,4
22,2,1,14,14,14,2,2,14
22,210,11,15,15,15,2,14,13
22,21,1,14,14,14,2,2,14
22,211,11,15,15,15,14,14,13
22,212,11,15,15,15,2,14,13
22,213,11,15,15,15,14,14,13
22,214,11,15,15,15,14,14,13
22,215,11,15,15,15,14,14,13
22,216,11,15,15,15,14,14,13
22,217,11,15,15,15,14,14,13
22,218,11,15,15,15,14,14,13
22,219,11,15,15,15,14,14,13
22,220,11,15,15,15,14,14,13
22,22,1,14,14,14,2,2,14
22,221,11,15,15,15,14,14,13
22,222,11,15,15,15,2,2,13
22,223,11,15,15,15,2,2,13
22,224,11,15,15,15,14,14,13
22,225,11,15,15,15,14,14,13
22,226,11,15,15,15,2,2,13
22,227,11,15,15,15,2,2,13
22,228,11,15,15,15,2,2,13
22,229,11,15,15,15,2,2,13
22,230,11,15,15,15,2,2,13
22,23,1,14,14,14,2,2,14
22,231,11,15,15,15,2,2,13
22,232,11,15,15,15,2,2,13
22,233,11,15,15,15,2,2,13
22,234,12,3,3,3,1,1,3
22,235,12,3,3,3,1,1,3
22,236,12,3,3,3,1,1,3
22,237,12,3,3,3,1,1,3
22,238,12,3,3,3,1,1,3
22,239,12,3,3,3,1,1,3
22,240,12,3,3,3,1,1,3
22,24,1,14,14,14,2,2,14
22,241,12,3,3,3,1,1,3
22,242,12,3,3,3,1,1,3
22,243,12,3,3,3,1,1,3
22,244,12,3,3,3,1,1,3
22,245,12,3,3,3,1,1,3
22,246,12,3,3,3,1,1,3
22,247,12,3,3,3,1,1,3
22,248,13,3,3,3,1,1,3
22,249,13,3,3,3,1,1,3
22,250,13,3,3,3,1,1,3
22,25,1,14,14,14,2,2,14
22,251,13,3,3,3,1,1,3
22,252,13,3,3,3,1,1,3
22,253,13,3,3,3,1,1,3
22,254,13,3,3,3,1,1,3
22,255,13,3,3,3,1,1,3
22,256,13,3,3,3,1,1,3
22,257,13,3,3,3,1,1,3
22,258,13,3,3,3,1,1,3
22,259,13,3,3,3,1,1,3
22,260,13,3,3,3,1,1,3
22,26,1,14,14,14,2,2,14
22,261,13,3,3,3,1,1,3
22,262,13,3,3,3,1,1,3
22,263,13,3,3,3,1,1,3
22,264,13,3,3,3,1,1,3
22,265,13,3,3,3,1,1,3
22,266,14,6,6,6,10,10,8
22,267,14,6,6,6,9,9,8
22,268,14,6,6,6,9,9,8
22,269,14,10,10,10,9,9,11
22,270,14,10,10,10,9,9,11
22,27,1,14,14,14,2,2,14
22,272,14,10,10,10,9,9,11
22,274,14,10,10,10,9,9,11
22,275,14,7,7,7,7,7,12
22,276,14,7,7,7,7,7,12
22,277,14,8,8,8,8,8,5
22,278,14,8,8,8,8,8,5
22,279,14,10,10,10,9,9,11
22,280,14,10,10,10,9,9,11
22,28,1,14,14,14,2,2,14
22,281,14,10,10,10,9,9,11
22,282,14,10,10,10,9,9,11
22,283,14,10,10,10,9,9,11
22,284,14,10,10,10,9,9,11
22,285,14,7,7,7,7,7,12
22,286,14,7,7,7,7,7,12
22,287,14,8,8,8,8,8,12
22,288,14,8,8,8,8,8,5
22,289,14,10,10,10,9,9,11
22,290,14,10,10,10,9,9,11
22,29,1,14,14,14,2,2,14
22,291,14,10,10,10,9,9,11
22,292,14,10,10,10,9,9,11
22,294,14,10,10,10,9,9,11
22,295,14,7,7,7,7,7,12
22,296,14,8,8,8,8,8,12
22,297,14,10,10,10,9,9,11
22,298,14,10,10,10,9,9,11
22,299,14,10,10,10,9,9,11
22,300,14,10,10,10,9,9,11
22,30,1,14,14,14,2,2,14
22,301,14,10,10,10,9,9,11
22,302,14,10,10,10,9,9,11
22,303,14,8,8,8,8,8,5
22,304,14,7,7,7,7,7,12
22,305,14,8,8,8,8,8,5
22,306,14,5,5,5,8,8,7
22,307,14,5,5,5,5,5,7
22,308,14,10,10,10,9,9,11
22,309,14,5,5,5,5,5,7
22,3,1,14,14,14,2,2,14
22,310,14,5,5,5,5,5,7
22,31,1,14,14,14,2,2,14
22,311,14,5,5,5,5,5,7
22,312,14,5,5,5,5,5,7
22,313,14,7,7,7,7,7,12
22,314,14,5,5,5,5,5,7
22,315,14,5,5,5,5,5,7
22,316,14,5,5,5,5,5,7
22,317,14,5,5,5,5,5,7
22,318,14,8,8,8,8,8,5
22,319,14,8,8,8,8,8,5
22,320,14,8,8,8,8,8,5
22,32,1,14,14,14,2,2,14
22,321,14,5,5,5,5,5,7
22,322,14,5,5,5,5,5,7
22,323,14,5,5,5,5,5,7
22,324,14,5,5,5,8,8,7
22,325,14,5,5,5,8,8,7
22,326,14,8,8,8,8,8,5
22,327,14,8,8,8,8,8,5
22,328,14,8,8,8,8,8,5
22,329,14,5,5,5,5,5,7
22,330,14,5,5,5,5,5,7
22,33,1,14,14,14,2,2,14
22,331,14,5,5,5,5,5,7
22,332,14,8,8,8,8,8,5
22,333,14,7,7,7,7,7,12
22,334,14,7,7,7,7,7,12
22,335,14,7,7,7,7,7,12
22,336,14,7,7,7,7,7,12
22,337,14,7,7,7,7,7,12
22,338,14,8,8,8,8,8,5
22,339,14,5,5,5,8,8,7
22,340,14,5,5,5,5,5,7
22,34,1,14,14,14,2,2,14
22,341,14,5,5,5,5,5,7
22,342,14,5,5,5,5,5,7
22,343,14,5,5,5,5,5,7
22,344,14,5,5,5,5,5,7
22,345,14,5,5,5,5,5,7
22,346,14,5,5,5,8,8,7
22,347,14,8,8,8,8,8,5
22,348,14,8,8,8,8,8,5
22,349,14,8,8,8,8,8,5
22,350,14,8,8,8,8,8,5
22,351,14,7,7,7,7,7,12
22,35,2,3,3,3,1,1,3
22,352,14,7,7,7,7,7,12
22,353,14,7,7,7,7,7,12
22,354,14,8,8,8,8,8,5
22,355,14,5,5,5,5,5,7
22,356,14,5,5,5,5,5,7
22,357,14,5,5,5,5,5,7
22,358,14,5,5,5,5,5,7
22,359,14,5,5,5,5,5,7
22,360,14,5,5,5,5,5,7
22,361,14,8,8,8,8,8,5
22,36,2,3,3,3,1,1,3
22,362,14,8,8,8,8,8,5
22,363,14,8,8,8,8,8,5
22,364,14,7,7,7,7,7,12
22,365,14,8,8,8,8,8,5
22,366,14,8,8,8,8,8,5
22,367,14,8,8,8,8,8,5
22,368,14,8,8,8,8,8,5
22,369,14,8,8,8,8,8,5
22,370,14,8,8,8,8,8,5
22,371,14,8,8,8,8,8,5
22,37,2,3,3,3,1,1,3
22,372,14,7,7,7,11,11,12
22,373,14,7,7,7,11,11,12
22,374,14,7,7,7,11,11,12
22,375,14,7,7,7,11,11,12
22,376,14,7,7,7,7,7,12
22,377,14,7,7,7,7,7,12
22,378,14,8,8,8,8,8,5
22,379,14,8,8,8,8,8,5
22,380,14,8,8,8,8,8,5
22,381,14,5,5,5,5,5,7
22,38,2,3,3,3,1,1,3
22,382,14,8,8,8,8,8,5
22,383,14,8,8,8,8,8,5
22,384,14,8,8,8,8,8,5
22,385,14,7,7,7,11,11,12
22,386,14,11,11,11,11,11,10
22,387,14,7,7,7,11,11,12
22,388,14,7,7,7,11,11,12
22,389,14,7,7,7,11,11,12
22,390,14,7,7,7,11,11,12
22,391,14,8,8,8,8,8,5
22,39,2,3,3,3,1,1,3
22,392,14,8,8,8,8,8,5
22,393,14,8,8,8,8,8,5
22,394,14,8,8,8,8,8,5
22,395,14,5,5,5,5,5,7
22,396,14,5,5,5,5,5,7
22,397,14,5,5,5,5,5,7
22,398,14,8,8,8,8,8,5
22,399,14,7,7,7,11,11,12
22,400,14,7,7,7,11,11,12
22,401,14,7,7,7,11,11,12
22,40,2,3,3,3,1,1,3
22,402,14,7,7,7,11,11,12
22,403,14,7,7,7,11,11,12
22,404,14,11,11,11,11,11,10
22,405,14,11,11,11,11,11,10
22,406,14,11,11,11,11,11,10
22,407,14,7,7,7,11,11,12
22,408,14,11,11,11,11,11,10
22,409,14,11,11,11,11,11,12
22,4,1,14,14,14,2,2,14
22,410,14,7,7,7,11,11,12
22,411,14,8,8,8,11,11,5
22,41,2,3,3,3,1,1,3
22,412,14,8,8,8,11,11,5
22,413,14,8,8,8,12,12,5
22,414,14,8,8,8,12,12,5
22,415,14,8,8,8,12,12,5
22,416,14,5,5,5,5,5,7
22,417,14,8,8,8,12,12,5
22,418,14,8,8,8,12,12,5
22,419,14,8,8,8,12,12,5
22,420,14,11,11,11,11,11,10
22,421,14,11,11,11,11,11,10
22,42,2,3,3,3,1,1,3
22,422,14,11,11,11,11,11,10
22,423,14,11,11,11,11,11,10
22,424,14,11,11,11,11,11,10
22,425,14,11,11,11,11,11,10
22,426,14,8,8,8,12,12,5
22,427,14,9,9,9,12,12,6
22,428,14,9,9,9,12,12,6
22,429,14,8,8,8,12,12,6
