edon,seccion,munn,escenario1,pt_clv1,escenario2,mc_clv2,morena_clv2,panal_clv2,pan_clv2,pes_clv2,prd_cnv2,pri_clv2,pt_clv2,pvem_clv2,escenario3
20,1,1,1,8,1,7,7,7,7,7,6,7,7,7,6
20,2,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,3,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,4,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,5,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,6,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,7,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,8,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,9,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,10,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,11,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,12,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,13,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,14,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,15,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,16,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,17,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,18,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,19,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,20,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,21,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,22,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,23,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,24,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,25,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,26,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,27,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,28,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,29,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,30,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,31,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,32,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,33,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,34,2,2,4,2,4,4,4,4,4,3,4,4,4,4
20,35,3,3,5,3,7,7,7,7,7,10,7,7,7,6
20,36,3,3,5,3,7,7,7,7,7,10,7,7,7,6
20,37,386,3,10,3,1,1,1,1,1,4,1,1,1,1
20,38,386,3,10,3,1,1,1,1,1,4,1,1,1,1
20,39,4,4,6,4,7,7,7,7,7,5,7,7,7,6
20,40,4,4,6,4,7,7,7,7,7,5,7,7,7,6
20,41,4,4,6,4,7,7,7,7,7,5,7,7,7,6
20,42,5,2,1,2,1,1,1,1,1,1,1,1,1,1
20,43,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,44,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,45,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,46,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,47,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,48,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,49,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,50,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,51,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,52,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,53,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,54,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,55,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,56,6,5,3,5,3,3,3,3,3,8,3,3,3,7
20,57,7,1,1,1,10,10,10,10,10,1,10,10,10,10
20,58,7,1,1,1,10,10,10,10,10,1,10,10,10,10
20,59,7,1,1,1,10,10,10,10,10,1,10,10,10,10
20,60,7,1,1,1,10,10,10,10,10,1,10,10,10,10
20,61,7,1,1,1,10,10,10,10,10,1,10,10,10,10
20,62,7,1,1,1,10,10,10,10,10,1,10,10,10,10
20,63,7,1,1,1,10,10,10,10,10,1,10,10,10,10
20,64,900,6,1,6,1,1,1,1,1,1,1,1,1,1
20,65,8,3,10,3,7,7,7,7,7,10,7,7,7,6
20,66,8,3,10,3,7,7,7,7,7,10,7,7,7,6
20,67,8,3,10,3,7,7,7,7,7,10,7,7,7,6
20,68,9,4,7,4,6,6,6,6,6,5,6,6,6,8
20,69,9,4,7,4,6,6,6,6,6,5,6,6,6,8
20,70,10,3,10,3,8,8,8,8,8,10,8,8,8,2
20,71,10,3,10,3,8,8,8,8,8,10,8,8,8,2
20,72,10,3,10,3,8,8,8,8,8,10,8,8,8,2
20,73,10,3,10,3,8,8,8,8,8,10,8,8,8,2
20,74,11,10,8,10,4,4,4,4,4,6,4,4,4,4
20,75,11,10,8,10,4,4,4,4,4,6,4,4,4,4
20,76,11,10,8,10,4,4,4,4,4,6,4,4,4,4
20,77,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,78,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,79,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,80,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,81,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,82,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,83,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,84,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,85,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,86,12,4,3,4,3,3,3,3,3,8,3,3,3,7
20,87,13,6,1,6,9,9,9,9,9,7,9,9,9,9
20,88,13,6,1,6,9,9,9,9,9,7,9,9,9,9
20,89,13,6,1,6,9,9,9,9,9,7,9,9,9,9
20,90,14,7,9,7,8,8,8,8,8,9,8,8,8,2
20,91,14,7,9,7,8,8,8,8,8,9,8,8,8,2
20,92,14,7,9,7,8,8,8,8,8,9,8,8,8,2
20,93,14,7,9,7,8,8,8,8,8,9,8,8,8,2
20,94,14,7,9,7,8,8,8,8,8,9,8,8,8,2
20,95,14,7,9,7,8,8,8,8,8,9,8,8,8,2
20,96,14,7,9,7,8,8,8,8,8,9,8,8,8,2
20,97,15,5,3,5,3,3,3,3,3,8,3,3,3,7
20,98,15,5,3,5,3,3,3,3,3,8,3,3,3,7
20,99,15,5,3,5,3,3,3,3,3,8,3,3,3,7
20,100,15,5,3,5,3,3,3,3,3,8,3,3,3,7
20,101,15,5,3,5,3,3,3,3,3,8,3,3,3,7
20,102,15,5,3,5,3,3,3,3,3,8,3,3,3,7
20,103,15,5,3,5,3,3,3,3,3,8,3,3,3,7
20,104,16,6,1,6,9,9,9,9,9,7,9,9,9,9
20,105,16,6,1,6,9,9,9,9,9,7,9,9,9,9
20,106,16,6,1,6,9,9,9,9,9,7,9,9,9,9
20,107,16,6,1,6,9,9,9,9,9,7,9,9,9,9
20,108,16,6,1,6,9,9,9,9,9,7,9,9,9,9
20,109,16,6,1,6,9,9,9,9,9,7,9,9,9,9
20,110,16,6,1,6,9,9,9,9,9,7,9,9,9,9
20,111,17,3,10,3,1,1,1,1,1,10,1,1,1,1
20,112,17,3,10,3,1,1,1,1,1,10,1,1,1,1
20,113,18,3,10,3,8,8,8,8,8,10,8,8,8,2
20,114,18,3,10,3,8,8,8,8,8,10,8,8,8,2
20,115,18,3,10,3,8,8,8,8,8,10,8,8,8,2
