"edon","seccion","munn","escenario1","escenario2","escenario3","pan_clv1","prd_cnv1","pan_clv2","prd_clv2"
24,1,1,4,2,1,2,4,2,1
24,2,1,4,2,1,2,4,2,1
24,3,1,4,2,1,2,4,2,1
24,4,1,4,2,1,2,4,2,1
24,5,1,4,2,1,2,4,2,1
24,6,1,4,2,1,2,4,2,1
24,7,1,4,2,1,2,4,2,1
24,8,1,4,2,1,2,4,2,1
24,9,1,4,2,1,2,4,2,1
24,10,1,4,2,1,2,4,2,1
24,11,1,4,2,1,2,4,2,1
24,12,1,4,2,1,2,4,2,1
24,13,1,4,2,1,2,4,2,1
24,14,1,4,2,1,2,4,2,1
24,15,2,7,9,3,9,7,9,3
24,16,2,7,9,3,9,7,9,3
24,17,2,7,9,3,9,7,9,3
24,18,2,7,9,3,9,7,9,3
24,19,2,7,9,3,9,7,9,3
24,20,2,7,9,3,9,7,9,3
24,21,2,7,9,3,9,7,9,3
24,22,2,7,9,3,9,7,9,3
24,23,2,7,9,3,9,7,9,3
24,24,2,7,9,3,9,7,9,3
24,25,2,7,9,3,9,7,9,3
24,26,2,7,9,3,9,7,9,3
24,27,2,7,9,3,9,7,9,3
24,28,2,7,9,3,9,7,9,3
24,29,2,7,9,3,9,7,9,3
24,30,2,7,9,3,9,7,9,3
24,31,2,7,9,3,9,7,9,3
24,32,2,7,9,3,9,7,9,3
24,33,2,7,9,3,9,7,9,3
24,34,3,5,12,4,12,5,12,4
24,35,3,5,12,4,12,5,12,4
24,36,3,5,12,4,12,5,12,4
24,37,3,5,12,4,12,5,12,4
24,38,3,5,12,4,12,5,12,4
24,39,3,5,12,4,12,5,12,4
24,40,3,5,12,4,12,5,12,4
24,41,3,5,12,4,12,5,12,4
24,42,3,5,12,4,12,5,12,4
24,43,3,5,12,4,12,5,12,4
24,44,3,5,12,4,12,5,12,4
24,45,3,5,12,4,12,5,12,4
24,46,3,5,12,4,12,5,12,4
24,47,3,5,12,4,12,5,12,4
24,48,3,5,12,4,12,5,12,4
24,49,3,5,12,4,12,5,12,4
24,50,3,5,12,4,12,5,12,4
24,51,3,5,12,4,12,5,12,4
24,52,3,5,12,4,12,5,12,4
24,53,3,5,12,4,12,5,12,4
24,54,3,5,12,4,12,5,12,4
24,55,3,5,12,4,12,5,12,4
24,56,3,5,12,4,12,5,12,4
24,57,3,5,12,4,12,5,12,4
24,58,3,5,12,4,12,5,12,4
24,59,3,5,12,4,12,5,12,4
24,60,4,4,14,2,14,4,14,2
24,61,4,4,14,2,14,4,14,2
24,62,4,4,14,2,14,4,14,2
24,63,4,4,14,2,14,4,14,2
24,64,4,4,14,2,14,4,14,2
24,65,4,4,14,2,14,4,14,2
24,66,4,4,14,2,14,4,14,2
24,67,4,4,14,2,14,4,14,2
24,68,4,4,14,2,14,4,14,2
24,69,4,4,14,2,14,4,14,2
24,70,4,4,14,2,14,4,14,2
24,71,4,4,14,2,14,4,14,2
24,72,4,4,14,2,14,4,14,2
24,73,4,4,14,2,14,4,14,2
24,75,4,4,14,2,14,4,14,2
24,76,4,4,14,2,14,4,14,2
24,77,4,4,14,2,14,4,14,2
24,78,5,7,9,3,9,7,9,3
24,79,5,7,9,3,9,7,9,3
24,80,5,7,9,3,9,7,9,3
24,81,5,7,9,3,9,7,9,3
24,82,5,7,9,3,9,7,9,3
24,83,5,7,9,3,9,7,9,3
24,84,5,7,9,3,9,7,9,3
24,85,5,7,9,3,9,7,9,3
24,86,5,7,9,3,9,7,9,3
24,87,5,7,9,3,9,7,9,3
24,88,5,7,9,3,9,7,9,3
24,89,5,7,9,3,9,7,9,3
24,90,5,7,9,3,9,7,9,3
24,91,5,7,9,3,9,7,9,3
24,92,5,7,9,3,9,7,9,3
24,93,5,7,9,3,9,7,9,3
24,94,5,7,9,3,9,7,9,3
24,95,5,7,9,3,9,7,9,3
24,96,5,7,9,3,9,7,9,3
24,97,5,7,9,3,9,7,9,3
24,98,6,3,1,5,1,3,1,5
24,99,6,3,1,5,1,3,1,5
24,101,6,3,1,5,1,3,1,5
24,102,6,3,1,5,1,3,1,5
24,103,6,3,1,5,1,3,1,5
24,105,6,3,1,5,1,3,1,5
24,106,6,3,1,5,1,3,1,5
24,107,6,3,1,5,1,3,1,5
24,108,6,3,1,5,1,3,1,5
24,109,6,3,1,5,1,3,1,5
24,110,6,3,1,5,1,3,1,5
24,111,6,3,1,5,1,3,1,5
24,112,6,3,1,5,1,3,1,5
24,113,6,3,1,5,1,3,1,5
24,114,6,3,1,5,1,3,1,5
24,115,6,3,1,5,1,3,1,5
24,116,6,3,1,5,1,3,1,5
24,117,6,3,1,5,1,3,1,5
24,118,6,3,1,5,1,3,1,5
