"edon","seccion","munn","escenario1","escenario2","escenario3","clv1","iee1","pri_clv1","pan_clv2","pan_cnv2"
25,1,1,19,19,3,23,22,23,3,24
25,2,1,19,19,3,23,22,23,3,24
25,3,1,19,19,3,23,22,23,3,24
25,4,1,19,19,3,23,22,23,3,24
25,5,1,19,19,3,23,22,23,3,24
25,6,1,19,19,3,23,22,23,3,24
25,7,1,24,24,3,23,22,23,3,24
25,8,1,24,24,3,23,22,23,3,24
25,9,1,24,24,3,23,22,23,3,24
25,10,1,24,24,3,23,22,23,3,24
25,11,1,24,24,3,23,22,23,3,24
25,12,1,24,24,3,23,22,23,3,24
25,13,1,24,24,3,23,22,23,3,24
25,14,1,24,24,3,23,22,23,3,24
25,15,1,24,24,9,23,22,23,9,24
25,16,1,24,24,9,23,22,23,9,24
25,17,1,24,24,9,23,22,23,9,24
25,18,1,24,24,9,23,22,23,9,24
25,19,1,24,24,9,23,21,23,9,24
25,20,1,24,24,9,21,21,21,9,24
25,21,1,24,24,9,21,21,21,9,24
25,22,1,24,24,9,21,21,21,9,24
25,23,1,24,24,9,21,21,21,9,24
25,24,1,24,24,9,21,21,21,9,24
25,25,1,24,24,9,21,21,21,9,24
25,26,1,24,24,9,21,21,21,9,24
25,27,1,24,24,9,21,21,21,9,24
25,28,1,24,24,9,21,21,21,9,24
25,29,1,24,24,9,21,21,21,9,24
25,30,1,24,24,9,21,21,21,9,24
25,31,1,24,24,9,21,21,21,9,24
25,32,1,24,24,9,21,21,21,9,24
25,33,1,24,24,9,21,21,21,9,24
25,34,1,24,24,9,21,21,21,9,24
25,35,1,24,24,9,21,21,21,9,24
25,36,1,24,24,9,21,21,21,9,24
25,37,1,24,24,9,21,21,21,9,24
25,38,1,24,24,9,21,21,21,9,24
25,39,1,24,24,9,21,21,21,9,24
25,40,1,24,24,9,21,21,21,9,24
25,41,1,24,24,9,21,21,21,9,24
25,42,1,24,24,9,21,21,21,9,24
25,43,1,24,24,9,21,21,21,9,24
25,44,1,24,24,9,21,21,21,9,24
25,45,1,24,24,9,21,21,21,9,24
25,46,1,24,24,9,21,21,21,9,24
25,47,1,24,24,9,21,21,21,9,24
25,48,1,24,24,9,21,21,21,9,24
25,49,1,24,24,9,21,21,21,9,24
25,50,1,24,24,9,21,21,21,9,24
25,51,1,24,24,9,21,21,21,9,24
25,52,1,24,24,9,21,21,21,9,24
25,53,1,24,24,9,21,21,21,9,24
25,54,1,24,24,9,21,21,21,9,24
25,55,1,24,24,9,21,21,21,9,24
25,56,1,24,24,9,21,21,21,9,24
25,57,1,24,24,9,21,21,21,9,24
25,58,1,24,24,9,21,21,21,9,24
25,59,1,24,24,9,21,21,21,9,24
25,60,1,24,24,9,21,21,21,9,24
25,61,1,24,24,9,21,21,21,9,24
25,62,1,24,24,9,21,21,21,9,24
25,63,1,24,24,9,21,21,21,9,24
25,64,1,24,24,9,21,21,21,9,24
25,65,1,24,24,9,21,21,21,9,24
25,66,1,24,24,8,21,21,21,8,24
25,67,1,24,24,8,21,21,21,8,24
25,68,1,24,24,8,21,21,21,8,24
25,69,1,24,24,8,24,24,21,8,24
25,70,1,24,24,9,24,21,21,9,24
25,71,1,24,24,9,21,21,21,9,24
25,72,1,24,24,9,21,21,21,9,24
25,73,1,24,24,9,21,21,21,9,24
25,74,1,24,24,9,21,21,21,9,24
25,75,1,24,24,9,21,21,21,9,24
25,76,1,24,24,9,21,21,21,9,24
25,77,1,24,24,9,21,21,21,9,24
25,78,1,24,24,9,21,21,21,9,24
25,79,1,24,24,9,21,21,21,9,24
25,80,1,24,24,9,21,21,21,9,24
25,81,1,24,24,9,21,21,21,9,24
25,82,1,24,24,9,21,21,21,9,24
